time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.33183e-05	0.0236346
1	2.33183e-05	5.7561e-05	0.0236346
2	5.7561e-05	0.000107846	2.1977
3	0.000107846	0.000181689	0.020313
4	0.000181689	0.000290126	0.0202964
5	0.000290126	0.000449364	0.0268157
6	0.000449364	0.000683204	11.9063
7	0.000683204	0.00102659	69.4804
8	0.00102659	0.00153086	53.8128
9	0.00153086	0.00227137	23.4322
10	0.00227137	0.00335879	12.2828
11	0.00335879	0.00495566	9.35893
12	0.00495566	0.00730065	9.42092
13	0.00730065	0.0107442	10.8273
14	0.0107442	0.0158011	12.8402
15	0.0158011	0.023227	14.9708
16	0.023227	0.0341319	16.9728
17	0.0341319	0.0501455	18.619
18	0.0501455	0.0736614	19.5527
19	0.0736614	0.108194	19.5253
20	0.108194	0.158905	18.9263
21	0.158905	0.233373	18.2625
22	0.233373	0.342729	17.7025
23	0.342729	0.503317	17.184
24	0.503317	inf	17.184
