time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.32091e-05	25.352199999999993	0.0306389	61.657000000000004
1	2.32091e-05	5.72914e-05	25.352199999999993	0.0306389	61.657000000000004
2	5.72914e-05	0.000107341	58.29616	13.1057	61.657000000000004
3	0.000107341	0.000180838	171.84593200000003	0.0203915	60.213899999999995
4	0.000180838	0.000288767	7.811320000000002	1.54386	16.10328
5	0.000288767	0.00044726	13.088200000000002	0.817682	14.287379999999999
6	0.00044726	0.000680005	62.33980000000001	9.59573	48.649739999999994
7	0.000680005	0.00102179	136.61	59.2712	95.7551
8	0.00102179	0.00152369	106.09899999999998	69.6718	81.44232000000001
9	0.00152369	0.00226073	46.80921999999999	35.0756	37.569480000000006
10	0.00226073	0.00334306	21.69138	16.7612	17.47421
11	0.00334306	0.00493246	12.710420000000001	10.5836	10.015800000000004
12	0.00493246	0.00726646	10.456700000000001	8.97651	8.624804000000001
13	0.00726646	0.0106939	10.9015	9.37946	9.322835999999999
14	0.0106939	0.0157271	12.497449999999999	10.9531	11.237289999999998
15	0.0157271	0.0231182	14.952640000000004	13.1947	13.855279999999999
16	0.0231182	0.033972	17.665519999999997	15.651	16.716150000000003
17	0.033972	0.0499107	20.277159999999995	17.975	19.14505
18	0.0499107	0.0733165	22.250299999999992	19.7934	21.215679999999995
19	0.0733165	0.107688	23.665240000000004	20.7109	22.36588
20	0.107688	0.158161	24.364510000000003	20.9429	22.803639999999998
21	0.158161	0.232281	24.74834	20.8205	22.896880000000003
22	0.232281	0.341124	24.969630000000002	20.3887	22.69243000000001
23	0.341124	0.50096	25.0628	19.5797	22.071399999999993
24	0.50096	inf	25.0628	19.5797	22.0714
