time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.63546e-05	0.0187342
1	1.63546e-05	4.10562e-05	0.0187342
2	4.10562e-05	7.8365e-05	6.98176
3	7.8365e-05	0.000134715	0.0172794
4	0.000134715	0.000219825	0.0156052
5	0.000219825	0.000348374	0.0156038
6	0.000348374	0.000542531	0.25506
7	0.000542531	0.000835781	6.81501
8	0.000835781	0.0012787	59.0378
9	0.0012787	0.00194767	48.0852
10	0.00194767	0.00295807	14.3886
11	0.00295807	0.00448416	5.47091
12	0.00448416	0.00678913	3.74932
13	0.00678913	0.0102705	4.01249
14	0.0102705	0.0155287	5.3897
15	0.0155287	0.0234705	7.69216
16	0.0234705	0.0354657	10.5656
17	0.0354657	0.053583	13.4745
18	0.053583	0.0809468	15.7311
19	0.0809468	0.122277	16.6785
20	0.122277	0.1847	16.8952
21	0.1847	0.278983	17.4415
22	0.278983	0.421386	18.8798
23	0.421386	0.636469	24.9061
24	0.636469	inf	24.9061
