time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	1.63546e-05	43.917	0.0187342	3592.9199999999996
1	1.63546e-05	4.10562e-05	34.17696000000001	0.0187342	3592.9199999999996
2	4.10562e-05	7.8365e-05	24.89515	6.98176	3243.06726
3	7.8365e-05	0.000134715	32.153420000000004	0.0172794	94.39260000000003
4	0.000134715	0.000219825	19.601339999999997	0.0156052	1329.2499999999998
5	0.000219825	0.000348374	7.7628829999999995	0.0156038	143.3
6	0.000348374	0.000542531	17.352007	0.25506	47.128009999999996
7	0.000542531	0.000835781	55.63201000000001	6.81501	66.67580000000001
8	0.000835781	0.0012787	80.13680000000002	59.0378	121.80289999999998
9	0.0012787	0.00194767	59.063690000000015	48.0852	143.8988
10	0.00194767	0.00295807	31.05324	14.3886	77.30197999999999
11	0.00295807	0.00448416	17.41387	5.47091	23.260079999999995
12	0.00448416	0.00678913	12.853920000000004	3.74932	6.598932
13	0.00678913	0.0102705	11.920180000000002	4.01249	3.3623510000000008
14	0.0102705	0.0155287	12.668840000000001	5.3897	3.6841910000000007
15	0.0155287	0.0234705	14.274359999999996	7.69216	5.568194000000001
16	0.0234705	0.0354657	16.3337	10.5656	8.827759999999998
17	0.0354657	0.053583	18.409599999999998	13.4745	13.808629999999999
18	0.053583	0.0809468	19.885399999999997	15.7311	19.558999999999997
19	0.0809468	0.122277	20.327779999999994	16.6785	25.89252
20	0.122277	0.1847	20.160540000000005	16.8952	31.995160000000006
21	0.1847	0.278983	20.02386	17.4415	41.42854
22	0.278983	0.421386	20.41954	18.8798	50.1625
23	0.421386	0.636469	20.5237	24.9061	50.1625
24	0.636469	inf	20.5237	24.9061	50.1625
