time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.33183e-05	76.2136	0.0236346	39.3226
1	2.33183e-05	5.7561e-05	76.2136	0.0236346	39.3226
2	5.7561e-05	0.000107846	89.43808	2.1977	43.89201
3	0.000107846	0.000181689	129.21057	0.020313	85.01670000000003
4	0.000181689	0.000290126	11.081699999999996	0.0202964	13.215293999999997
5	0.000290126	0.000449364	15.9459	0.0268157	16.972191999999996
6	0.000449364	0.000683204	65.81760000000001	11.9063	60.542460000000005
7	0.000683204	0.00102659	121.48254999999997	69.4804	93.51767999999998
8	0.00102659	0.00153086	89.78002000000001	53.8128	72.90530000000001
9	0.00153086	0.00227137	39.47032000000001	23.4322	36.15234999999999
10	0.00227137	0.00335879	18.368649999999995	12.2828	19.37287
11	0.00335879	0.00495566	12.363540000000002	9.35893	12.41446
12	0.00495566	0.00730065	11.750960000000001	9.42092	11.112039999999999
13	0.00730065	0.0107442	13.397450000000001	10.8273	11.475959999999999
14	0.0107442	0.0158011	16.00496	12.8402	12.783740000000002
15	0.0158011	0.023227	18.55575	14.9708	14.582399999999998
16	0.023227	0.0341319	20.265189999999993	16.9728	16.6278
17	0.0341319	0.0501455	21.341720000000002	18.619	18.675179999999997
18	0.0501455	0.0736614	21.670560000000002	19.5527	20.267820000000004
19	0.0736614	0.108194	21.469019999999993	19.5253	20.966110000000004
20	0.108194	0.158905	21.24058	18.9263	21.06856000000001
21	0.158905	0.233373	21.360300000000002	18.2625	20.85463
22	0.233373	0.342729	21.80684	17.7025	20.572070000000004
23	0.342729	0.503317	22.2925	17.184	20.13200000000001
24	0.503317	inf	22.2925	17.184	20.132
