time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	1.63715e-05	46.8647	0.0162275	1784.6399999999996
1	1.63715e-05	4.10987e-05	28.136026560000005	0.0162275	1784.6399999999996
2	4.10987e-05	7.8446e-05	10.381458199999999	0.0156862	1784.6399999999996
3	7.8446e-05	0.000134855	56.11185	7.29021	195.27150000000006
4	0.000134855	0.000220053	41.285846	0.0155896	280.6862
5	0.000220053	0.000348734	6.181198000000002	0.0155874	310.43160000000006
6	0.000348734	0.000543092	18.657807000000005	0.392955	203.77660000000006
7	0.000543092	0.000836645	66.01513000000001	5.5691	119.35260000000002
8	0.000836645	0.00128002	84.79781	43.852	100.14134000000001
9	0.00128002	0.00194969	53.44005999999999	56.6589	108.97977999999999
10	0.00194969	0.00296113	24.26833999999999	23.9337	85.32682
11	0.00296113	0.0044888	12.772279999999995	9.79868	43.283359999999995
12	0.0044888	0.00679615	9.620201	6.18498	18.487
13	0.00679615	0.0102811	9.647251	5.80794	9.395398
14	0.0102811	0.0155447	11.228678	6.75532	7.350412000000002
15	0.0155447	0.0234948	13.640500000000001	8.36738	7.684484000000001
16	0.0234948	0.0355024	16.33918	10.27	9.438704000000001
17	0.0355024	0.0536384	18.84539	12.2337	12.396640000000003
18	0.0536384	0.0810305	20.694259999999996	14.0254	15.974799999999997
19	0.0810305	0.122403	21.603150000000003	15.2667	20.160989999999998
20	0.122403	0.184891	21.88794	15.8996	23.59002
21	0.184891	0.279272	21.796940000000003	16.289	27.717640000000003
22	0.279272	0.421822	21.27324	16.6197	33.1381
23	0.421822	0.637127	21.1496	17.039	33.1381
24	0.637127	inf	21.1496	17.039	33.1381
