time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.63289e-05	0.0166468
1	1.63289e-05	4.09916e-05	0.0166468
2	4.09916e-05	7.82417e-05	0.0191531
3	7.82417e-05	0.000134503	7.25743
4	0.000134503	0.00021948	0.0156302
5	0.00021948	0.000347826	0.0156286
6	0.000347826	0.000541677	0.0156285
7	0.000541677	0.000834466	7.8684
8	0.000834466	0.00127669	74.9749
9	0.00127669	0.00194461	38.082
10	0.00194461	0.00295342	7.92031
11	0.00295342	0.00447711	2.80805
12	0.00447711	0.00677845	2.2553
13	0.00677845	0.0102543	3.07364
14	0.0102543	0.0155043	5.05826
15	0.0155043	0.0234336	8.10553
16	0.0234336	0.0354099	11.7007
17	0.0354099	0.0534987	15.0573
18	0.0534987	0.0808195	17.0443
19	0.0808195	0.122084	17.1168
20	0.122084	0.18441	16.4643
21	0.18441	0.278544	16.138
22	0.278544	0.420724	16.2227
23	0.420724	0.635468	16.7533
24	0.635468	inf	16.7533
