time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.32091e-05	0.0306389
1	2.32091e-05	5.72914e-05	0.0306389
2	5.72914e-05	0.000107341	13.1057
3	0.000107341	0.000180838	0.0203915
4	0.000180838	0.000288767	1.54386
5	0.000288767	0.00044726	0.817682
6	0.00044726	0.000680005	9.59573
7	0.000680005	0.00102179	59.2712
8	0.00102179	0.00152369	69.6718
9	0.00152369	0.00226073	35.0756
10	0.00226073	0.00334306	16.7612
11	0.00334306	0.00493246	10.5836
12	0.00493246	0.00726646	8.97651
13	0.00726646	0.0106939	9.37946
14	0.0106939	0.0157271	10.9531
15	0.0157271	0.0231182	13.1947
16	0.0231182	0.033972	15.651
17	0.033972	0.0499107	17.975
18	0.0499107	0.0733165	19.7934
19	0.0733165	0.107688	20.7109
20	0.107688	0.158161	20.9429
21	0.158161	0.232281	20.8205
22	0.232281	0.341124	20.3887
23	0.341124	0.50096	19.5797
24	0.50096	inf	19.5797
