Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_AM->ATL	Data-ld-ln	Full-ld-ln
0	 0.00000	 0.00011	 0.00000	 0.00001	 0.01808	 0.00000	 0.00000	 0.00000		235.573359	-2594.297462
1001	 0.00001	 0.00011	 0.00000	 0.00016	 0.01669	 0.00000	 0.00000	 0.00000		208.586167	-2662.364434
2002	 0.00001	 0.00006	 0.00001	 0.00006	 0.01532	 0.00000	 0.00000	 0.00000		224.010006	-2693.122638
3003	 0.00001	 0.00001	 0.00000	 0.00004	 0.01751	 0.00000	 0.00000	 0.00000		236.398932	-2654.384707
4004	 0.00000	 0.00001	 0.00000	 0.00006	 0.01577	 0.00000	 0.00000	 0.00000		227.483650	-2657.605004
5005	 0.00001	 0.00003	 0.00000	 0.00002	 0.01680	 0.00000	 0.00000	 0.00000		223.940407	-2629.045519
6006	 0.00001	 0.00004	 0.00000	 0.00002	 0.01672	 0.00000	 0.00000	 0.00000		226.736240	-2648.807438
7007	 0.00001	 0.00009	 0.00000	 0.00001	 0.01615	 0.00000	 0.00000	 0.00000		218.484627	-2578.828241
8008	 0.00002	 0.00009	 0.00001	 0.00001	 0.01550	 0.00000	 0.00000	 0.00000		230.190468	-2679.024212
9009	 0.00004	 0.00022	 0.00001	 0.00005	 0.01694	 0.00000	 0.00000	 0.00000		202.814964	-2604.054426
10010	 0.00008	 0.00029	 0.00003	 0.00012	 0.01684	 0.00001	 0.00001	 0.00000		192.859944	-2636.430319
11011	 0.00009	 0.00026	 0.00002	 0.00003	 0.01519	 0.00001	 0.00001	 0.00000		210.522582	-2705.319131
12012	 0.00012	 0.00019	 0.00003	 0.00003	 0.01636	 0.00001	 0.00001	 0.00000		206.655340	-2580.271105
13013	 0.00007	 0.00036	 0.00003	 0.00004	 0.01593	 0.00001	 0.00001	 0.00000		200.401932	-2580.851291
14014	 0.00014	 0.00026	 0.00003	 0.00009	 0.01661	 0.00001	 0.00001	 0.00000		190.884908	-2592.534426
15015	 0.00009	 0.00032	 0.00003	 0.00005	 0.01564	 0.00001	 0.00001	 0.00000		191.492751	-2702.119308
16016	 0.00006	 0.00021	 0.00002	 0.00001	 0.01633	 0.00001	 0.00001	 0.00000		198.610623	-2591.819826
17017	 0.00006	 0.00014	 0.00002	 0.00009	 0.01677	 0.00000	 0.00001	 0.00000		200.302972	-2526.641793
