Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_AM->ATL	Data-ld-ln	Full-ld-ln
0	 0.00011	 0.00011	 0.00001	 0.00014	 0.00590	 0.00001	 0.00001	 0.00000		208.706826	-1110.796404
1001	 0.00011	 0.00007	 0.00001	 0.00023	 0.00552	 0.00000	 0.00000	 0.00000		211.966773	-1082.624742
2002	 0.00004	 0.00004	 0.00001	 0.00023	 0.00588	 0.00000	 0.00000	 0.00000		214.281882	-1074.657649
3003	 0.00002	 0.00003	 0.00000	 0.00007	 0.00647	 0.00000	 0.00000	 0.00000		228.358112	-1093.003084
4004	 0.00004	 0.00003	 0.00000	 0.00002	 0.00521	 0.00000	 0.00000	 0.00000		246.519076	-1071.364583
5005	 0.00005	 0.00007	 0.00001	 0.00023	 0.00735	 0.00000	 0.00001	 0.00000		216.460513	-1065.115378
6006	 0.00008	 0.00009	 0.00001	 0.00012	 0.00743	 0.00000	 0.00001	 0.00000		219.841603	-1060.511478
7007	 0.00002	 0.00004	 0.00000	 0.00028	 0.00658	 0.00000	 0.00000	 0.00000		231.834244	-1061.147382
8008	 0.00003	 0.00002	 0.00001	 0.00003	 0.00578	 0.00000	 0.00000	 0.00000		240.287168	-1061.620747
9009	 0.00006	 0.00008	 0.00001	 0.00019	 0.00725	 0.00000	 0.00001	 0.00000		217.538015	-1038.282896
10010	 0.00004	 0.00017	 0.00002	 0.00026	 0.00584	 0.00000	 0.00001	 0.00000		211.749628	-1059.936749
11011	 0.00007	 0.00007	 0.00002	 0.00009	 0.00607	 0.00000	 0.00001	 0.00000		219.701288	-1088.999711
12012	 0.00003	 0.00007	 0.00001	 0.00018	 0.00634	 0.00000	 0.00001	 0.00000		216.876729	-1081.886611
13013	 0.00003	 0.00005	 0.00002	 0.00021	 0.00643	 0.00000	 0.00001	 0.00000		217.609485	-1104.293434
14014	 0.00011	 0.00013	 0.00001	 0.00005	 0.00703	 0.00001	 0.00001	 0.00000		221.244714	-1075.330923
15015	 0.00022	 0.00018	 0.00002	 0.00015	 0.00615	 0.00001	 0.00001	 0.00000		199.740729	-1086.759699
16016	 0.00011	 0.00013	 0.00001	 0.00013	 0.00645	 0.00001	 0.00001	 0.00000		206.464443	-1102.324635
17017	 0.00006	 0.00024	 0.00001	 0.00007	 0.00629	 0.00000	 0.00001	 0.00000		223.682558	-1057.811015
18018	 0.00005	 0.00008	 0.00002	 0.00009	 0.00725	 0.00000	 0.00001	 0.00000		221.756770	-1081.540603
19019	 0.00010	 0.00017	 0.00002	 0.00016	 0.00729	 0.00001	 0.00001	 0.00000		207.815765	-1051.188198
20020	 0.00015	 0.00008	 0.00001	 0.00012	 0.00679	 0.00001	 0.00001	 0.00000		214.435753	-1081.216451
21021	 0.00001	 0.00001	 0.00001	 0.00016	 0.00709	 0.00000	 0.00000	 0.00000		235.474874	-1062.591270
22022	 0.00006	 0.00017	 0.00004	 0.00022	 0.00660	 0.00000	 0.00002	 0.00000		213.347159	-1063.582150
23023	 0.00016	 0.00012	 0.00002	 0.00009	 0.00619	 0.00001	 0.00001	 0.00000		222.914916	-1070.540248
24024	 0.00008	 0.00011	 0.00003	 0.00022	 0.00511	 0.00000	 0.00001	 0.00000		213.709879	-1105.264783
25025	 0.00002	 0.00002	 0.00002	 0.00023	 0.00610	 0.00000	 0.00001	 0.00000		229.056243	-1083.537081
26026	 0.00001	 0.00004	 0.00001	 0.00031	 0.00658	 0.00000	 0.00001	 0.00000		211.860113	-1070.964864
27027	 0.00001	 0.00003	 0.00001	 0.00010	 0.00604	 0.00000	 0.00000	 0.00000		223.384310	-1093.008788
28028	 0.00000	 0.00001	 0.00001	 0.00012	 0.00667	 0.00000	 0.00000	 0.00000		236.381797	-1069.160902
29029	 0.00000	 0.00005	 0.00001	 0.00026	 0.00594	 0.00000	 0.00000	 0.00000		220.570408	-1094.145102
30030	 0.00001	 0.00001	 0.00001	 0.00006	 0.00586	 0.00000	 0.00000	 0.00000		239.708826	-1068.594403
31031	 0.00002	 0.00017	 0.00002	 0.00016	 0.00671	 0.00000	 0.00001	 0.00000		221.069574	-1078.942449
32032	 0.00010	 0.00009	 0.00004	 0.00029	 0.00520	 0.00000	 0.00002	 0.00000		213.567599	-1128.934579
33033	 0.00002	 0.00002	 0.00001	 0.00012	 0.00641	 0.00000	 0.00000	 0.00000		235.065985	-1127.183943
34034	 0.00015	 0.00005	 0.00001	 0.00018	 0.00563	 0.00000	 0.00001	 0.00000		210.606476	-1079.582853
35035	 0.00002	 0.00002	 0.00001	 0.00016	 0.00699	 0.00000	 0.00001	 0.00000		221.810835	-1068.588626
36036	 0.00002	 0.00006	 0.00001	 0.00025	 0.00579	 0.00000	 0.00001	 0.00000		215.314184	-1067.213586
37037	 0.00001	 0.00009	 0.00001	 0.00021	 0.00652	 0.00000	 0.00001	 0.00000		217.803575	-1099.528856
38038	 0.00003	 0.00004	 0.00001	 0.00027	 0.00641	 0.00000	 0.00001	 0.00000		214.602073	-1094.601364
39039	 0.00004	 0.00007	 0.00002	 0.00030	 0.00599	 0.00000	 0.00001	 0.00000		212.662042	-1071.220950
40040	 0.00009	 0.00021	 0.00002	 0.00021	 0.00691	 0.00000	 0.00001	 0.00000		206.852455	-1090.660717
41041	 0.00010	 0.00015	 0.00001	 0.00004	 0.00618	 0.00000	 0.00001	 0.00000		215.335078	-1087.837722
42042	 0.00006	 0.00006	 0.00002	 0.00015	 0.00740	 0.00000	 0.00001	 0.00000		224.795933	-1077.221679
43043	 0.00011	 0.00012	 0.00003	 0.00072	 0.00642	 0.00001	 0.00001	 0.00000		201.136575	-1074.235285
44044	 0.00020	 0.00026	 0.00003	 0.00011	 0.00616	 0.00001	 0.00001	 0.00000		214.543568	-1083.120728
45045	 0.00012	 0.00025	 0.00003	 0.00014	 0.00667	 0.00001	 0.00002	 0.00000		216.028549	-1060.841249
46046	 0.00004	 0.00004	 0.00002	 0.00029	 0.00611	 0.00000	 0.00001	 0.00000		214.023813	-1099.018353
47047	 0.00002	 0.00003	 0.00001	 0.00015	 0.00657	 0.00000	 0.00001	 0.00000		228.549504	-1055.688575
48048	 0.00002	 0.00003	 0.00001	 0.00013	 0.00681	 0.00000	 0.00001	 0.00000		222.380363	-1079.386666
49049	 0.00003	 0.00002	 0.00001	 0.00011	 0.00623	 0.00000	 0.00001	 0.00000		233.253620	-1105.556883
50050	 0.00001	 0.00004	 0.00001	 0.00011	 0.00700	 0.00000	 0.00000	 0.00000		227.999532	-1042.970376
51051	 0.00006	 0.00006	 0.00002	 0.00010	 0.00669	 0.00000	 0.00001	 0.00000		228.282449	-1063.602250
52052	 0.00009	 0.00005	 0.00001	 0.00004	 0.00606	 0.00000	 0.00000	 0.00000		233.049018	-1030.789684
53053	 0.00009	 0.00013	 0.00001	 0.00008	 0.00601	 0.00000	 0.00001	 0.00000		215.834719	-1087.553074
54054	 0.00005	 0.00018	 0.00002	 0.00025	 0.00667	 0.00000	 0.00001	 0.00000		210.928770	-1057.294813
55055	 0.00004	 0.00005	 0.00001	 0.00024	 0.00564	 0.00000	 0.00001	 0.00000		221.534189	-1096.937362
