Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_AM->ATL	Data-ld-ln	Full-ld-ln
0	 0.00001	 0.00002	 0.00000	 0.00010	 0.01641	 0.00000	 0.00000	 0.00000		203.910895	-2932.369653
1001	 0.00001	 0.00006	 0.00000	 0.00001	 0.01825	 0.00000	 0.00000	 0.00000		220.509928	-2843.932634
2002	 0.00001	 0.00008	 0.00000	 0.00010	 0.01658	 0.00000	 0.00000	 0.00000		200.015002	-2947.400435
3003	 0.00002	 0.00003	 0.00001	 0.00008	 0.01889	 0.00000	 0.00000	 0.00000		204.058693	-2795.882401
4004	 0.00003	 0.00006	 0.00001	 0.00013	 0.01763	 0.00000	 0.00000	 0.00000		203.888427	-2825.539021
5005	 0.00003	 0.00003	 0.00001	 0.00006	 0.01857	 0.00000	 0.00000	 0.00000		223.789890	-2768.454257
6006	 0.00005	 0.00007	 0.00002	 0.00017	 0.01556	 0.00000	 0.00001	 0.00000		200.650652	-2874.721540
7007	 0.00007	 0.00034	 0.00005	 0.00032	 0.01770	 0.00001	 0.00002	 0.00000		186.636619	-2870.540716
8008	 0.00005	 0.00009	 0.00006	 0.00040	 0.01837	 0.00000	 0.00001	 0.00000		186.291756	-2812.503883
9009	 0.00005	 0.00006	 0.00004	 0.00028	 0.01773	 0.00000	 0.00002	 0.00000		203.209176	-2771.190953
10010	 0.00003	 0.00009	 0.00002	 0.00014	 0.01773	 0.00000	 0.00001	 0.00000		206.807455	-2787.369723
11011	 0.00004	 0.00005	 0.00001	 0.00008	 0.01859	 0.00000	 0.00000	 0.00000		205.123867	-2796.303512
12012	 0.00010	 0.00042	 0.00004	 0.00017	 0.01702	 0.00001	 0.00001	 0.00000		190.044982	-2859.814028
13013	 0.00013	 0.00030	 0.00005	 0.00028	 0.01717	 0.00001	 0.00002	 0.00000		190.132788	-2817.384830
14014	 0.00004	 0.00012	 0.00002	 0.00020	 0.01860	 0.00000	 0.00001	 0.00000		203.872061	-2708.265370
15015	 0.00003	 0.00014	 0.00002	 0.00024	 0.01608	 0.00000	 0.00001	 0.00000		199.548311	-2839.537624
16016	 0.00015	 0.00022	 0.00007	 0.00022	 0.01613	 0.00001	 0.00002	 0.00000		197.866277	-2817.713344
17017	 0.00013	 0.00018	 0.00003	 0.00007	 0.01766	 0.00001	 0.00001	 0.00000		195.593315	-2870.755067
18018	 0.00009	 0.00009	 0.00002	 0.00006	 0.01678	 0.00001	 0.00001	 0.00000		208.244033	-2726.169293
