Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_AM->ATL	Data-ld-ln	Full-ld-ln
49049	 0.00001	 0.00007	 0.00000	 0.00017	 0.01634	 0.00000	 0.00000	 0.00000		208.045209	-2916.359238
50050	 0.00001	 0.00004	 0.00000	 0.00014	 0.01700	 0.00000	 0.00000	 0.00000		214.527522	-2760.504581
51051	 0.00001	 0.00009	 0.00000	 0.00014	 0.01845	 0.00000	 0.00000	 0.00000		210.857045	-2838.619045
52052	 0.00001	 0.00002	 0.00000	 0.00005	 0.01890	 0.00000	 0.00000	 0.00000		223.206286	-2776.745771
53053	 0.00001	 0.00001	 0.00000	 0.00001	 0.01627	 0.00000	 0.00000	 0.00000		238.294410	-2854.449052
54054	 0.00000	 0.00001	 0.00000	 0.00007	 0.01831	 0.00000	 0.00000	 0.00000		235.675733	-2838.957152
55055	 0.00001	 0.00001	 0.00000	 0.00009	 0.01863	 0.00000	 0.00000	 0.00000		233.117516	-2795.536496
56056	 0.00001	 0.00003	 0.00000	 0.00004	 0.01693	 0.00000	 0.00000	 0.00000		236.168157	-2826.403924
57057	 0.00001	 0.00004	 0.00000	 0.00011	 0.01725	 0.00000	 0.00000	 0.00000		217.114621	-2866.618554
58058	 0.00001	 0.00004	 0.00000	 0.00006	 0.01887	 0.00000	 0.00000	 0.00000		219.012610	-2838.336031
59059	 0.00001	 0.00003	 0.00000	 0.00005	 0.01800	 0.00000	 0.00000	 0.00000		231.935187	-2792.835457
60060	 0.00002	 0.00003	 0.00000	 0.00013	 0.01734	 0.00000	 0.00000	 0.00000		216.554091	-2864.994936
61061	 0.00003	 0.00006	 0.00001	 0.00007	 0.01757	 0.00000	 0.00000	 0.00000		212.700632	-2825.706997
62062	 0.00004	 0.00006	 0.00001	 0.00007	 0.01881	 0.00000	 0.00000	 0.00000		213.428022	-2731.367444
63063	 0.00002	 0.00005	 0.00000	 0.00009	 0.01642	 0.00000	 0.00000	 0.00000		215.250119	-2774.779955
64064	 0.00004	 0.00008	 0.00001	 0.00007	 0.01766	 0.00000	 0.00000	 0.00000		211.816169	-2919.664714
65065	 0.00004	 0.00019	 0.00001	 0.00019	 0.01859	 0.00000	 0.00000	 0.00000		200.532343	-2924.080426
66066	 0.00002	 0.00006	 0.00000	 0.00007	 0.01726	 0.00000	 0.00000	 0.00000		217.083321	-2827.223073
67067	 0.00003	 0.00007	 0.00001	 0.00007	 0.01752	 0.00000	 0.00000	 0.00000		213.563737	-2754.142023
68068	 0.00005	 0.00012	 0.00001	 0.00021	 0.01771	 0.00000	 0.00001	 0.00000		204.768182	-2818.204285
69069	 0.00004	 0.00011	 0.00001	 0.00008	 0.01860	 0.00000	 0.00001	 0.00000		218.137787	-2739.498752
70070	 0.00010	 0.00014	 0.00002	 0.00011	 0.01756	 0.00001	 0.00001	 0.00000		213.132385	-2762.285729
71071	 0.00006	 0.00012	 0.00001	 0.00007	 0.01763	 0.00000	 0.00001	 0.00000		214.251451	-2810.147704
72072	 0.00008	 0.00013	 0.00001	 0.00006	 0.01526	 0.00001	 0.00001	 0.00000		210.651037	-2848.052525
73073	 0.00005	 0.00014	 0.00001	 0.00012	 0.01732	 0.00000	 0.00001	 0.00000		207.344747	-2798.882085
74074	 0.00008	 0.00015	 0.00001	 0.00031	 0.01749	 0.00001	 0.00001	 0.00000		195.733871	-2840.197058
75075	 0.00006	 0.00009	 0.00001	 0.00005	 0.01744	 0.00000	 0.00000	 0.00000		218.971814	-2794.482375
76076	 0.00007	 0.00014	 0.00001	 0.00004	 0.01773	 0.00000	 0.00001	 0.00000		219.341668	-2795.941627
77077	 0.00006	 0.00010	 0.00001	 0.00008	 0.01762	 0.00000	 0.00001	 0.00000		205.700653	-2871.442642
78078	 0.00006	 0.00008	 0.00001	 0.00002	 0.01551	 0.00000	 0.00000	 0.00000		217.106609	-2906.665479
79079	 0.00009	 0.00011	 0.00001	 0.00005	 0.01833	 0.00001	 0.00001	 0.00000		201.892458	-2810.528889
80080	 0.00012	 0.00014	 0.00001	 0.00009	 0.01887	 0.00001	 0.00001	 0.00000		201.050732	-2774.205277
81081	 0.00016	 0.00037	 0.00002	 0.00023	 0.01784	 0.00001	 0.00002	 0.00000		191.467847	-2825.755693
82082	 0.00011	 0.00018	 0.00002	 0.00007	 0.01712	 0.00001	 0.00001	 0.00000		208.709745	-2856.664997
83083	 0.00007	 0.00013	 0.00001	 0.00021	 0.01529	 0.00001	 0.00001	 0.00000		202.004866	-2836.118488
84084	 0.00005	 0.00009	 0.00001	 0.00007	 0.01760	 0.00000	 0.00000	 0.00000		210.153106	-2844.923049
85085	 0.00004	 0.00007	 0.00001	 0.00007	 0.01758	 0.00000	 0.00000	 0.00000		212.480220	-2893.994682
86086	 0.00008	 0.00013	 0.00002	 0.00016	 0.01815	 0.00001	 0.00001	 0.00000		204.379827	-2807.751748
87087	 0.00006	 0.00007	 0.00001	 0.00005	 0.01671	 0.00000	 0.00000	 0.00000		214.061988	-2804.166220
88088	 0.00003	 0.00007	 0.00001	 0.00001	 0.01967	 0.00000	 0.00000	 0.00000		233.269877	-2726.074955
89089	 0.00005	 0.00009	 0.00001	 0.00004	 0.01816	 0.00000	 0.00000	 0.00000		214.053254	-2827.953851
90090	 0.00007	 0.00017	 0.00001	 0.00027	 0.01658	 0.00001	 0.00001	 0.00000		196.884945	-2807.324602
91091	 0.00010	 0.00019	 0.00002	 0.00009	 0.01914	 0.00001	 0.00001	 0.00000		205.768117	-2788.283922
92092	 0.00014	 0.00015	 0.00002	 0.00012	 0.01879	 0.00001	 0.00001	 0.00000		200.955580	-2773.214144
93093	 0.00005	 0.00010	 0.00001	 0.00006	 0.01684	 0.00000	 0.00000	 0.00000		220.949058	-2809.839258
94094	 0.00003	 0.00008	 0.00001	 0.00012	 0.01716	 0.00000	 0.00000	 0.00000		214.570251	-2718.322017
95095	 0.00003	 0.00007	 0.00001	 0.00012	 0.01802	 0.00000	 0.00000	 0.00000		217.234237	-2842.413570
96096	 0.00004	 0.00014	 0.00001	 0.00023	 0.01525	 0.00000	 0.00001	 0.00000		208.959601	-2777.915393
97097	 0.00005	 0.00005	 0.00001	 0.00025	 0.01764	 0.00000	 0.00001	 0.00000		208.952541	-2888.350909
98098	 0.00008	 0.00021	 0.00003	 0.00032	 0.02042	 0.00001	 0.00002	 0.00000		197.829028	-2803.358787
99099	 0.00006	 0.00009	 0.00002	 0.00015	 0.01737	 0.00000	 0.00001	 0.00000		216.177605	-2773.902071
100100	 0.00004	 0.00013	 0.00001	 0.00022	 0.01911	 0.00000	 0.00001	 0.00000		207.743213	-2772.228065
101101	 0.00005	 0.00012	 0.00001	 0.00005	 0.01794	 0.00000	 0.00000	 0.00000		213.269232	-2778.374791
102102	 0.00002	 0.00006	 0.00000	 0.00004	 0.01715	 0.00000	 0.00000	 0.00000		216.821560	-2842.977529
