Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_AM->ATL	Data-ld-ln	Full-ld-ln
0	 0.00007	 0.00016	 0.00003	 0.00003	 0.00911	 0.00000	 0.00001	 0.00000		208.335871	-1443.641240
1001	 0.00008	 0.00018	 0.00005	 0.00003	 0.00791	 0.00001	 0.00001	 0.00000		215.597157	-1420.663571
2002	 0.00005	 0.00005	 0.00002	 0.00002	 0.00796	 0.00000	 0.00000	 0.00000		214.991590	-1411.552728
3003	 0.00002	 0.00011	 0.00002	 0.00007	 0.00852	 0.00000	 0.00000	 0.00000		213.601160	-1434.626991
4004	 0.00007	 0.00017	 0.00005	 0.00013	 0.00840	 0.00001	 0.00001	 0.00000		203.973373	-1392.715941
5005	 0.00003	 0.00012	 0.00009	 0.00023	 0.00791	 0.00000	 0.00002	 0.00000		208.373786	-1446.321938
6006	 0.00006	 0.00008	 0.00007	 0.00032	 0.00864	 0.00000	 0.00002	 0.00000		193.912927	-1453.719600
7007	 0.00006	 0.00011	 0.00008	 0.00027	 0.00971	 0.00000	 0.00002	 0.00000		196.886297	-1351.743467
8008	 0.00007	 0.00015	 0.00005	 0.00010	 0.00866	 0.00001	 0.00001	 0.00000		206.297145	-1376.614978
9009	 0.00010	 0.00010	 0.00004	 0.00014	 0.00855	 0.00001	 0.00001	 0.00000		201.301896	-1433.791695
10010	 0.00004	 0.00023	 0.00009	 0.00013	 0.00762	 0.00000	 0.00001	 0.00000		207.371390	-1482.343598
11011	 0.00010	 0.00007	 0.00005	 0.00012	 0.00871	 0.00000	 0.00001	 0.00000		213.447794	-1447.739736
12012	 0.00005	 0.00010	 0.00003	 0.00005	 0.00774	 0.00000	 0.00001	 0.00000		223.077424	-1430.417518
13013	 0.00011	 0.00019	 0.00007	 0.00016	 0.00893	 0.00001	 0.00001	 0.00000		196.919339	-1397.002922
14014	 0.00006	 0.00011	 0.00004	 0.00009	 0.00712	 0.00000	 0.00001	 0.00000		211.039641	-1449.137363
15015	 0.00006	 0.00010	 0.00005	 0.00010	 0.00854	 0.00000	 0.00001	 0.00000		209.180057	-1458.043152
16016	 0.00011	 0.00014	 0.00005	 0.00006	 0.00835	 0.00001	 0.00001	 0.00000		209.187671	-1417.386143
17017	 0.00006	 0.00008	 0.00003	 0.00011	 0.00820	 0.00000	 0.00001	 0.00000		202.934670	-1457.348234
18018	 0.00012	 0.00017	 0.00005	 0.00009	 0.00763	 0.00000	 0.00001	 0.00000		207.939668	-1402.545481
19019	 0.00002	 0.00006	 0.00003	 0.00009	 0.00932	 0.00000	 0.00001	 0.00000		219.008188	-1398.974726
20020	 0.00004	 0.00013	 0.00010	 0.00014	 0.00778	 0.00000	 0.00002	 0.00000		207.180970	-1428.414197
21021	 0.00010	 0.00010	 0.00015	 0.00025	 0.00794	 0.00000	 0.00002	 0.00000		192.547741	-1455.047833
22022	 0.00001	 0.00003	 0.00003	 0.00021	 0.00735	 0.00000	 0.00001	 0.00000		216.028580	-1414.350409
23023	 0.00000	 0.00003	 0.00002	 0.00014	 0.00844	 0.00000	 0.00000	 0.00000		205.059034	-1415.288175
24024	 0.00001	 0.00011	 0.00004	 0.00014	 0.00860	 0.00000	 0.00001	 0.00000		206.261594	-1424.955304
25025	 0.00000	 0.00001	 0.00001	 0.00010	 0.00814	 0.00000	 0.00000	 0.00000		221.368968	-1414.851242
26026	 0.00001	 0.00004	 0.00010	 0.00031	 0.00854	 0.00000	 0.00002	 0.00000		205.599845	-1413.292938
27027	 0.00001	 0.00005	 0.00003	 0.00008	 0.00858	 0.00000	 0.00001	 0.00000		221.660622	-1387.143996
28028	 0.00001	 0.00002	 0.00006	 0.00016	 0.00817	 0.00000	 0.00001	 0.00000		213.687080	-1419.371463
29029	 0.00002	 0.00004	 0.00012	 0.00038	 0.00777	 0.00000	 0.00003	 0.00000		204.148168	-1428.407747
30030	 0.00005	 0.00008	 0.00013	 0.00023	 0.00886	 0.00000	 0.00003	 0.00000		201.695418	-1355.102350
31031	 0.00004	 0.00005	 0.00014	 0.00049	 0.00871	 0.00000	 0.00003	 0.00000		192.520941	-1383.291082
32032	 0.00002	 0.00005	 0.00007	 0.00020	 0.00855	 0.00000	 0.00002	 0.00000		209.993053	-1397.039378
33033	 0.00004	 0.00017	 0.00008	 0.00031	 0.00860	 0.00000	 0.00002	 0.00000		193.989328	-1450.577482
34034	 0.00006	 0.00006	 0.00012	 0.00021	 0.00748	 0.00000	 0.00002	 0.00000		205.805399	-1463.933842
35035	 0.00013	 0.00008	 0.00010	 0.00022	 0.00782	 0.00000	 0.00002	 0.00000		203.877908	-1413.471348
36036	 0.00004	 0.00019	 0.00003	 0.00006	 0.00792	 0.00000	 0.00001	 0.00000		216.536810	-1410.207439
37037	 0.00001	 0.00012	 0.00002	 0.00005	 0.00760	 0.00000	 0.00000	 0.00000		225.802917	-1419.870537
38038	 0.00005	 0.00013	 0.00004	 0.00013	 0.00775	 0.00000	 0.00001	 0.00000		211.415230	-1464.275212
39039	 0.00006	 0.00024	 0.00011	 0.00023	 0.00815	 0.00000	 0.00002	 0.00000		198.674223	-1440.451213
40040	 0.00002	 0.00011	 0.00005	 0.00014	 0.00888	 0.00000	 0.00001	 0.00000		213.722860	-1402.740213
41041	 0.00006	 0.00012	 0.00014	 0.00033	 0.00916	 0.00000	 0.00003	 0.00000		196.392905	-1425.825395
42042	 0.00003	 0.00005	 0.00002	 0.00004	 0.00963	 0.00000	 0.00000	 0.00000		225.622701	-1339.874292
43043	 0.00005	 0.00012	 0.00003	 0.00009	 0.00830	 0.00000	 0.00001	 0.00000		206.142024	-1438.641318
44044	 0.00004	 0.00014	 0.00006	 0.00013	 0.00886	 0.00000	 0.00001	 0.00000		204.235945	-1402.434356
45045	 0.00003	 0.00005	 0.00012	 0.00026	 0.00867	 0.00000	 0.00003	 0.00000		211.936750	-1361.321409
46046	 0.00002	 0.00006	 0.00004	 0.00018	 0.00839	 0.00000	 0.00001	 0.00000		209.595420	-1442.356854
47047	 0.00006	 0.00009	 0.00002	 0.00011	 0.00912	 0.00000	 0.00001	 0.00000		197.230968	-1500.045320
48048	 0.00008	 0.00029	 0.00006	 0.00003	 0.00784	 0.00001	 0.00001	 0.00000		209.256985	-1410.441882
49049	 0.00008	 0.00012	 0.00003	 0.00004	 0.00887	 0.00000	 0.00001	 0.00000		214.177142	-1439.437485
50050	 0.00003	 0.00016	 0.00001	 0.00002	 0.00886	 0.00000	 0.00000	 0.00000		233.238426	-1391.715327
51051	 0.00003	 0.00012	 0.00001	 0.00001	 0.00814	 0.00000	 0.00000	 0.00000		232.619518	-1492.457202
52052	 0.00004	 0.00015	 0.00004	 0.00013	 0.00801	 0.00000	 0.00001	 0.00000		200.483177	-1458.394470
53053	 0.00007	 0.00010	 0.00005	 0.00013	 0.00996	 0.00000	 0.00001	 0.00000		202.605331	-1413.165050
54054	 0.00014	 0.00017	 0.00010	 0.00017	 0.00852	 0.00001	 0.00002	 0.00000		195.811026	-1442.207796
55055	 0.00005	 0.00012	 0.00005	 0.00009	 0.00937	 0.00000	 0.00001	 0.00000		212.322294	-1401.372510
56056	 0.00008	 0.00008	 0.00010	 0.00026	 0.00794	 0.00000	 0.00002	 0.00000		199.121832	-1366.211023
57057	 0.00005	 0.00005	 0.00006	 0.00027	 0.00705	 0.00000	 0.00002	 0.00000		202.354358	-1501.693247
58058	 0.00006	 0.00018	 0.00012	 0.00022	 0.00811	 0.00000	 0.00002	 0.00000		198.649119	-1467.442474
59059	 0.00010	 0.00016	 0.00026	 0.00041	 0.00672	 0.00001	 0.00004	 0.00000		190.925376	-1469.610577
60060	 0.00004	 0.00011	 0.00006	 0.00023	 0.00867	 0.00000	 0.00002	 0.00000		206.002782	-1416.970549
61061	 0.00002	 0.00014	 0.00003	 0.00012	 0.00746	 0.00000	 0.00001	 0.00000		207.379249	-1447.994356
62062	 0.00007	 0.00013	 0.00004	 0.00018	 0.00866	 0.00000	 0.00001	 0.00000		197.136088	-1412.619437
63063	 0.00005	 0.00026	 0.00006	 0.00012	 0.00852	 0.00000	 0.00001	 0.00000		212.544527	-1415.986093
64064	 0.00010	 0.00030	 0.00012	 0.00030	 0.00978	 0.00001	 0.00003	 0.00000		194.486233	-1386.859245
65065	 0.00005	 0.00012	 0.00004	 0.00013	 0.00967	 0.00000	 0.00001	 0.00000		212.618289	-1415.298919
66066	 0.00005	 0.00004	 0.00006	 0.00019	 0.00765	 0.00000	 0.00002	 0.00000		211.564059	-1457.600475
67067	 0.00008	 0.00008	 0.00006	 0.00027	 0.00798	 0.00000	 0.00002	 0.00000		198.241578	-1457.304804
68068	 0.00004	 0.00009	 0.00009	 0.00030	 0.00780	 0.00000	 0.00002	 0.00000		201.084429	-1461.883349
69069	 0.00006	 0.00012	 0.00005	 0.00013	 0.00797	 0.00000	 0.00001	 0.00000		206.930992	-1394.685867
70070	 0.00001	 0.00004	 0.00002	 0.00005	 0.00724	 0.00000	 0.00000	 0.00000		230.029298	-1421.333838
71071	 0.00009	 0.00015	 0.00011	 0.00026	 0.00775	 0.00001	 0.00002	 0.00000		195.082281	-1506.596624
72072	 0.00025	 0.00018	 0.00018	 0.00040	 0.00832	 0.00001	 0.00004	 0.00000		186.715679	-1439.210594
73073	 0.00010	 0.00028	 0.00005	 0.00018	 0.00789	 0.00000	 0.00001	 0.00000		197.497692	-1429.998673
74074	 0.00001	 0.00001	 0.00003	 0.00009	 0.00807	 0.00000	 0.00001	 0.00000		229.418101	-1418.154826
