Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_AM->ATL	Data-ld-ln	Full-ld-ln
0	 0.00003	 0.00011	 0.00004	 0.00014	 0.01454	 0.00000	 0.00001	 0.00000		213.986459	-2172.818389
1001	 0.00004	 0.00003	 0.00003	 0.00014	 0.01260	 0.00000	 0.00001	 0.00000		219.712654	-2215.902570
2002	 0.00002	 0.00017	 0.00003	 0.00015	 0.01404	 0.00000	 0.00001	 0.00000		214.694610	-2141.046778
3003	 0.00002	 0.00002	 0.00003	 0.00022	 0.01314	 0.00000	 0.00001	 0.00000		216.254444	-2106.647296
4004	 0.00009	 0.00017	 0.00007	 0.00043	 0.01397	 0.00000	 0.00003	 0.00000		193.613174	-2183.778892
5005	 0.00006	 0.00005	 0.00004	 0.00029	 0.01325	 0.00000	 0.00002	 0.00000		206.786195	-2229.822911
6006	 0.00004	 0.00014	 0.00005	 0.00017	 0.01350	 0.00000	 0.00002	 0.00000		216.666413	-2056.229118
7007	 0.00006	 0.00003	 0.00002	 0.00013	 0.01357	 0.00000	 0.00001	 0.00000		220.585990	-2183.104723
8008	 0.00002	 0.00002	 0.00002	 0.00010	 0.01464	 0.00000	 0.00001	 0.00000		228.939860	-2113.602766
9009	 0.00004	 0.00005	 0.00006	 0.00024	 0.01474	 0.00000	 0.00002	 0.00000		206.917503	-2154.998945
10010	 0.00005	 0.00003	 0.00002	 0.00012	 0.01417	 0.00000	 0.00001	 0.00000		218.563203	-2166.004809
11011	 0.00011	 0.00034	 0.00004	 0.00013	 0.01397	 0.00001	 0.00002	 0.00000		208.499028	-2040.566516
12012	 0.00017	 0.00014	 0.00005	 0.00021	 0.01441	 0.00000	 0.00002	 0.00000		201.499086	-2174.641462
13013	 0.00015	 0.00018	 0.00003	 0.00014	 0.01292	 0.00001	 0.00001	 0.00000		208.359566	-2193.199541
14014	 0.00017	 0.00012	 0.00002	 0.00005	 0.01339	 0.00000	 0.00001	 0.00000		212.861478	-2207.683229
15015	 0.00005	 0.00005	 0.00001	 0.00002	 0.01446	 0.00000	 0.00000	 0.00000		227.188291	-2097.592426
16016	 0.00007	 0.00007	 0.00001	 0.00002	 0.01469	 0.00000	 0.00000	 0.00000		224.514763	-2149.152104
17017	 0.00004	 0.00006	 0.00001	 0.00002	 0.01174	 0.00000	 0.00000	 0.00000		232.898806	-2154.486964
18018	 0.00004	 0.00004	 0.00001	 0.00001	 0.01329	 0.00000	 0.00000	 0.00000		245.532892	-2240.599589
19019	 0.00005	 0.00003	 0.00000	 0.00001	 0.01427	 0.00000	 0.00000	 0.00000		232.132694	-2118.211337
20020	 0.00005	 0.00011	 0.00002	 0.00003	 0.01519	 0.00000	 0.00001	 0.00000		234.144434	-2141.891675
21021	 0.00004	 0.00006	 0.00001	 0.00005	 0.01280	 0.00000	 0.00000	 0.00000		226.696273	-2255.169510
22022	 0.00009	 0.00006	 0.00002	 0.00017	 0.01313	 0.00000	 0.00001	 0.00000		210.567049	-2175.201709
23023	 0.00008	 0.00011	 0.00007	 0.00026	 0.01282	 0.00000	 0.00003	 0.00000		205.754646	-2184.899692
24024	 0.00021	 0.00014	 0.00005	 0.00016	 0.01383	 0.00001	 0.00002	 0.00000		210.349930	-2084.694811
25025	 0.00013	 0.00013	 0.00006	 0.00021	 0.01363	 0.00001	 0.00003	 0.00000		208.580118	-2127.146210
26026	 0.00003	 0.00009	 0.00005	 0.00011	 0.01218	 0.00000	 0.00002	 0.00000		225.045472	-2114.867967
27027	 0.00004	 0.00003	 0.00003	 0.00014	 0.01300	 0.00000	 0.00001	 0.00000		222.979123	-2158.924526
28028	 0.00001	 0.00003	 0.00004	 0.00030	 0.01285	 0.00000	 0.00002	 0.00000		218.077893	-2131.130239
29029	 0.00000	 0.00010	 0.00001	 0.00006	 0.01647	 0.00000	 0.00001	 0.00000		239.525505	-2083.204358
30030	 0.00003	 0.00009	 0.00006	 0.00034	 0.01334	 0.00000	 0.00003	 0.00000		202.569922	-2179.594250
31031	 0.00002	 0.00002	 0.00003	 0.00015	 0.01377	 0.00000	 0.00001	 0.00000		230.663354	-2098.645810
