Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_ATL->AM	m_AM->ATL	Data-ld-ln	Full-ld-ln
0	 0.00010	 0.00020	 0.00005	 0.00006	 0.01235	 0.00001	 0.00001	 0.00000	 0.00000		215.525188	-1958.764209
1001	 0.00007	 0.00003	 0.00001	 0.00003	 0.01165	 0.00000	 0.00000	 0.00000	 0.00000		223.411970	-2109.151074
2002	 0.00004	 0.00013	 0.00003	 0.00006	 0.01298	 0.00000	 0.00001	 0.00000	 0.00000		214.081289	-1991.128460
3003	 0.00004	 0.00004	 0.00001	 0.00003	 0.01277	 0.00000	 0.00000	 0.00000	 0.00000		222.273119	-2044.634318
4004	 0.00005	 0.00007	 0.00001	 0.00001	 0.01247	 0.00000	 0.00000	 0.00000	 0.00000		212.379115	-2062.409256
5005	 0.00006	 0.00007	 0.00003	 0.00004	 0.01369	 0.00000	 0.00001	 0.00000	 0.00000		211.861157	-2015.126292
6006	 0.00010	 0.00011	 0.00003	 0.00006	 0.01236	 0.00001	 0.00001	 0.00000	 0.00000		211.988597	-2036.610252
7007	 0.00005	 0.00008	 0.00002	 0.00005	 0.01253	 0.00000	 0.00001	 0.00000	 0.00000		222.051232	-1939.444605
8008	 0.00016	 0.00011	 0.00005	 0.00019	 0.01260	 0.00001	 0.00001	 0.00000	 0.00000		195.756977	-2022.377095
9009	 0.00006	 0.00010	 0.00005	 0.00013	 0.01184	 0.00001	 0.00001	 0.00000	 0.00000		210.410462	-1985.348368
10010	 0.00005	 0.00004	 0.00002	 0.00016	 0.01235	 0.00000	 0.00001	 0.00000	 0.00000		215.495248	-2036.684149
11011	 0.00011	 0.00010	 0.00007	 0.00006	 0.01227	 0.00001	 0.00002	 0.00000	 0.00000		218.160416	-1974.715746
12012	 0.00024	 0.00033	 0.00011	 0.00050	 0.01050	 0.00002	 0.00004	 0.00000	 0.00000		186.810981	-2061.477396
13013	 0.00007	 0.00010	 0.00004	 0.00008	 0.01131	 0.00001	 0.00001	 0.00000	 0.00000		219.510851	-2009.979196
14014	 0.00005	 0.00003	 0.00005	 0.00013	 0.01315	 0.00000	 0.00001	 0.00000	 0.00000		218.256927	-2036.527666
15015	 0.00010	 0.00014	 0.00012	 0.00038	 0.01236	 0.00001	 0.00003	 0.00000	 0.00000		195.413342	-1988.895523
16016	 0.00003	 0.00004	 0.00008	 0.00024	 0.01250	 0.00000	 0.00002	 0.00000	 0.00000		214.904313	-1960.211375
17017	 0.00005	 0.00006	 0.00011	 0.00038	 0.01152	 0.00000	 0.00004	 0.00000	 0.00000		207.241672	-2011.401906
18018	 0.00003	 0.00005	 0.00011	 0.00042	 0.01250	 0.00000	 0.00004	 0.00000	 0.00000		211.511860	-2016.835987
19019	 0.00007	 0.00009	 0.00018	 0.00057	 0.01277	 0.00001	 0.00005	 0.00000	 0.00000		195.638386	-2055.753528
20020	 0.00004	 0.00007	 0.00012	 0.00058	 0.01267	 0.00000	 0.00004	 0.00000	 0.00000		197.511710	-2021.367837
21021	 0.00009	 0.00006	 0.00012	 0.00051	 0.01369	 0.00000	 0.00004	 0.00000	 0.00000		199.953653	-1943.722459
22022	 0.00004	 0.00004	 0.00013	 0.00029	 0.01306	 0.00000	 0.00003	 0.00000	 0.00000		207.079606	-2049.050589
23023	 0.00003	 0.00003	 0.00014	 0.00030	 0.01136	 0.00000	 0.00003	 0.00000	 0.00000		219.901808	-1976.395856
24024	 0.00004	 0.00006	 0.00012	 0.00033	 0.01277	 0.00000	 0.00003	 0.00000	 0.00000		205.295152	-2029.438922
