Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_ATL->AM	m_AM->ATL	Data-ld-ln	Full-ld-ln
0	 0.00007	 0.00011	 0.00005	 0.00008	 0.00824	 0.00001	 0.00001	 0.00000	 0.00000		212.707656	-1419.274116
1001	 0.00015	 0.00043	 0.00008	 0.00007	 0.00916	 0.00002	 0.00002	 0.00000	 0.00000		205.919652	-1391.644189
2002	 0.00004	 0.00004	 0.00004	 0.00016	 0.00747	 0.00000	 0.00001	 0.00000	 0.00000		221.981203	-1401.605853
3003	 0.00014	 0.00020	 0.00007	 0.00021	 0.00781	 0.00001	 0.00002	 0.00000	 0.00000		200.217904	-1408.559192
4004	 0.00002	 0.00003	 0.00005	 0.00019	 0.00841	 0.00000	 0.00001	 0.00000	 0.00000		218.447365	-1387.184798
5005	 0.00007	 0.00016	 0.00010	 0.00017	 0.00832	 0.00001	 0.00002	 0.00000	 0.00000		203.119000	-1411.792077
6006	 0.00002	 0.00005	 0.00004	 0.00016	 0.00821	 0.00000	 0.00001	 0.00000	 0.00000		220.314976	-1379.839225
7007	 0.00002	 0.00002	 0.00004	 0.00007	 0.00827	 0.00000	 0.00001	 0.00000	 0.00000		237.006506	-1392.556540
8008	 0.00001	 0.00002	 0.00009	 0.00017	 0.00792	 0.00000	 0.00002	 0.00000	 0.00000		223.546036	-1395.068795
9009	 0.00002	 0.00005	 0.00017	 0.00039	 0.00749	 0.00000	 0.00004	 0.00000	 0.00000		206.441514	-1432.379352
10010	 0.00002	 0.00003	 0.00008	 0.00018	 0.00772	 0.00000	 0.00002	 0.00000	 0.00000		217.468742	-1422.105205
11011	 0.00003	 0.00016	 0.00006	 0.00021	 0.00931	 0.00000	 0.00002	 0.00000	 0.00000		211.663885	-1381.204358
12012	 0.00005	 0.00004	 0.00003	 0.00010	 0.00868	 0.00000	 0.00001	 0.00000	 0.00000		219.276762	-1360.162696
13013	 0.00011	 0.00014	 0.00006	 0.00006	 0.00816	 0.00001	 0.00001	 0.00000	 0.00000		220.983137	-1401.471571
14014	 0.00004	 0.00012	 0.00012	 0.00032	 0.00924	 0.00000	 0.00003	 0.00000	 0.00000		201.893391	-1424.048998
15015	 0.00010	 0.00017	 0.00005	 0.00010	 0.01040	 0.00001	 0.00001	 0.00000	 0.00000		208.028126	-1330.536147
16016	 0.00004	 0.00007	 0.00002	 0.00005	 0.00886	 0.00000	 0.00001	 0.00000	 0.00000		217.426641	-1434.575516
17017	 0.00003	 0.00007	 0.00004	 0.00009	 0.00890	 0.00000	 0.00001	 0.00000	 0.00000		215.311192	-1392.688438
18018	 0.00005	 0.00008	 0.00003	 0.00004	 0.00816	 0.00000	 0.00001	 0.00000	 0.00000		218.774150	-1391.188584
19019	 0.00004	 0.00011	 0.00003	 0.00006	 0.00859	 0.00000	 0.00001	 0.00000	 0.00000		219.553611	-1431.363683
20020	 0.00005	 0.00014	 0.00003	 0.00013	 0.00881	 0.00000	 0.00000	 0.00000	 0.00000		192.156743	-1403.146240
21021	 0.00002	 0.00008	 0.00002	 0.00009	 0.00888	 0.00000	 0.00001	 0.00000	 0.00000		218.376550	-1396.438549
22022	 0.00002	 0.00003	 0.00001	 0.00005	 0.00751	 0.00000	 0.00000	 0.00000	 0.00000		230.597285	-1406.129881
23023	 0.00003	 0.00003	 0.00002	 0.00002	 0.00831	 0.00000	 0.00000	 0.00000	 0.00000		228.322220	-1477.348128
24024	 0.00002	 0.00005	 0.00001	 0.00010	 0.00798	 0.00000	 0.00000	 0.00000	 0.00000		213.389578	-1428.829940
25025	 0.00007	 0.00015	 0.00009	 0.00021	 0.00829	 0.00001	 0.00002	 0.00000	 0.00000		197.405817	-1406.556534
26026	 0.00006	 0.00011	 0.00003	 0.00005	 0.00850	 0.00000	 0.00001	 0.00000	 0.00000		210.962210	-1409.179092
27027	 0.00005	 0.00005	 0.00003	 0.00009	 0.00834	 0.00000	 0.00001	 0.00000	 0.00000		218.464786	-1355.168856
28028	 0.00007	 0.00010	 0.00004	 0.00010	 0.00823	 0.00001	 0.00001	 0.00000	 0.00000		208.607595	-1375.661659
29029	 0.00006	 0.00010	 0.00003	 0.00006	 0.00863	 0.00001	 0.00001	 0.00000	 0.00000		211.522892	-1415.684601
30030	 0.00008	 0.00010	 0.00005	 0.00013	 0.00827	 0.00001	 0.00001	 0.00000	 0.00000		200.845495	-1453.172752
31031	 0.00008	 0.00012	 0.00003	 0.00006	 0.01020	 0.00001	 0.00001	 0.00000	 0.00000		210.289882	-1341.068637
32032	 0.00004	 0.00011	 0.00003	 0.00005	 0.00830	 0.00000	 0.00001	 0.00000	 0.00000		213.937988	-1464.250907
33033	 0.00008	 0.00015	 0.00004	 0.00008	 0.00890	 0.00001	 0.00001	 0.00000	 0.00000		208.641467	-1407.097148
34034	 0.00004	 0.00009	 0.00003	 0.00007	 0.00825	 0.00000	 0.00001	 0.00000	 0.00000		216.148395	-1392.630122
35035	 0.00004	 0.00007	 0.00005	 0.00008	 0.00813	 0.00000	 0.00001	 0.00000	 0.00000		215.553632	-1366.176357
36036	 0.00014	 0.00009	 0.00007	 0.00009	 0.00851	 0.00001	 0.00001	 0.00000	 0.00000		211.977166	-1405.640448
37037	 0.00014	 0.00019	 0.00008	 0.00016	 0.00851	 0.00001	 0.00002	 0.00000	 0.00000		199.633867	-1433.413082
38038	 0.00005	 0.00006	 0.00004	 0.00013	 0.00733	 0.00000	 0.00001	 0.00000	 0.00000		212.365815	-1469.382995
39039	 0.00004	 0.00011	 0.00008	 0.00016	 0.00829	 0.00000	 0.00002	 0.00000	 0.00000		215.066528	-1424.455970
40040	 0.00003	 0.00014	 0.00005	 0.00016	 0.00777	 0.00000	 0.00001	 0.00000	 0.00000		211.232175	-1426.880653
