Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_ATL->AM	m_AM->ATL	Data-ld-ln	Full-ld-ln
0	 0.00003	 0.00006	 0.00003	 0.00014	 0.01397	 0.00000	 0.00001	 0.00000	 0.00000		216.273718	-2298.663709
1001	 0.00001	 0.00002	 0.00002	 0.00006	 0.01473	 0.00000	 0.00000	 0.00000	 0.00000		230.136990	-2398.538967
2002	 0.00001	 0.00001	 0.00001	 0.00006	 0.01515	 0.00000	 0.00000	 0.00000	 0.00000		239.490940	-2383.831087
3003	 0.00003	 0.00004	 0.00003	 0.00014	 0.01505	 0.00000	 0.00001	 0.00000	 0.00000		213.566643	-2286.251167
4004	 0.00002	 0.00003	 0.00003	 0.00018	 0.01362	 0.00000	 0.00001	 0.00000	 0.00000		222.305717	-2406.217127
5005	 0.00002	 0.00005	 0.00008	 0.00031	 0.01493	 0.00000	 0.00002	 0.00000	 0.00000		207.398581	-2431.770328
6006	 0.00001	 0.00002	 0.00003	 0.00011	 0.01335	 0.00000	 0.00001	 0.00000	 0.00000		233.463071	-2334.346681
7007	 0.00002	 0.00002	 0.00005	 0.00027	 0.01613	 0.00000	 0.00001	 0.00000	 0.00000		217.748582	-2357.691142
8008	 0.00001	 0.00003	 0.00005	 0.00027	 0.01255	 0.00000	 0.00001	 0.00000	 0.00000		210.024021	-2405.066928
9009	 0.00002	 0.00002	 0.00012	 0.00041	 0.01328	 0.00000	 0.00003	 0.00000	 0.00000		211.377018	-2420.694619
10010	 0.00001	 0.00001	 0.00011	 0.00038	 0.01487	 0.00000	 0.00003	 0.00000	 0.00000		220.944549	-2406.585677
11011	 0.00000	 0.00000	 0.00009	 0.00027	 0.01487	 0.00000	 0.00002	 0.00000	 0.00000		246.311204	-2358.726235
12012	 0.00000	 0.00000	 0.00006	 0.00027	 0.01326	 0.00000	 0.00002	 0.00000	 0.00000		243.405709	-2296.159282
13013	 0.00000	 0.00000	 0.00001	 0.00006	 0.01556	 0.00000	 0.00000	 0.00000	 0.00000		261.544517	-2352.049929
14014	 0.00000	 0.00000	 0.00001	 0.00015	 0.01380	 0.00000	 0.00000	 0.00000	 0.00000		275.965151	-2279.400099
15015	 0.00000	 0.00000	 0.00001	 0.00008	 0.01528	 0.00000	 0.00000	 0.00000	 0.00000		260.091144	-2442.348086
16016	 0.00000	 0.00000	 0.00004	 0.00010	 0.01433	 0.00000	 0.00001	 0.00000	 0.00000		264.953187	-2380.123352
17017	 0.00000	 0.00001	 0.00006	 0.00027	 0.01460	 0.00000	 0.00002	 0.00000	 0.00000		220.058123	-2298.483081
18018	 0.00000	 0.00000	 0.00008	 0.00043	 0.01498	 0.00000	 0.00003	 0.00000	 0.00000		235.717346	-2344.963283
19019	 0.00000	 0.00000	 0.00009	 0.00036	 0.01516	 0.00000	 0.00003	 0.00000	 0.00000		233.156698	-2284.793241
20020	 0.00001	 0.00002	 0.00007	 0.00043	 0.01370	 0.00000	 0.00002	 0.00000	 0.00000		218.065231	-2358.864729
21021	 0.00005	 0.00006	 0.00007	 0.00044	 0.01484	 0.00000	 0.00002	 0.00000	 0.00000		194.640477	-2453.300261
22022	 0.00004	 0.00009	 0.00005	 0.00029	 0.01460	 0.00000	 0.00002	 0.00000	 0.00000		203.119787	-2384.100481
23023	 0.00003	 0.00004	 0.00008	 0.00015	 0.01573	 0.00000	 0.00002	 0.00000	 0.00000		212.863520	-2269.987911
24024	 0.00004	 0.00004	 0.00009	 0.00029	 0.01454	 0.00000	 0.00003	 0.00000	 0.00000		212.926954	-2301.362962
25025	 0.00002	 0.00005	 0.00006	 0.00024	 0.01542	 0.00000	 0.00002	 0.00000	 0.00000		214.071177	-2328.045333
26026	 0.00001	 0.00002	 0.00002	 0.00008	 0.01424	 0.00000	 0.00001	 0.00000	 0.00000		230.250550	-2359.733715
27027	 0.00002	 0.00003	 0.00002	 0.00008	 0.01442	 0.00000	 0.00000	 0.00000	 0.00000		225.382202	-2360.213129
28028	 0.00001	 0.00003	 0.00002	 0.00023	 0.01496	 0.00000	 0.00001	 0.00000	 0.00000		215.973054	-2350.548503
29029	 0.00003	 0.00006	 0.00003	 0.00009	 0.01429	 0.00000	 0.00001	 0.00000	 0.00000		224.184010	-2302.162770
30030	 0.00002	 0.00004	 0.00001	 0.00004	 0.01450	 0.00000	 0.00000	 0.00000	 0.00000		225.030078	-2402.139167
31031	 0.00004	 0.00005	 0.00002	 0.00009	 0.01579	 0.00000	 0.00001	 0.00000	 0.00000		216.518098	-2405.681329
32032	 0.00003	 0.00010	 0.00001	 0.00002	 0.01420	 0.00000	 0.00000	 0.00000	 0.00000		233.357318	-2368.607914
33033	 0.00003	 0.00006	 0.00002	 0.00005	 0.01508	 0.00000	 0.00000	 0.00000	 0.00000		217.478141	-2329.520359
34034	 0.00003	 0.00006	 0.00002	 0.00005	 0.01502	 0.00000	 0.00000	 0.00000	 0.00000		214.845142	-2384.479217
35035	 0.00007	 0.00021	 0.00004	 0.00014	 0.01373	 0.00001	 0.00001	 0.00000	 0.00000		204.218676	-2395.156010
36036	 0.00005	 0.00016	 0.00004	 0.00017	 0.01458	 0.00001	 0.00001	 0.00000	 0.00000		206.245215	-2414.196763
37037	 0.00022	 0.00043	 0.00008	 0.00023	 0.01487	 0.00002	 0.00003	 0.00000	 0.00000		189.836649	-2435.470694
38038	 0.00008	 0.00010	 0.00005	 0.00019	 0.01408	 0.00001	 0.00002	 0.00000	 0.00000		204.307404	-2405.152862
39039	 0.00012	 0.00025	 0.00008	 0.00054	 0.01368	 0.00001	 0.00002	 0.00000	 0.00000		183.787393	-2539.047064
40040	 0.00012	 0.00029	 0.00007	 0.00010	 0.01479	 0.00001	 0.00002	 0.00000	 0.00000		197.953504	-2389.536797
41041	 0.00005	 0.00009	 0.00003	 0.00008	 0.01624	 0.00001	 0.00001	 0.00000	 0.00000		212.692306	-2360.827545
42042	 0.00008	 0.00014	 0.00002	 0.00005	 0.01427	 0.00001	 0.00001	 0.00000	 0.00000		209.983999	-2418.965629
43043	 0.00016	 0.00028	 0.00006	 0.00016	 0.01306	 0.00001	 0.00002	 0.00000	 0.00000		192.239680	-2488.856956
44044	 0.00011	 0.00021	 0.00006	 0.00009	 0.01585	 0.00001	 0.00002	 0.00000	 0.00000		207.958019	-2329.837744
45045	 0.00011	 0.00020	 0.00005	 0.00032	 0.01393	 0.00001	 0.00002	 0.00000	 0.00000		193.213000	-2343.025204
