Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_ATL->AM	m_AM->ATL	Data-ld-ln	Full-ld-ln
0	 0.00011	 0.00026	 0.00005	 0.00009	 0.01541	 0.00001	 0.00001	 0.00000	 0.00000		209.657510	-2508.256292
1001	 0.00012	 0.00012	 0.00004	 0.00025	 0.01607	 0.00001	 0.00001	 0.00000	 0.00000		190.567011	-2599.768801
2002	 0.00006	 0.00015	 0.00003	 0.00007	 0.01596	 0.00001	 0.00001	 0.00000	 0.00000		206.624745	-2622.198028
3003	 0.00015	 0.00015	 0.00007	 0.00024	 0.01533	 0.00001	 0.00002	 0.00000	 0.00000		195.699291	-2614.222679
4004	 0.00011	 0.00020	 0.00006	 0.00016	 0.01554	 0.00001	 0.00002	 0.00000	 0.00000		194.540008	-2585.837531
5005	 0.00008	 0.00008	 0.00004	 0.00027	 0.01553	 0.00001	 0.00001	 0.00000	 0.00000		197.127611	-2555.657379
6006	 0.00006	 0.00010	 0.00005	 0.00035	 0.01533	 0.00000	 0.00002	 0.00000	 0.00000		194.709002	-2615.699854
7007	 0.00013	 0.00030	 0.00007	 0.00019	 0.01704	 0.00001	 0.00002	 0.00000	 0.00000		191.084884	-2579.934033
8008	 0.00003	 0.00005	 0.00003	 0.00014	 0.01531	 0.00000	 0.00001	 0.00000	 0.00000		209.259717	-2554.261542
9009	 0.00002	 0.00008	 0.00002	 0.00007	 0.01547	 0.00000	 0.00000	 0.00000	 0.00000		210.177300	-2567.259816
10010	 0.00003	 0.00023	 0.00002	 0.00008	 0.01579	 0.00000	 0.00001	 0.00000	 0.00000		210.769053	-2598.696077
11011	 0.00003	 0.00006	 0.00002	 0.00014	 0.01545	 0.00000	 0.00001	 0.00000	 0.00000		209.921097	-2547.508057
12012	 0.00004	 0.00010	 0.00002	 0.00009	 0.01638	 0.00000	 0.00001	 0.00000	 0.00000		207.655606	-2613.841353
13013	 0.00001	 0.00015	 0.00002	 0.00017	 0.01697	 0.00000	 0.00001	 0.00000	 0.00000		200.168474	-2640.958770
14014	 0.00001	 0.00014	 0.00002	 0.00014	 0.01576	 0.00000	 0.00001	 0.00000	 0.00000		210.090274	-2559.829190
15015	 0.00002	 0.00003	 0.00003	 0.00019	 0.01663	 0.00000	 0.00001	 0.00000	 0.00000		202.978737	-2571.348595
16016	 0.00002	 0.00006	 0.00002	 0.00015	 0.01622	 0.00000	 0.00001	 0.00000	 0.00000		203.778960	-2630.014890
17017	 0.00001	 0.00003	 0.00001	 0.00013	 0.01686	 0.00000	 0.00000	 0.00000	 0.00000		214.638969	-2650.675491
18018	 0.00002	 0.00004	 0.00001	 0.00018	 0.01532	 0.00000	 0.00000	 0.00000	 0.00000		209.926791	-2593.219637
19019	 0.00002	 0.00003	 0.00001	 0.00006	 0.01704	 0.00000	 0.00000	 0.00000	 0.00000		219.789311	-2519.064728
20020	 0.00001	 0.00002	 0.00001	 0.00003	 0.01558	 0.00000	 0.00000	 0.00000	 0.00000		223.086434	-2546.828460
21021	 0.00001	 0.00004	 0.00001	 0.00008	 0.01596	 0.00000	 0.00000	 0.00000	 0.00000		215.639586	-2576.287253
22022	 0.00002	 0.00003	 0.00002	 0.00009	 0.01706	 0.00000	 0.00000	 0.00000	 0.00000		221.199596	-2578.667449
23023	 0.00002	 0.00004	 0.00002	 0.00006	 0.01516	 0.00000	 0.00000	 0.00000	 0.00000		220.340501	-2606.547000
