Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_ATL->AM	m_AM->ATL	Data-ld-ln	Full-ld-ln
0	 0.00002	 0.00003	 0.00001	 0.00013	 0.01321	 0.00000	 0.00001	 0.00000	 0.00000		223.141648	-2177.219193
1001	 0.00007	 0.00006	 0.00002	 0.00004	 0.01382	 0.00001	 0.00001	 0.00000	 0.00000		215.354895	-2147.271469
2002	 0.00002	 0.00004	 0.00001	 0.00004	 0.01522	 0.00000	 0.00000	 0.00000	 0.00000		227.820986	-2113.588580
3003	 0.00003	 0.00008	 0.00002	 0.00013	 0.01191	 0.00000	 0.00001	 0.00000	 0.00000		214.322943	-2206.440856
4004	 0.00013	 0.00023	 0.00005	 0.00017	 0.01448	 0.00001	 0.00002	 0.00000	 0.00000		192.428137	-2242.451737
5005	 0.00005	 0.00014	 0.00006	 0.00023	 0.01510	 0.00001	 0.00002	 0.00000	 0.00000		205.465195	-2100.170237
6006	 0.00007	 0.00007	 0.00003	 0.00006	 0.01310	 0.00001	 0.00001	 0.00000	 0.00000		221.210362	-2140.651282
7007	 0.00005	 0.00011	 0.00004	 0.00020	 0.01302	 0.00001	 0.00001	 0.00000	 0.00000		203.806565	-2134.053259
8008	 0.00004	 0.00004	 0.00006	 0.00033	 0.01400	 0.00000	 0.00002	 0.00000	 0.00000		217.762941	-2124.301665
9009	 0.00003	 0.00004	 0.00004	 0.00042	 0.01291	 0.00000	 0.00001	 0.00000	 0.00000		213.412266	-2275.666355
10010	 0.00001	 0.00002	 0.00001	 0.00005	 0.01445	 0.00000	 0.00000	 0.00000	 0.00000		235.126179	-2158.800130
11011	 0.00002	 0.00003	 0.00001	 0.00010	 0.01348	 0.00000	 0.00000	 0.00000	 0.00000		225.066577	-2109.941620
12012	 0.00010	 0.00013	 0.00003	 0.00011	 0.01394	 0.00001	 0.00001	 0.00000	 0.00000		199.828247	-2156.632196
13013	 0.00006	 0.00005	 0.00002	 0.00001	 0.01290	 0.00001	 0.00001	 0.00000	 0.00000		238.336511	-2099.429885
14014	 0.00010	 0.00008	 0.00003	 0.00004	 0.01483	 0.00001	 0.00001	 0.00000	 0.00000		208.041125	-2147.310178
15015	 0.00005	 0.00006	 0.00002	 0.00007	 0.01365	 0.00001	 0.00001	 0.00000	 0.00000		214.193734	-2187.205964
16016	 0.00005	 0.00007	 0.00002	 0.00009	 0.01466	 0.00001	 0.00001	 0.00000	 0.00000		218.361215	-2137.936267
17017	 0.00002	 0.00002	 0.00001	 0.00002	 0.01416	 0.00000	 0.00000	 0.00000	 0.00000		250.524099	-2056.159466
18018	 0.00002	 0.00003	 0.00002	 0.00016	 0.01274	 0.00000	 0.00001	 0.00000	 0.00000		226.638983	-2155.032297
19019	 0.00004	 0.00005	 0.00002	 0.00008	 0.01325	 0.00000	 0.00001	 0.00000	 0.00000		222.236368	-2168.776228
20020	 0.00004	 0.00004	 0.00002	 0.00004	 0.01195	 0.00000	 0.00001	 0.00000	 0.00000		234.377933	-2191.162407
21021	 0.00005	 0.00007	 0.00002	 0.00004	 0.01493	 0.00000	 0.00001	 0.00000	 0.00000		227.278067	-2135.625340
22022	 0.00006	 0.00009	 0.00004	 0.00007	 0.01315	 0.00001	 0.00001	 0.00000	 0.00000		214.906875	-2151.468051
23023	 0.00006	 0.00010	 0.00004	 0.00011	 0.01485	 0.00001	 0.00001	 0.00000	 0.00000		212.341855	-2119.909964
24024	 0.00018	 0.00023	 0.00010	 0.00022	 0.01291	 0.00002	 0.00004	 0.00000	 0.00000		199.710028	-2100.684200
25025	 0.00018	 0.00021	 0.00009	 0.00029	 0.01382	 0.00002	 0.00003	 0.00000	 0.00000		193.567555	-2138.548629
26026	 0.00009	 0.00013	 0.00006	 0.00017	 0.01433	 0.00001	 0.00002	 0.00000	 0.00000		210.612785	-2142.333067
27027	 0.00012	 0.00015	 0.00006	 0.00020	 0.01424	 0.00001	 0.00002	 0.00000	 0.00000		204.072418	-2087.125999
28028	 0.00008	 0.00007	 0.00004	 0.00008	 0.01374	 0.00001	 0.00001	 0.00000	 0.00000		217.377777	-2105.950388
29029	 0.00014	 0.00023	 0.00006	 0.00014	 0.01348	 0.00001	 0.00002	 0.00000	 0.00000		201.374828	-2103.573133
30030	 0.00009	 0.00013	 0.00006	 0.00012	 0.01372	 0.00001	 0.00002	 0.00000	 0.00000		211.034389	-2108.378247
31031	 0.00023	 0.00019	 0.00013	 0.00029	 0.01258	 0.00002	 0.00004	 0.00000	 0.00000		195.470320	-2242.153870
32032	 0.00018	 0.00023	 0.00007	 0.00024	 0.01368	 0.00002	 0.00003	 0.00000	 0.00000		199.902845	-2181.444829
33033	 0.00011	 0.00014	 0.00008	 0.00023	 0.01289	 0.00001	 0.00002	 0.00000	 0.00000		203.049074	-2166.214470
34034	 0.00004	 0.00007	 0.00003	 0.00007	 0.01259	 0.00001	 0.00001	 0.00000	 0.00000		225.515844	-2129.978303
35035	 0.00010	 0.00015	 0.00005	 0.00019	 0.01314	 0.00001	 0.00002	 0.00000	 0.00000		202.758428	-2216.020362
36036	 0.00010	 0.00012	 0.00005	 0.00009	 0.01423	 0.00001	 0.00002	 0.00000	 0.00000		212.848856	-2112.366175
37037	 0.00011	 0.00015	 0.00004	 0.00009	 0.01299	 0.00001	 0.00001	 0.00000	 0.00000		205.936212	-2129.782037
38038	 0.00008	 0.00013	 0.00003	 0.00002	 0.01257	 0.00001	 0.00001	 0.00000	 0.00000		214.210890	-2160.415974
39039	 0.00011	 0.00014	 0.00003	 0.00006	 0.01299	 0.00001	 0.00001	 0.00000	 0.00000		202.717408	-2254.775661
40040	 0.00017	 0.00024	 0.00006	 0.00004	 0.01393	 0.00002	 0.00002	 0.00000	 0.00000		193.411680	-2134.115325
41041	 0.00008	 0.00025	 0.00004	 0.00005	 0.01469	 0.00001	 0.00001	 0.00000	 0.00000		204.470380	-2117.887700
42042	 0.00007	 0.00011	 0.00003	 0.00009	 0.01344	 0.00001	 0.00001	 0.00000	 0.00000		209.539499	-2062.678433
43043	 0.00012	 0.00020	 0.00005	 0.00029	 0.01431	 0.00002	 0.00002	 0.00000	 0.00000		195.119689	-2169.150375
44044	 0.00011	 0.00012	 0.00004	 0.00009	 0.01379	 0.00001	 0.00001	 0.00000	 0.00000		199.767754	-2153.019655
45045	 0.00007	 0.00010	 0.00003	 0.00003	 0.01242	 0.00001	 0.00001	 0.00000	 0.00000		212.423484	-2139.766192
46046	 0.00004	 0.00006	 0.00001	 0.00002	 0.01327	 0.00000	 0.00000	 0.00000	 0.00000		219.638796	-2188.261268
