Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_ATL->AM	Data-ld-ln	Full-ld-ln
0	 0.00002	 0.00005	 0.00001	 0.00003	 0.01124	 0.00000	 0.00000	 0.00000		219.499192	-1771.351776
1001	 0.00002	 0.00005	 0.00001	 0.00008	 0.01142	 0.00000	 0.00000	 0.00000		210.978584	-1809.127421
2002	 0.00002	 0.00005	 0.00001	 0.00014	 0.00954	 0.00000	 0.00000	 0.00000		217.820493	-1838.260707
3003	 0.00001	 0.00001	 0.00001	 0.00020	 0.01191	 0.00000	 0.00000	 0.00000		237.730096	-1707.959485
4004	 0.00001	 0.00002	 0.00000	 0.00013	 0.01221	 0.00000	 0.00000	 0.00000		227.579300	-1728.916240
5005	 0.00001	 0.00001	 0.00000	 0.00003	 0.01033	 0.00000	 0.00000	 0.00000		243.985468	-1717.840471
6006	 0.00001	 0.00003	 0.00000	 0.00017	 0.01054	 0.00000	 0.00000	 0.00000		223.278348	-1743.415625
7007	 0.00001	 0.00002	 0.00001	 0.00006	 0.01066	 0.00000	 0.00000	 0.00000		239.277926	-1702.280622
8008	 0.00000	 0.00001	 0.00000	 0.00021	 0.01029	 0.00000	 0.00000	 0.00000		241.824255	-1751.271577
9009	 0.00002	 0.00005	 0.00001	 0.00011	 0.01098	 0.00000	 0.00000	 0.00000		216.888595	-1745.995271
10010	 0.00003	 0.00006	 0.00002	 0.00024	 0.01119	 0.00000	 0.00000	 0.00000		211.014956	-1709.561936
11011	 0.00004	 0.00007	 0.00001	 0.00010	 0.01056	 0.00001	 0.00001	 0.00000		211.899902	-1780.387253
12012	 0.00009	 0.00012	 0.00003	 0.00018	 0.01079	 0.00001	 0.00001	 0.00000		203.915894	-1742.423755
13013	 0.00005	 0.00012	 0.00002	 0.00006	 0.00947	 0.00001	 0.00001	 0.00000		209.827850	-1739.833173
14014	 0.00012	 0.00023	 0.00005	 0.00014	 0.00909	 0.00002	 0.00002	 0.00000		200.725894	-1736.763808
15015	 0.00016	 0.00028	 0.00006	 0.00015	 0.00987	 0.00002	 0.00002	 0.00000		191.469721	-1756.475037
16016	 0.00005	 0.00011	 0.00002	 0.00026	 0.01063	 0.00001	 0.00001	 0.00000		205.899536	-1733.977949
17017	 0.00008	 0.00013	 0.00003	 0.00011	 0.00930	 0.00001	 0.00001	 0.00000		211.501374	-1765.562547
18018	 0.00006	 0.00006	 0.00001	 0.00008	 0.00967	 0.00001	 0.00001	 0.00000		214.018629	-1766.647527
19019	 0.00003	 0.00006	 0.00001	 0.00003	 0.01010	 0.00000	 0.00000	 0.00000		218.745070	-1744.678548
20020	 0.00001	 0.00003	 0.00000	 0.00005	 0.01180	 0.00000	 0.00000	 0.00000		236.787564	-1682.203315
21021	 0.00003	 0.00003	 0.00001	 0.00004	 0.01056	 0.00000	 0.00000	 0.00000		227.320757	-1681.640479
22022	 0.00005	 0.00014	 0.00002	 0.00018	 0.01118	 0.00001	 0.00001	 0.00000		203.695248	-1747.424750
23023	 0.00006	 0.00020	 0.00002	 0.00001	 0.01080	 0.00001	 0.00001	 0.00000		210.993262	-1754.465238
24024	 0.00008	 0.00017	 0.00004	 0.00012	 0.01145	 0.00001	 0.00001	 0.00000		199.759450	-1734.551138
25025	 0.00018	 0.00029	 0.00006	 0.00005	 0.01055	 0.00002	 0.00002	 0.00000		192.504025	-1749.194744
26026	 0.00012	 0.00038	 0.00006	 0.00008	 0.01015	 0.00002	 0.00002	 0.00000		192.560288	-1796.785376
27027	 0.00008	 0.00033	 0.00003	 0.00009	 0.00949	 0.00001	 0.00001	 0.00000		197.833189	-1750.283945
28028	 0.00004	 0.00018	 0.00002	 0.00006	 0.01080	 0.00001	 0.00001	 0.00000		205.370395	-1749.840267
