Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_ATL->AM	Data-ld-ln	Full-ld-ln
0	 0.00002	 0.00009	 0.00002	 0.00006	 0.01883	 0.00000	 0.00000	 0.00000		201.434026	-2792.337225
1001	 0.00001	 0.00004	 0.00001	 0.00005	 0.01545	 0.00000	 0.00000	 0.00000		214.894423	-2816.316385
2002	 0.00002	 0.00003	 0.00001	 0.00012	 0.01787	 0.00000	 0.00000	 0.00000		207.030304	-2821.492425
3003	 0.00001	 0.00004	 0.00000	 0.00019	 0.01843	 0.00000	 0.00000	 0.00000		202.214175	-2867.389188
4004	 0.00000	 0.00003	 0.00000	 0.00002	 0.01714	 0.00000	 0.00000	 0.00000		207.528214	-2846.029237
5005	 0.00001	 0.00002	 0.00000	 0.00001	 0.01735	 0.00000	 0.00000	 0.00000		219.653297	-2786.810956
6006	 0.00001	 0.00003	 0.00000	 0.00003	 0.01816	 0.00000	 0.00000	 0.00000		209.667583	-2799.991294
7007	 0.00001	 0.00002	 0.00000	 0.00001	 0.01646	 0.00000	 0.00000	 0.00000		235.362302	-2829.092520
8008	 0.00001	 0.00002	 0.00000	 0.00002	 0.01761	 0.00000	 0.00000	 0.00000		215.450762	-2767.179127
9009	 0.00000	 0.00002	 0.00000	 0.00002	 0.01662	 0.00000	 0.00000	 0.00000		218.233430	-2808.721185
10010	 0.00000	 0.00003	 0.00000	 0.00012	 0.01766	 0.00000	 0.00000	 0.00000		211.384186	-2853.960432
11011	 0.00000	 0.00003	 0.00000	 0.00003	 0.01775	 0.00000	 0.00000	 0.00000		214.525646	-2889.047524
12012	 0.00000	 0.00002	 0.00000	 0.00007	 0.01729	 0.00000	 0.00000	 0.00000		215.268680	-2921.619290
13013	 0.00000	 0.00001	 0.00000	 0.00006	 0.01952	 0.00000	 0.00000	 0.00000		226.364159	-2777.910475
14014	 0.00000	 0.00001	 0.00000	 0.00002	 0.01848	 0.00000	 0.00000	 0.00000		219.518472	-2783.916840
15015	 0.00000	 0.00001	 0.00000	 0.00001	 0.01888	 0.00000	 0.00000	 0.00000		227.898685	-2819.703412
16016	 0.00000	 0.00001	 0.00000	 0.00002	 0.01715	 0.00000	 0.00000	 0.00000		221.887940	-2816.682871
17017	 0.00000	 0.00001	 0.00000	 0.00002	 0.01744	 0.00000	 0.00000	 0.00000		235.506797	-2768.924084
18018	 0.00001	 0.00001	 0.00000	 0.00019	 0.01993	 0.00000	 0.00000	 0.00000		215.972335	-2710.705691
19019	 0.00001	 0.00005	 0.00000	 0.00001	 0.01873	 0.00000	 0.00000	 0.00000		198.047941	-2844.044833
20020	 0.00001	 0.00004	 0.00001	 0.00001	 0.01761	 0.00000	 0.00000	 0.00000		223.767262	-2787.627164
21021	 0.00001	 0.00004	 0.00001	 0.00008	 0.01745	 0.00000	 0.00000	 0.00000		207.410801	-2721.887719
22022	 0.00001	 0.00003	 0.00000	 0.00001	 0.01777	 0.00000	 0.00000	 0.00000		224.660884	-2842.056677
23023	 0.00001	 0.00003	 0.00000	 0.00007	 0.01729	 0.00000	 0.00000	 0.00000		210.265482	-2890.222736
24024	 0.00001	 0.00002	 0.00000	 0.00006	 0.01761	 0.00000	 0.00000	 0.00000		211.190807	-2901.642124
25025	 0.00000	 0.00001	 0.00000	 0.00010	 0.01845	 0.00000	 0.00000	 0.00000		222.725318	-2838.257235
26026	 0.00001	 0.00001	 0.00001	 0.00018	 0.01799	 0.00000	 0.00000	 0.00000		211.552693	-2826.468187
27027	 0.00001	 0.00006	 0.00000	 0.00012	 0.01678	 0.00000	 0.00000	 0.00000		202.389663	-2873.130412
28028	 0.00001	 0.00004	 0.00000	 0.00008	 0.01811	 0.00000	 0.00000	 0.00000		203.866756	-2766.106683
29029	 0.00001	 0.00003	 0.00001	 0.00004	 0.01649	 0.00000	 0.00000	 0.00000		223.090002	-2845.082040
30030	 0.00001	 0.00003	 0.00001	 0.00012	 0.01800	 0.00000	 0.00000	 0.00000		206.297826	-2809.755079
31031	 0.00002	 0.00006	 0.00001	 0.00010	 0.01874	 0.00000	 0.00000	 0.00000		197.942874	-2808.493959
32032	 0.00005	 0.00014	 0.00003	 0.00002	 0.01883	 0.00000	 0.00000	 0.00000		202.121320	-2777.670665
33033	 0.00009	 0.00013	 0.00004	 0.00021	 0.01775	 0.00001	 0.00001	 0.00000		187.762451	-2771.391452
34034	 0.00008	 0.00021	 0.00005	 0.00009	 0.01830	 0.00001	 0.00001	 0.00000		185.790500	-2838.591077
35035	 0.00008	 0.00015	 0.00002	 0.00011	 0.01801	 0.00001	 0.00001	 0.00000		183.732165	-2808.860709
36036	 0.00007	 0.00020	 0.00003	 0.00004	 0.01935	 0.00001	 0.00001	 0.00000		187.852605	-2812.389931
37037	 0.00003	 0.00008	 0.00002	 0.00004	 0.01682	 0.00000	 0.00000	 0.00000		199.909056	-2797.300759
38038	 0.00006	 0.00018	 0.00003	 0.00005	 0.01770	 0.00001	 0.00001	 0.00000		193.645235	-2745.184237
39039	 0.00003	 0.00009	 0.00002	 0.00014	 0.01660	 0.00000	 0.00000	 0.00000		194.821807	-2758.116757
40040	 0.00003	 0.00005	 0.00003	 0.00050	 0.01807	 0.00000	 0.00001	 0.00000		193.327606	-2791.385522
41041	 0.00004	 0.00006	 0.00002	 0.00030	 0.01745	 0.00000	 0.00000	 0.00000		187.852789	-2860.507826
42042	 0.00002	 0.00009	 0.00001	 0.00003	 0.01746	 0.00000	 0.00000	 0.00000		209.053264	-2853.749382
43043	 0.00001	 0.00009	 0.00001	 0.00005	 0.01831	 0.00000	 0.00000	 0.00000		213.156894	-2812.947029
44044	 0.00003	 0.00007	 0.00001	 0.00014	 0.01674	 0.00000	 0.00000	 0.00000		194.722375	-2898.801530
45045	 0.00004	 0.00015	 0.00002	 0.00005	 0.01791	 0.00000	 0.00000	 0.00000		190.531893	-2769.449630
46046	 0.00005	 0.00015	 0.00002	 0.00003	 0.01711	 0.00001	 0.00001	 0.00000		193.078577	-2774.935929
47047	 0.00003	 0.00014	 0.00002	 0.00006	 0.01718	 0.00000	 0.00000	 0.00000		192.593710	-2829.552574
48048	 0.00004	 0.00010	 0.00002	 0.00005	 0.01731	 0.00000	 0.00001	 0.00000		210.603919	-2793.811734
49049	 0.00005	 0.00011	 0.00003	 0.00001	 0.01813	 0.00001	 0.00001	 0.00000		197.476120	-2810.667994
50050	 0.00007	 0.00015	 0.00003	 0.00003	 0.01838	 0.00001	 0.00001	 0.00000		194.045059	-2815.093899
51051	 0.00007	 0.00021	 0.00003	 0.00003	 0.01766	 0.00001	 0.00001	 0.00000		190.281042	-2788.413586
52052	 0.00008	 0.00036	 0.00005	 0.00013	 0.01527	 0.00001	 0.00001	 0.00000		186.947182	-2810.510733
53053	 0.00011	 0.00035	 0.00008	 0.00013	 0.01701	 0.00001	 0.00002	 0.00000		184.405944	-2899.195312
54054	 0.00028	 0.00053	 0.00013	 0.00022	 0.01895	 0.00002	 0.00003	 0.00000		173.680192	-2757.069464
55055	 0.00012	 0.00026	 0.00008	 0.00027	 0.01824	 0.00001	 0.00002	 0.00000		181.817694	-2789.713010
56056	 0.00011	 0.00022	 0.00007	 0.00018	 0.01734	 0.00001	 0.00002	 0.00000		187.017970	-2828.801552
57057	 0.00011	 0.00021	 0.00004	 0.00019	 0.01839	 0.00001	 0.00001	 0.00000		182.906078	-2730.914988
58058	 0.00013	 0.00033	 0.00006	 0.00010	 0.01706	 0.00001	 0.00001	 0.00000		186.579811	-2884.150433
59059	 0.00016	 0.00030	 0.00010	 0.00029	 0.01716	 0.00002	 0.00002	 0.00000		177.718860	-2817.238102
60060	 0.00007	 0.00024	 0.00005	 0.00015	 0.01695	 0.00001	 0.00001	 0.00000		186.280456	-2837.466913
61061	 0.00009	 0.00022	 0.00006	 0.00021	 0.01820	 0.00001	 0.00001	 0.00000		187.085333	-2740.106201
62062	 0.00004	 0.00012	 0.00002	 0.00009	 0.01711	 0.00000	 0.00001	 0.00000		201.583838	-2852.410342
63063	 0.00002	 0.00008	 0.00002	 0.00005	 0.01731	 0.00000	 0.00000	 0.00000		204.704173	-2807.025873
64064	 0.00003	 0.00012	 0.00002	 0.00011	 0.01814	 0.00000	 0.00000	 0.00000		194.358984	-2805.464264
65065	 0.00008	 0.00009	 0.00003	 0.00011	 0.01799	 0.00001	 0.00001	 0.00000		184.551828	-2819.786290
66066	 0.00004	 0.00012	 0.00002	 0.00006	 0.01674	 0.00000	 0.00001	 0.00000		201.582605	-2824.842018
67067	 0.00003	 0.00006	 0.00003	 0.00014	 0.01738	 0.00000	 0.00000	 0.00000		193.767189	-2864.548292
68068	 0.00006	 0.00015	 0.00005	 0.00008	 0.01609	 0.00001	 0.00001	 0.00000		196.536192	-2920.435923
69069	 0.00009	 0.00024	 0.00007	 0.00024	 0.01607	 0.00001	 0.00001	 0.00000		183.989563	-2835.729804
70070	 0.00009	 0.00036	 0.00005	 0.00011	 0.01779	 0.00001	 0.00001	 0.00000		186.649938	-2864.966135
71071	 0.00008	 0.00012	 0.00004	 0.00027	 0.01903	 0.00001	 0.00001	 0.00000		183.243074	-2799.969375
72072	 0.00003	 0.00008	 0.00002	 0.00013	 0.01650	 0.00000	 0.00001	 0.00000		202.673546	-2862.362226
73073	 0.00005	 0.00016	 0.00003	 0.00025	 0.02008	 0.00000	 0.00001	 0.00000		187.295269	-2755.874888
74074	 0.00007	 0.00016	 0.00007	 0.00025	 0.01605	 0.00001	 0.00001	 0.00000		184.751664	-2866.125215
75075	 0.00009	 0.00020	 0.00008	 0.00025	 0.01770	 0.00001	 0.00002	 0.00000		184.381193	-2832.550474
76076	 0.00007	 0.00012	 0.00004	 0.00014	 0.01795	 0.00001	 0.00001	 0.00000		190.847597	-2779.169892
77077	 0.00010	 0.00013	 0.00004	 0.00017	 0.01728	 0.00001	 0.00001	 0.00000		189.553610	-2795.468600
78078	 0.00003	 0.00008	 0.00003	 0.00027	 0.01851	 0.00000	 0.00001	 0.00000		190.790056	-2788.914357
79079	 0.00007	 0.00018	 0.00007	 0.00023	 0.01698	 0.00001	 0.00002	 0.00000		190.372108	-2785.375785
80080	 0.00008	 0.00034	 0.00006	 0.00022	 0.01680	 0.00001	 0.00001	 0.00000		180.772412	-2865.272349
81081	 0.00004	 0.00011	 0.00003	 0.00028	 0.01621	 0.00000	 0.00001	 0.00000		193.754978	-2862.425573
82082	 0.00003	 0.00007	 0.00004	 0.00036	 0.01701	 0.00000	 0.00001	 0.00000		192.709759	-2753.414413
83083	 0.00001	 0.00006	 0.00002	 0.00015	 0.01642	 0.00000	 0.00000	 0.00000		198.155690	-2867.797786
84084	 0.00002	 0.00004	 0.00002	 0.00006	 0.01781	 0.00000	 0.00000	 0.00000		217.190010	-2697.182754
85085	 0.00005	 0.00012	 0.00004	 0.00009	 0.01807	 0.00001	 0.00001	 0.00000		190.711014	-2840.277571
86086	 0.00006	 0.00019	 0.00004	 0.00013	 0.01659	 0.00001	 0.00001	 0.00000		186.427137	-2765.247079
87087	 0.00008	 0.00017	 0.00003	 0.00008	 0.01647	 0.00001	 0.00001	 0.00000		186.794698	-2828.815574
88088	 0.00005	 0.00013	 0.00002	 0.00011	 0.01785	 0.00001	 0.00001	 0.00000		184.844311	-2769.846325
89089	 0.00012	 0.00016	 0.00003	 0.00013	 0.01705	 0.00001	 0.00001	 0.00000		179.296392	-2905.304263
90090	 0.00012	 0.00042	 0.00007	 0.00010	 0.01831	 0.00001	 0.00001	 0.00000		170.216389	-2782.924917
91091	 0.00010	 0.00016	 0.00004	 0.00003	 0.01714	 0.00001	 0.00001	 0.00000		190.773886	-2780.156208
92092	 0.00008	 0.00015	 0.00005	 0.00003	 0.01614	 0.00001	 0.00001	 0.00000		184.898233	-2865.913895
93093	 0.00018	 0.00056	 0.00009	 0.00007	 0.01645	 0.00002	 0.00002	 0.00000		169.648474	-2870.731322
94094	 0.00017	 0.00032	 0.00010	 0.00007	 0.01538	 0.00002	 0.00002	 0.00000		177.429228	-2856.959168
95095	 0.00024	 0.00041	 0.00011	 0.00000	 0.01543	 0.00002	 0.00002	 0.00000		189.538956	-2833.306268
96096	 0.00010	 0.00035	 0.00004	 0.00000	 0.01680	 0.00001	 0.00001	 0.00000		213.174105	-2768.563580
97097	 0.00013	 0.00024	 0.00005	 0.00004	 0.01672	 0.00001	 0.00001	 0.00000		181.366680	-2777.537134
98098	 0.00009	 0.00015	 0.00004	 0.00005	 0.01787	 0.00001	 0.00001	 0.00000		187.744142	-2796.530268
99099	 0.00007	 0.00017	 0.00003	 0.00007	 0.01758	 0.00001	 0.00001	 0.00000		176.235847	-2914.780579
100100	 0.00005	 0.00019	 0.00002	 0.00005	 0.01672	 0.00000	 0.00000	 0.00000		187.637158	-2862.777068
101101	 0.00009	 0.00010	 0.00004	 0.00009	 0.01747	 0.00001	 0.00001	 0.00000		186.574616	-2842.583844
102102	 0.00011	 0.00024	 0.00006	 0.00003	 0.01866	 0.00001	 0.00001	 0.00000		189.999092	-2776.128735
103103	 0.00012	 0.00027	 0.00004	 0.00012	 0.01655	 0.00001	 0.00001	 0.00000		175.096695	-2935.756675
104104	 0.00015	 0.00035	 0.00007	 0.00026	 0.01743	 0.00002	 0.00002	 0.00000		172.211521	-2897.470968
105105	 0.00028	 0.00043	 0.00011	 0.00011	 0.01612	 0.00003	 0.00003	 0.00000		170.822491	-2828.738043
106106	 0.00013	 0.00028	 0.00005	 0.00007	 0.01694	 0.00001	 0.00001	 0.00000		169.062948	-2807.379281
107107	 0.00016	 0.00035	 0.00006	 0.00024	 0.01805	 0.00001	 0.00001	 0.00000		168.442851	-2839.420406
108108	 0.00007	 0.00013	 0.00004	 0.00006	 0.01812	 0.00001	 0.00001	 0.00000		186.960430	-2749.768976
109109	 0.00003	 0.00009	 0.00002	 0.00014	 0.01781	 0.00000	 0.00000	 0.00000		194.302128	-2773.563919
110110	 0.00003	 0.00006	 0.00002	 0.00009	 0.01778	 0.00000	 0.00000	 0.00000		195.128710	-2761.373529
111111	 0.00001	 0.00003	 0.00001	 0.00005	 0.01734	 0.00000	 0.00000	 0.00000		218.950822	-2763.214889
112112	 0.00001	 0.00003	 0.00001	 0.00004	 0.01734	 0.00000	 0.00000	 0.00000		215.799981	-2823.204852
113113	 0.00000	 0.00001	 0.00000	 0.00007	 0.01597	 0.00000	 0.00000	 0.00000		224.251231	-2830.080193
114114	 0.00001	 0.00002	 0.00000	 0.00002	 0.01753	 0.00000	 0.00000	 0.00000		219.498219	-2846.555680
115115	 0.00001	 0.00002	 0.00001	 0.00003	 0.01882	 0.00000	 0.00000	 0.00000		213.862432	-2766.274897
116116	 0.00001	 0.00002	 0.00000	 0.00000	 0.01741	 0.00000	 0.00000	 0.00000		234.143534	-2815.332374
117117	 0.00001	 0.00002	 0.00000	 0.00001	 0.02005	 0.00000	 0.00000	 0.00000		219.630551	-2781.530347
118118	 0.00001	 0.00003	 0.00000	 0.00005	 0.01841	 0.00000	 0.00000	 0.00000		214.319156	-2788.019533
119119	 0.00001	 0.00003	 0.00000	 0.00012	 0.01696	 0.00000	 0.00000	 0.00000		208.676843	-2815.696596
120120	 0.00000	 0.00003	 0.00001	 0.00024	 0.01752	 0.00000	 0.00000	 0.00000		197.705815	-2813.170797
121121	 0.00000	 0.00005	 0.00001	 0.00012	 0.01872	 0.00000	 0.00000	 0.00000		201.237204	-2792.091826
122122	 0.00000	 0.00002	 0.00000	 0.00006	 0.01760	 0.00000	 0.00000	 0.00000		218.610208	-2856.417121
123123	 0.00000	 0.00002	 0.00001	 0.00007	 0.01772	 0.00000	 0.00000	 0.00000		210.225120	-2828.463107
124124	 0.00000	 0.00001	 0.00002	 0.00015	 0.01894	 0.00000	 0.00000	 0.00000		211.714344	-2764.653410
125125	 0.00000	 0.00005	 0.00001	 0.00017	 0.01824	 0.00000	 0.00000	 0.00000		198.322793	-2816.975212
126126	 0.00000	 0.00000	 0.00001	 0.00007	 0.01886	 0.00000	 0.00000	 0.00000		225.014243	-2778.943566
127127	 0.00000	 0.00001	 0.00001	 0.00021	 0.01941	 0.00000	 0.00000	 0.00000		210.384509	-2854.808574
128128	 0.00000	 0.00001	 0.00002	 0.00016	 0.01844	 0.00000	 0.00000	 0.00000		215.660094	-2793.149437
129129	 0.00000	 0.00001	 0.00001	 0.00010	 0.01673	 0.00000	 0.00000	 0.00000		223.899477	-2885.485591
130130	 0.00001	 0.00007	 0.00002	 0.00013	 0.01890	 0.00000	 0.00001	 0.00000		206.083860	-2767.648764
131131	 0.00002	 0.00004	 0.00002	 0.00012	 0.01639	 0.00000	 0.00000	 0.00000		206.372918	-2804.147808
132132	 0.00002	 0.00009	 0.00002	 0.00014	 0.01739	 0.00000	 0.00001	 0.00000		199.362730	-2784.676786
133133	 0.00002	 0.00005	 0.00002	 0.00005	 0.01598	 0.00000	 0.00000	 0.00000		214.307047	-2823.724141
134134	 0.00004	 0.00009	 0.00003	 0.00023	 0.01656	 0.00000	 0.00001	 0.00000		192.754993	-2717.148348
135135	 0.00002	 0.00023	 0.00002	 0.00024	 0.01791	 0.00000	 0.00000	 0.00000		180.397986	-2853.909396
