Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_ATL->AM	Data-ld-ln	Full-ld-ln
0	 0.00000	 0.00001	 0.00000	 0.00001	 0.02365	 0.00000	 0.00000	 0.00000		231.778603	-3867.241654
1001	 0.00001	 0.00003	 0.00001	 0.00003	 0.02545	 0.00000	 0.00000	 0.00000		220.097093	-3879.538548
2002	 0.00002	 0.00006	 0.00001	 0.00008	 0.02212	 0.00000	 0.00000	 0.00000		202.658690	-3970.603943
3003	 0.00004	 0.00007	 0.00002	 0.00003	 0.02273	 0.00000	 0.00000	 0.00000		209.559867	-3816.348642
4004	 0.00001	 0.00004	 0.00001	 0.00003	 0.02302	 0.00000	 0.00000	 0.00000		221.174370	-3799.974963
5005	 0.00001	 0.00009	 0.00001	 0.00003	 0.02400	 0.00000	 0.00000	 0.00000		228.377115	-3802.808192
6006	 0.00001	 0.00003	 0.00002	 0.00006	 0.02400	 0.00000	 0.00000	 0.00000		216.878798	-3766.764974
7007	 0.00001	 0.00003	 0.00001	 0.00004	 0.02489	 0.00000	 0.00000	 0.00000		226.484810	-3825.071035
8008	 0.00002	 0.00005	 0.00002	 0.00005	 0.02158	 0.00000	 0.00000	 0.00000		213.744272	-3858.380096
9009	 0.00004	 0.00010	 0.00007	 0.00018	 0.02299	 0.00000	 0.00002	 0.00000		201.856768	-3748.177332
10010	 0.00007	 0.00012	 0.00010	 0.00044	 0.02564	 0.00001	 0.00002	 0.00000		184.239048	-3784.317762
11011	 0.00003	 0.00006	 0.00008	 0.00017	 0.02324	 0.00000	 0.00002	 0.00000		208.775399	-3733.652751
12012	 0.00003	 0.00007	 0.00008	 0.00028	 0.02601	 0.00000	 0.00001	 0.00000		193.581820	-3769.701195
13013	 0.00002	 0.00004	 0.00007	 0.00017	 0.02379	 0.00000	 0.00001	 0.00000		210.771042	-3785.054325
14014	 0.00001	 0.00003	 0.00004	 0.00015	 0.02295	 0.00000	 0.00001	 0.00000		211.697882	-3786.192933
15015	 0.00001	 0.00005	 0.00004	 0.00009	 0.02562	 0.00000	 0.00001	 0.00000		213.482376	-3808.918667
16016	 0.00001	 0.00005	 0.00005	 0.00016	 0.02388	 0.00000	 0.00001	 0.00000		208.146487	-3794.615432
17017	 0.00001	 0.00001	 0.00004	 0.00017	 0.02342	 0.00000	 0.00001	 0.00000		223.082662	-3714.947500
18018	 0.00001	 0.00004	 0.00004	 0.00017	 0.02278	 0.00000	 0.00001	 0.00000		209.622311	-3792.179329
19019	 0.00002	 0.00004	 0.00005	 0.00017	 0.02349	 0.00000	 0.00001	 0.00000		202.989989	-3862.145424
20020	 0.00002	 0.00005	 0.00006	 0.00015	 0.02388	 0.00000	 0.00001	 0.00000		208.047121	-3855.700616
