Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_ATL->AM	Data-ld-ln	Full-ld-ln
0	 0.00009	 0.00020	 0.00005	 0.00012	 0.01576	 0.00001	 0.00001	 0.00000		193.837365	-2607.970840
1001	 0.00006	 0.00016	 0.00005	 0.00023	 0.01622	 0.00001	 0.00002	 0.00000		197.456132	-2568.902063
2002	 0.00005	 0.00007	 0.00003	 0.00005	 0.01502	 0.00000	 0.00001	 0.00000		216.008596	-2652.180876
3003	 0.00003	 0.00007	 0.00002	 0.00012	 0.01505	 0.00000	 0.00001	 0.00000		209.169032	-2569.156464
4004	 0.00012	 0.00040	 0.00005	 0.00017	 0.01574	 0.00001	 0.00002	 0.00000		193.622750	-2582.390334
5005	 0.00019	 0.00031	 0.00016	 0.00028	 0.01579	 0.00002	 0.00004	 0.00000		189.532737	-2549.718756
6006	 0.00024	 0.00022	 0.00014	 0.00061	 0.01597	 0.00002	 0.00004	 0.00000		184.459947	-2580.899577
7007	 0.00007	 0.00014	 0.00010	 0.00040	 0.01565	 0.00000	 0.00003	 0.00000		191.501374	-2593.239842
8008	 0.00005	 0.00005	 0.00013	 0.00061	 0.01513	 0.00000	 0.00004	 0.00000		196.095624	-2566.399309
9009	 0.00002	 0.00009	 0.00016	 0.00052	 0.01664	 0.00000	 0.00004	 0.00000		194.394672	-2569.098295
10010	 0.00002	 0.00003	 0.00008	 0.00038	 0.01754	 0.00000	 0.00002	 0.00000		204.574171	-2498.002490
11011	 0.00001	 0.00003	 0.00004	 0.00021	 0.01607	 0.00000	 0.00001	 0.00000		207.625887	-2594.032190
12012	 0.00001	 0.00006	 0.00007	 0.00031	 0.01662	 0.00000	 0.00002	 0.00000		203.290125	-2508.675182
13013	 0.00001	 0.00004	 0.00006	 0.00027	 0.01551	 0.00000	 0.00002	 0.00000		214.453507	-2570.635330
14014	 0.00001	 0.00002	 0.00008	 0.00038	 0.01546	 0.00000	 0.00002	 0.00000		206.914727	-2576.857264
15015	 0.00002	 0.00003	 0.00007	 0.00027	 0.01492	 0.00000	 0.00001	 0.00000		204.788727	-2562.118136
16016	 0.00005	 0.00009	 0.00013	 0.00065	 0.01571	 0.00000	 0.00004	 0.00000		184.632926	-2596.124568
17017	 0.00002	 0.00003	 0.00005	 0.00017	 0.01458	 0.00000	 0.00001	 0.00000		211.539810	-2642.448991
18018	 0.00001	 0.00001	 0.00004	 0.00023	 0.01696	 0.00000	 0.00001	 0.00000		218.883969	-2557.097973
19019	 0.00001	 0.00002	 0.00003	 0.00021	 0.01753	 0.00000	 0.00001	 0.00000		218.325334	-2656.596976
20020	 0.00001	 0.00001	 0.00003	 0.00019	 0.01742	 0.00000	 0.00001	 0.00000		221.018095	-2542.942158
21021	 0.00001	 0.00002	 0.00002	 0.00016	 0.01595	 0.00000	 0.00001	 0.00000		210.176066	-2610.036543
22022	 0.00001	 0.00002	 0.00003	 0.00010	 0.01580	 0.00000	 0.00001	 0.00000		225.392446	-2546.574861
23023	 0.00002	 0.00005	 0.00002	 0.00009	 0.01550	 0.00000	 0.00001	 0.00000		216.764333	-2584.980287
24024	 0.00004	 0.00007	 0.00001	 0.00005	 0.01667	 0.00000	 0.00000	 0.00000		216.800637	-2571.462973
25025	 0.00003	 0.00004	 0.00001	 0.00004	 0.01550	 0.00000	 0.00000	 0.00000		225.838201	-2515.139766
26026	 0.00001	 0.00003	 0.00001	 0.00011	 0.01622	 0.00000	 0.00000	 0.00000		212.169477	-2550.274383
27027	 0.00002	 0.00005	 0.00001	 0.00005	 0.01589	 0.00000	 0.00000	 0.00000		223.182100	-2586.275687
28028	 0.00003	 0.00006	 0.00002	 0.00013	 0.01703	 0.00000	 0.00001	 0.00000		206.391869	-2565.931795
29029	 0.00010	 0.00019	 0.00006	 0.00026	 0.01599	 0.00001	 0.00002	 0.00000		195.281280	-2602.172448
30030	 0.00015	 0.00032	 0.00006	 0.00019	 0.01542	 0.00001	 0.00002	 0.00000		185.832968	-2513.154593
31031	 0.00009	 0.00026	 0.00004	 0.00014	 0.01590	 0.00001	 0.00001	 0.00000		193.498255	-2548.343037
32032	 0.00004	 0.00010	 0.00002	 0.00006	 0.01598	 0.00000	 0.00001	 0.00000		212.254295	-2530.245221
33033	 0.00003	 0.00014	 0.00002	 0.00024	 0.01665	 0.00000	 0.00001	 0.00000		193.634454	-2596.955762
34034	 0.00004	 0.00008	 0.00003	 0.00008	 0.01544	 0.00000	 0.00001	 0.00000		208.209335	-2642.629425
35035	 0.00011	 0.00017	 0.00003	 0.00004	 0.01587	 0.00001	 0.00001	 0.00000		205.166950	-2644.748851
36036	 0.00014	 0.00029	 0.00008	 0.00014	 0.01585	 0.00002	 0.00002	 0.00000		192.208223	-2552.763158
37037	 0.00014	 0.00043	 0.00007	 0.00012	 0.01595	 0.00001	 0.00002	 0.00000		183.566494	-2707.942110
38038	 0.00018	 0.00034	 0.00011	 0.00025	 0.01483	 0.00001	 0.00003	 0.00000		189.986326	-2577.051464
39039	 0.00010	 0.00016	 0.00005	 0.00021	 0.01677	 0.00001	 0.00001	 0.00000		189.413654	-2550.042456
40040	 0.00008	 0.00023	 0.00006	 0.00020	 0.01730	 0.00001	 0.00002	 0.00000		195.918660	-2545.598767
41041	 0.00009	 0.00013	 0.00006	 0.00007	 0.01570	 0.00001	 0.00001	 0.00000		212.437455	-2537.009151
42042	 0.00004	 0.00007	 0.00004	 0.00016	 0.01495	 0.00000	 0.00001	 0.00000		204.152571	-2599.361191
43043	 0.00007	 0.00009	 0.00004	 0.00017	 0.01526	 0.00000	 0.00001	 0.00000		204.210185	-2541.342178
44044	 0.00010	 0.00012	 0.00005	 0.00021	 0.01583	 0.00001	 0.00002	 0.00000		198.516471	-2668.251404
45045	 0.00018	 0.00019	 0.00009	 0.00029	 0.01649	 0.00001	 0.00003	 0.00000		189.463047	-2529.435354
