Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_ATL->AM	Data-ld-ln	Full-ld-ln
0	 0.00003	 0.00004	 0.00004	 0.00007	 0.02373	 0.00000	 0.00001	 0.00000		223.227898	-3401.557379
1001	 0.00004	 0.00007	 0.00004	 0.00013	 0.02070	 0.00000	 0.00001	 0.00000		206.514311	-3540.290497
2002	 0.00008	 0.00021	 0.00005	 0.00008	 0.02349	 0.00001	 0.00001	 0.00000		197.868213	-3510.794276
3003	 0.00003	 0.00005	 0.00003	 0.00004	 0.02203	 0.00000	 0.00001	 0.00000		223.876715	-3557.075636
4004	 0.00006	 0.00007	 0.00003	 0.00005	 0.02390	 0.00000	 0.00001	 0.00000		217.639646	-3501.992407
5005	 0.00006	 0.00013	 0.00004	 0.00005	 0.02369	 0.00001	 0.00001	 0.00000		209.132865	-3563.490360
6006	 0.00007	 0.00005	 0.00003	 0.00004	 0.02240	 0.00001	 0.00001	 0.00000		214.748985	-3558.296382
7007	 0.00002	 0.00004	 0.00002	 0.00002	 0.02154	 0.00000	 0.00000	 0.00000		228.983391	-3533.844699
8008	 0.00002	 0.00004	 0.00002	 0.00002	 0.02341	 0.00000	 0.00000	 0.00000		231.781397	-3468.039062
9009	 0.00003	 0.00005	 0.00002	 0.00004	 0.02157	 0.00000	 0.00000	 0.00000		215.523299	-3541.269907
10010	 0.00006	 0.00014	 0.00003	 0.00004	 0.02069	 0.00001	 0.00001	 0.00000		206.343975	-3550.285336
11011	 0.00003	 0.00003	 0.00002	 0.00004	 0.02334	 0.00000	 0.00000	 0.00000		224.099090	-3458.390987
12012	 0.00001	 0.00001	 0.00001	 0.00003	 0.02477	 0.00000	 0.00000	 0.00000		246.921250	-3388.385648
13013	 0.00002	 0.00005	 0.00002	 0.00003	 0.02400	 0.00000	 0.00000	 0.00000		224.504383	-3592.598183
14014	 0.00001	 0.00004	 0.00001	 0.00002	 0.02147	 0.00000	 0.00000	 0.00000		233.603448	-3576.564294
15015	 0.00003	 0.00010	 0.00003	 0.00004	 0.02290	 0.00000	 0.00001	 0.00000		219.533749	-3570.732646
16016	 0.00001	 0.00004	 0.00001	 0.00004	 0.02199	 0.00000	 0.00000	 0.00000		233.175042	-3541.993950
17017	 0.00002	 0.00004	 0.00004	 0.00009	 0.02285	 0.00000	 0.00001	 0.00000		215.786245	-3553.512108
18018	 0.00002	 0.00002	 0.00004	 0.00010	 0.02422	 0.00000	 0.00001	 0.00000		226.056466	-3523.074550
19019	 0.00007	 0.00013	 0.00008	 0.00039	 0.02220	 0.00001	 0.00002	 0.00000		187.724836	-3639.382488
20020	 0.00009	 0.00022	 0.00012	 0.00019	 0.02141	 0.00001	 0.00003	 0.00000		196.250084	-3522.604451
21021	 0.00014	 0.00017	 0.00017	 0.00039	 0.02201	 0.00001	 0.00004	 0.00000		185.374696	-3522.934899
22022	 0.00012	 0.00014	 0.00021	 0.00047	 0.02374	 0.00001	 0.00005	 0.00000		192.056492	-3534.401434
