Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_ATL->AM	m_AM->ATL	Data-ld-ln	Full-ld-ln
0	 0.00012	 0.00012	 0.00001	 0.00005	 0.00690	 0.00000	 0.00001	 0.00000	 0.00000		221.838904	-1050.671634
1001	 0.00004	 0.00012	 0.00001	 0.00006	 0.00678	 0.00000	 0.00000	 0.00000	 0.00000		220.838265	-1065.303610
2002	 0.00004	 0.00012	 0.00001	 0.00002	 0.00665	 0.00000	 0.00000	 0.00000	 0.00000		231.922919	-1083.730539
3003	 0.00015	 0.00017	 0.00002	 0.00009	 0.00629	 0.00001	 0.00001	 0.00000	 0.00000		212.821073	-1108.052842
4004	 0.00017	 0.00011	 0.00003	 0.00011	 0.00679	 0.00000	 0.00001	 0.00000	 0.00000		214.818538	-1039.409853
5005	 0.00002	 0.00006	 0.00001	 0.00018	 0.00601	 0.00000	 0.00001	 0.00000	 0.00000		224.279350	-1096.663173
6006	 0.00003	 0.00006	 0.00001	 0.00007	 0.00732	 0.00000	 0.00001	 0.00000	 0.00000		234.481259	-1041.292801
7007	 0.00003	 0.00002	 0.00000	 0.00002	 0.00609	 0.00000	 0.00000	 0.00000	 0.00000		239.121954	-1071.654097
8008	 0.00002	 0.00003	 0.00000	 0.00008	 0.00619	 0.00000	 0.00000	 0.00000	 0.00000		228.526149	-1073.266026
9009	 0.00004	 0.00012	 0.00000	 0.00001	 0.00649	 0.00000	 0.00000	 0.00000	 0.00000		241.821919	-1087.552515
10010	 0.00005	 0.00001	 0.00000	 0.00002	 0.00614	 0.00000	 0.00000	 0.00000	 0.00000		238.582040	-1087.361102
11011	 0.00001	 0.00002	 0.00000	 0.00003	 0.00673	 0.00000	 0.00000	 0.00000	 0.00000		239.901431	-1051.960200
12012	 0.00004	 0.00028	 0.00001	 0.00007	 0.00713	 0.00000	 0.00000	 0.00000	 0.00000		204.894047	-1086.206551
13013	 0.00005	 0.00008	 0.00001	 0.00006	 0.00701	 0.00000	 0.00000	 0.00000	 0.00000		217.413242	-1074.609003
14014	 0.00003	 0.00003	 0.00001	 0.00013	 0.00684	 0.00000	 0.00000	 0.00000	 0.00000		221.537166	-1095.555083
15015	 0.00002	 0.00010	 0.00000	 0.00013	 0.00549	 0.00000	 0.00000	 0.00000	 0.00000		221.533200	-1123.409748
16016	 0.00001	 0.00006	 0.00000	 0.00006	 0.00717	 0.00000	 0.00000	 0.00000	 0.00000		231.211992	-1075.747120
17017	 0.00002	 0.00009	 0.00000	 0.00003	 0.00646	 0.00000	 0.00000	 0.00000	 0.00000		218.561225	-1085.602531
18018	 0.00005	 0.00003	 0.00001	 0.00016	 0.00573	 0.00000	 0.00000	 0.00000	 0.00000		220.602928	-1110.458593
19019	 0.00005	 0.00006	 0.00001	 0.00009	 0.00653	 0.00000	 0.00000	 0.00000	 0.00000		223.000982	-1079.956544
20020	 0.00003	 0.00004	 0.00001	 0.00007	 0.00679	 0.00000	 0.00000	 0.00000	 0.00000		230.545468	-1074.541831
21021	 0.00010	 0.00014	 0.00001	 0.00016	 0.00584	 0.00001	 0.00001	 0.00000	 0.00000		208.750117	-1062.218691
22022	 0.00008	 0.00003	 0.00000	 0.00005	 0.00580	 0.00000	 0.00000	 0.00000	 0.00000		233.573789	-1098.424508
23023	 0.00002	 0.00002	 0.00001	 0.00014	 0.00570	 0.00000	 0.00000	 0.00000	 0.00000		229.655518	-1056.871957
24024	 0.00003	 0.00005	 0.00001	 0.00006	 0.00517	 0.00000	 0.00000	 0.00000	 0.00000		239.498381	-1047.075644
25025	 0.00011	 0.00027	 0.00001	 0.00003	 0.00663	 0.00001	 0.00001	 0.00000	 0.00000		225.961921	-1069.701588
26026	 0.00008	 0.00019	 0.00001	 0.00009	 0.00600	 0.00000	 0.00001	 0.00000	 0.00000		204.611512	-1107.772240
27027	 0.00005	 0.00009	 0.00001	 0.00004	 0.00612	 0.00000	 0.00000	 0.00000	 0.00000		236.427060	-1066.642531
28028	 0.00005	 0.00003	 0.00001	 0.00015	 0.00620	 0.00000	 0.00000	 0.00000	 0.00000		222.150535	-1091.270512
29029	 0.00010	 0.00011	 0.00001	 0.00010	 0.00551	 0.00001	 0.00001	 0.00000	 0.00000		219.390991	-1116.426879
30030	 0.00010	 0.00015	 0.00004	 0.00046	 0.00621	 0.00001	 0.00002	 0.00000	 0.00000		206.493506	-1101.470736
31031	 0.00004	 0.00009	 0.00001	 0.00010	 0.00581	 0.00000	 0.00001	 0.00000	 0.00000		227.182505	-1051.218742
32032	 0.00008	 0.00009	 0.00001	 0.00004	 0.00676	 0.00000	 0.00000	 0.00000	 0.00000		214.713413	-1102.082475
33033	 0.00009	 0.00014	 0.00002	 0.00007	 0.00585	 0.00001	 0.00001	 0.00000	 0.00000		213.832149	-1088.141422
34034	 0.00009	 0.00005	 0.00001	 0.00011	 0.00633	 0.00000	 0.00001	 0.00000	 0.00000		221.931274	-1079.625874
35035	 0.00002	 0.00004	 0.00001	 0.00016	 0.00644	 0.00000	 0.00000	 0.00000	 0.00000		219.971723	-1107.037481
36036	 0.00003	 0.00004	 0.00001	 0.00009	 0.00712	 0.00000	 0.00000	 0.00000	 0.00000		230.432995	-1064.722141
37037	 0.00002	 0.00019	 0.00000	 0.00004	 0.00693	 0.00000	 0.00000	 0.00000	 0.00000		227.552376	-1095.976987
38038	 0.00003	 0.00008	 0.00001	 0.00003	 0.00706	 0.00000	 0.00000	 0.00000	 0.00000		237.467444	-1036.960893
39039	 0.00007	 0.00006	 0.00000	 0.00008	 0.00526	 0.00000	 0.00000	 0.00000	 0.00000		213.829378	-1100.614243
40040	 0.00004	 0.00007	 0.00001	 0.00005	 0.00578	 0.00000	 0.00000	 0.00000	 0.00000		233.376237	-1058.030026
41041	 0.00013	 0.00014	 0.00001	 0.00015	 0.00616	 0.00001	 0.00001	 0.00000	 0.00000		206.366825	-1049.991220
42042	 0.00006	 0.00010	 0.00001	 0.00001	 0.00569	 0.00000	 0.00000	 0.00000	 0.00000		214.328680	-1083.335201
43043	 0.00003	 0.00006	 0.00001	 0.00005	 0.00516	 0.00000	 0.00000	 0.00000	 0.00000		229.572371	-1106.697989
44044	 0.00004	 0.00011	 0.00001	 0.00004	 0.00674	 0.00000	 0.00000	 0.00000	 0.00000		230.113052	-1092.436289
45045	 0.00008	 0.00018	 0.00001	 0.00011	 0.00643	 0.00001	 0.00001	 0.00000	 0.00000		213.803031	-1094.424552
46046	 0.00006	 0.00012	 0.00002	 0.00008	 0.00627	 0.00001	 0.00001	 0.00000	 0.00000		221.646511	-1096.120718
47047	 0.00015	 0.00013	 0.00003	 0.00017	 0.00581	 0.00001	 0.00002	 0.00000	 0.00000		223.605536	-1050.117141
48048	 0.00016	 0.00019	 0.00005	 0.00046	 0.00609	 0.00001	 0.00003	 0.00000	 0.00000		200.979467	-1071.291217
49049	 0.00006	 0.00014	 0.00002	 0.00028	 0.00595	 0.00000	 0.00001	 0.00000	 0.00000		208.521043	-1083.556343
50050	 0.00013	 0.00015	 0.00002	 0.00003	 0.00678	 0.00001	 0.00001	 0.00000	 0.00000		218.102674	-1043.495894
51051	 0.00018	 0.00022	 0.00002	 0.00001	 0.00663	 0.00001	 0.00001	 0.00000	 0.00000		222.927354	-1057.140267
52052	 0.00012	 0.00013	 0.00003	 0.00027	 0.00579	 0.00001	 0.00002	 0.00000	 0.00000		212.563439	-1121.202626
53053	 0.00003	 0.00022	 0.00001	 0.00011	 0.00564	 0.00000	 0.00001	 0.00000	 0.00000		225.785103	-1084.803654
54054	 0.00005	 0.00011	 0.00001	 0.00007	 0.00511	 0.00000	 0.00000	 0.00000	 0.00000		222.307766	-1102.125162
55055	 0.00014	 0.00037	 0.00002	 0.00019	 0.00600	 0.00001	 0.00001	 0.00000	 0.00000		206.719262	-1071.960628
56056	 0.00004	 0.00012	 0.00002	 0.00029	 0.00641	 0.00000	 0.00001	 0.00000	 0.00000		211.418829	-1065.725268
57057	 0.00009	 0.00013	 0.00002	 0.00016	 0.00602	 0.00000	 0.00001	 0.00000	 0.00000		214.568831	-1100.038458
58058	 0.00009	 0.00006	 0.00003	 0.00025	 0.00655	 0.00000	 0.00002	 0.00000	 0.00000		218.881217	-1087.833705
59059	 0.00004	 0.00007	 0.00004	 0.00028	 0.00610	 0.00000	 0.00002	 0.00000	 0.00000		216.996915	-1074.385367
60060	 0.00005	 0.00005	 0.00004	 0.00028	 0.00541	 0.00000	 0.00002	 0.00000	 0.00000		216.040149	-1092.895179
61061	 0.00002	 0.00002	 0.00003	 0.00029	 0.00525	 0.00000	 0.00001	 0.00000	 0.00000		223.031694	-1059.012132
62062	 0.00002	 0.00002	 0.00002	 0.00027	 0.00614	 0.00000	 0.00001	 0.00000	 0.00000		230.254010	-1055.212066
63063	 0.00004	 0.00006	 0.00004	 0.00021	 0.00511	 0.00000	 0.00001	 0.00000	 0.00000		215.420875	-1161.313810
64064	 0.00007	 0.00005	 0.00002	 0.00028	 0.00647	 0.00000	 0.00001	 0.00000	 0.00000		216.621585	-1072.849745
65065	 0.00001	 0.00003	 0.00001	 0.00006	 0.00566	 0.00000	 0.00000	 0.00000	 0.00000		244.773567	-1074.124624
66066	 0.00000	 0.00000	 0.00000	 0.00012	 0.00610	 0.00000	 0.00000	 0.00000	 0.00000		238.189105	-1044.746932
67067	 0.00001	 0.00021	 0.00001	 0.00010	 0.00562	 0.00000	 0.00000	 0.00000	 0.00000		232.660496	-1046.806285
68068	 0.00011	 0.00018	 0.00002	 0.00015	 0.00598	 0.00001	 0.00001	 0.00000	 0.00000		212.971218	-1077.964535
69069	 0.00005	 0.00013	 0.00001	 0.00007	 0.00665	 0.00000	 0.00001	 0.00000	 0.00000		226.781043	-1036.615354
70070	 0.00018	 0.00029	 0.00002	 0.00044	 0.00628	 0.00001	 0.00002	 0.00000	 0.00000		199.045338	-1073.247776
71071	 0.00016	 0.00014	 0.00005	 0.00043	 0.00621	 0.00001	 0.00002	 0.00000	 0.00000		204.231565	-1103.319248
72072	 0.00003	 0.00005	 0.00001	 0.00015	 0.00592	 0.00000	 0.00001	 0.00000	 0.00000		220.442602	-1082.962463
73073	 0.00003	 0.00004	 0.00001	 0.00016	 0.00515	 0.00000	 0.00001	 0.00000	 0.00000		222.088265	-1117.689075
74074	 0.00013	 0.00018	 0.00002	 0.00007	 0.00621	 0.00001	 0.00001	 0.00000	 0.00000		206.693760	-1077.987852
75075	 0.00018	 0.00036	 0.00002	 0.00011	 0.00616	 0.00001	 0.00001	 0.00000	 0.00000		204.474098	-1124.428117
76076	 0.00005	 0.00007	 0.00002	 0.00016	 0.00576	 0.00000	 0.00001	 0.00000	 0.00000		221.955410	-1102.310696
77077	 0.00008	 0.00007	 0.00003	 0.00051	 0.00604	 0.00000	 0.00002	 0.00000	 0.00000		204.979307	-1100.954003
78078	 0.00006	 0.00009	 0.00002	 0.00032	 0.00628	 0.00000	 0.00001	 0.00000	 0.00000		211.313060	-1099.630353
79079	 0.00006	 0.00010	 0.00002	 0.00021	 0.00616	 0.00000	 0.00001	 0.00000	 0.00000		211.986134	-1097.507696
80080	 0.00026	 0.00012	 0.00003	 0.00023	 0.00559	 0.00001	 0.00001	 0.00000	 0.00000		206.909545	-1081.471263
81081	 0.00003	 0.00019	 0.00002	 0.00014	 0.00613	 0.00000	 0.00001	 0.00000	 0.00000		221.641655	-1049.916571
82082	 0.00008	 0.00007	 0.00002	 0.00011	 0.00601	 0.00000	 0.00001	 0.00000	 0.00000		225.078602	-1082.520655
83083	 0.00005	 0.00008	 0.00001	 0.00005	 0.00601	 0.00000	 0.00000	 0.00000	 0.00000		220.768642	-1108.546799
84084	 0.00006	 0.00009	 0.00001	 0.00004	 0.00660	 0.00000	 0.00001	 0.00000	 0.00000		227.113347	-1066.803385
85085	 0.00003	 0.00022	 0.00001	 0.00004	 0.00636	 0.00000	 0.00000	 0.00000	 0.00000		224.740079	-1067.942723
86086	 0.00005	 0.00037	 0.00003	 0.00009	 0.00736	 0.00000	 0.00001	 0.00000	 0.00000		229.079987	-1021.432612
87087	 0.00005	 0.00022	 0.00001	 0.00011	 0.00663	 0.00000	 0.00000	 0.00000	 0.00000		213.017184	-1106.946954
88088	 0.00010	 0.00008	 0.00001	 0.00011	 0.00671	 0.00000	 0.00001	 0.00000	 0.00000		216.852002	-1061.749861
89089	 0.00005	 0.00010	 0.00001	 0.00005	 0.00540	 0.00000	 0.00000	 0.00000	 0.00000		227.801441	-1109.938527
90090	 0.00003	 0.00003	 0.00001	 0.00012	 0.00525	 0.00000	 0.00000	 0.00000	 0.00000		230.971229	-1064.110951
91091	 0.00002	 0.00004	 0.00001	 0.00020	 0.00673	 0.00000	 0.00000	 0.00000	 0.00000		215.116051	-1047.517275
92092	 0.00006	 0.00012	 0.00001	 0.00013	 0.00757	 0.00000	 0.00000	 0.00000	 0.00000		212.661366	-1049.546714
93093	 0.00010	 0.00023	 0.00002	 0.00005	 0.00624	 0.00001	 0.00001	 0.00000	 0.00000		219.058464	-1096.329824
94094	 0.00012	 0.00007	 0.00002	 0.00013	 0.00665	 0.00001	 0.00001	 0.00000	 0.00000		217.978905	-1058.683027
95095	 0.00005	 0.00006	 0.00001	 0.00007	 0.00579	 0.00000	 0.00000	 0.00000	 0.00000		225.697786	-1092.196896
96096	 0.00002	 0.00010	 0.00001	 0.00013	 0.00612	 0.00000	 0.00001	 0.00000	 0.00000		231.688963	-1094.698721
97097	 0.00003	 0.00010	 0.00002	 0.00017	 0.00574	 0.00000	 0.00001	 0.00000	 0.00000		221.812224	-1089.939902
98098	 0.00006	 0.00018	 0.00003	 0.00025	 0.00551	 0.00001	 0.00002	 0.00000	 0.00000		218.973445	-1093.102001
99099	 0.00006	 0.00007	 0.00003	 0.00027	 0.00570	 0.00000	 0.00002	 0.00000	 0.00000		217.961556	-1048.597400
100100	 0.00010	 0.00006	 0.00003	 0.00042	 0.00571	 0.00000	 0.00002	 0.00000	 0.00000		214.738004	-1087.149977
101101	 0.00024	 0.00021	 0.00006	 0.00038	 0.00604	 0.00002	 0.00003	 0.00000	 0.00000		204.803092	-1079.184398
102102	 0.00010	 0.00023	 0.00003	 0.00024	 0.00542	 0.00001	 0.00002	 0.00000	 0.00000		212.241213	-1107.557479
103103	 0.00017	 0.00027	 0.00003	 0.00022	 0.00612	 0.00001	 0.00002	 0.00000	 0.00000		211.161292	-1080.197692
104104	 0.00002	 0.00008	 0.00001	 0.00009	 0.00650	 0.00000	 0.00000	 0.00000	 0.00000		227.372847	-1116.697211
105105	 0.00001	 0.00004	 0.00001	 0.00008	 0.00604	 0.00000	 0.00000	 0.00000	 0.00000		242.518035	-1091.019430
106106	 0.00005	 0.00006	 0.00002	 0.00012	 0.00695	 0.00000	 0.00001	 0.00000	 0.00000		225.100810	-1051.941560
107107	 0.00003	 0.00012	 0.00001	 0.00015	 0.00578	 0.00000	 0.00001	 0.00000	 0.00000		219.378932	-1109.878818
108108	 0.00009	 0.00027	 0.00001	 0.00008	 0.00663	 0.00001	 0.00001	 0.00000	 0.00000		203.793293	-1103.130471
109109	 0.00005	 0.00007	 0.00001	 0.00003	 0.00639	 0.00000	 0.00000	 0.00000	 0.00000		218.452911	-1047.405729
110110	 0.00004	 0.00007	 0.00001	 0.00017	 0.00584	 0.00000	 0.00001	 0.00000	 0.00000		221.123353	-1122.652615
111111	 0.00003	 0.00005	 0.00001	 0.00002	 0.00634	 0.00000	 0.00000	 0.00000	 0.00000		252.041054	-1078.183227
112112	 0.00005	 0.00004	 0.00001	 0.00025	 0.00624	 0.00000	 0.00001	 0.00000	 0.00000		216.156927	-1055.975506
113113	 0.00008	 0.00040	 0.00003	 0.00019	 0.00662	 0.00001	 0.00001	 0.00000	 0.00000		209.297721	-1092.943948
114114	 0.00007	 0.00008	 0.00001	 0.00018	 0.00528	 0.00000	 0.00001	 0.00000	 0.00000		215.510804	-1140.247835
115115	 0.00018	 0.00016	 0.00001	 0.00010	 0.00594	 0.00001	 0.00001	 0.00000	 0.00000		200.879159	-1064.513909
116116	 0.00007	 0.00008	 0.00001	 0.00012	 0.00599	 0.00000	 0.00001	 0.00000	 0.00000		220.160665	-1068.081897
117117	 0.00002	 0.00014	 0.00001	 0.00015	 0.00586	 0.00000	 0.00000	 0.00000	 0.00000		217.954940	-1092.979951
118118	 0.00007	 0.00008	 0.00001	 0.00007	 0.00572	 0.00000	 0.00000	 0.00000	 0.00000		213.903129	-1106.288770
119119	 0.00004	 0.00026	 0.00001	 0.00011	 0.00603	 0.00000	 0.00001	 0.00000	 0.00000		213.360674	-1070.443392
120120	 0.00011	 0.00008	 0.00001	 0.00008	 0.00593	 0.00001	 0.00001	 0.00000	 0.00000		209.737988	-1063.051781
121121	 0.00006	 0.00008	 0.00001	 0.00002	 0.00620	 0.00000	 0.00000	 0.00000	 0.00000		238.115198	-1055.047217
122122	 0.00006	 0.00013	 0.00001	 0.00017	 0.00643	 0.00000	 0.00001	 0.00000	 0.00000		208.999413	-1089.191862
123123	 0.00004	 0.00007	 0.00001	 0.00012	 0.00702	 0.00000	 0.00001	 0.00000	 0.00000		223.163129	-1068.717379
124124	 0.00018	 0.00005	 0.00001	 0.00008	 0.00667	 0.00000	 0.00001	 0.00000	 0.00000		229.865935	-1095.958563
125125	 0.00003	 0.00003	 0.00001	 0.00011	 0.00582	 0.00000	 0.00000	 0.00000	 0.00000		225.125298	-1069.837983
126126	 0.00005	 0.00015	 0.00002	 0.00031	 0.00592	 0.00000	 0.00001	 0.00000	 0.00000		212.716146	-1072.665484
127127	 0.00006	 0.00009	 0.00005	 0.00051	 0.00490	 0.00000	 0.00002	 0.00000	 0.00000		211.665195	-1145.742246
128128	 0.00002	 0.00002	 0.00002	 0.00019	 0.00572	 0.00000	 0.00001	 0.00000	 0.00000		224.679945	-1067.046568
129129	 0.00009	 0.00012	 0.00001	 0.00015	 0.00663	 0.00000	 0.00001	 0.00000	 0.00000		217.501239	-1035.206251
130130	 0.00009	 0.00006	 0.00001	 0.00007	 0.00624	 0.00000	 0.00001	 0.00000	 0.00000		224.281274	-1063.602516
131131	 0.00004	 0.00009	 0.00001	 0.00008	 0.00567	 0.00000	 0.00001	 0.00000	 0.00000		234.617130	-1096.964010
132132	 0.00015	 0.00014	 0.00002	 0.00008	 0.00602	 0.00001	 0.00001	 0.00000	 0.00000		205.434090	-1115.365019
133133	 0.00003	 0.00004	 0.00001	 0.00016	 0.00655	 0.00000	 0.00001	 0.00000	 0.00000		227.159620	-1070.156330
134134	 0.00002	 0.00001	 0.00000	 0.00004	 0.00662	 0.00000	 0.00000	 0.00000	 0.00000		241.372125	-1035.029306
135135	 0.00006	 0.00011	 0.00001	 0.00003	 0.00683	 0.00000	 0.00000	 0.00000	 0.00000		217.967348	-1063.495932
136136	 0.00006	 0.00003	 0.00001	 0.00012	 0.00582	 0.00000	 0.00000	 0.00000	 0.00000		221.879059	-1103.607671
137137	 0.00003	 0.00018	 0.00000	 0.00009	 0.00685	 0.00000	 0.00000	 0.00000	 0.00000		214.232463	-1082.042244
138138	 0.00002	 0.00004	 0.00000	 0.00007	 0.00667	 0.00000	 0.00000	 0.00000	 0.00000		225.338295	-1074.409203
