Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_ATL->AM	m_AM->ATL	Data-ld-ln	Full-ld-ln
0	 0.00007	 0.00019	 0.00003	 0.00005	 0.00808	 0.00000	 0.00001	 0.00000	 0.00000		218.974150	-1450.577092
1001	 0.00003	 0.00007	 0.00002	 0.00002	 0.00792	 0.00000	 0.00000	 0.00000	 0.00000		231.458154	-1403.496701
2002	 0.00003	 0.00005	 0.00003	 0.00012	 0.00830	 0.00000	 0.00001	 0.00000	 0.00000		208.729196	-1433.452253
3003	 0.00004	 0.00008	 0.00004	 0.00011	 0.00898	 0.00000	 0.00001	 0.00000	 0.00000		214.163556	-1381.172681
4004	 0.00004	 0.00009	 0.00002	 0.00024	 0.00725	 0.00000	 0.00001	 0.00000	 0.00000		203.620277	-1444.325120
5005	 0.00004	 0.00009	 0.00001	 0.00003	 0.00946	 0.00000	 0.00000	 0.00000	 0.00000		211.068754	-1423.435648
6006	 0.00004	 0.00012	 0.00001	 0.00003	 0.00789	 0.00000	 0.00000	 0.00000	 0.00000		218.765747	-1511.406639
7007	 0.00003	 0.00011	 0.00002	 0.00002	 0.00867	 0.00000	 0.00000	 0.00000	 0.00000		230.774748	-1429.439407
8008	 0.00003	 0.00015	 0.00003	 0.00007	 0.00787	 0.00000	 0.00001	 0.00000	 0.00000		217.511359	-1407.281522
9009	 0.00004	 0.00010	 0.00004	 0.00016	 0.00811	 0.00000	 0.00001	 0.00000	 0.00000		199.326688	-1438.713777
10010	 0.00001	 0.00005	 0.00002	 0.00011	 0.00753	 0.00000	 0.00001	 0.00000	 0.00000		216.058577	-1467.070953
11011	 0.00003	 0.00012	 0.00008	 0.00026	 0.00858	 0.00000	 0.00002	 0.00000	 0.00000		202.558999	-1477.203368
12012	 0.00006	 0.00006	 0.00003	 0.00007	 0.00914	 0.00000	 0.00001	 0.00000	 0.00000		210.376502	-1442.415924
13013	 0.00003	 0.00006	 0.00003	 0.00005	 0.00780	 0.00000	 0.00001	 0.00000	 0.00000		235.743536	-1398.158257
