Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_ATL->AM	m_AM->ATL	Data-ld-ln	Full-ld-ln
45045	 0.00009	 0.00009	 0.00008	 0.00029	 0.02292	 0.00001	 0.00003	 0.00000	 0.00000		203.876239	-3705.015347
46046	 0.00014	 0.00032	 0.00017	 0.00067	 0.02036	 0.00001	 0.00007	 0.00000	 0.00000		183.325902	-3675.086734
47047	 0.00025	 0.00019	 0.00017	 0.00031	 0.02447	 0.00001	 0.00005	 0.00000	 0.00000		194.031977	-3588.599140
48048	 0.00008	 0.00011	 0.00010	 0.00030	 0.02426	 0.00001	 0.00004	 0.00000	 0.00000		200.716081	-3625.232573
49049	 0.00009	 0.00029	 0.00010	 0.00041	 0.02324	 0.00001	 0.00003	 0.00000	 0.00000		188.752727	-3715.719570
50050	 0.00009	 0.00011	 0.00013	 0.00029	 0.02372	 0.00001	 0.00003	 0.00000	 0.00000		194.990864	-3552.278822
51051	 0.00005	 0.00016	 0.00005	 0.00019	 0.02326	 0.00000	 0.00002	 0.00000	 0.00000		199.108741	-3793.407192
52052	 0.00017	 0.00010	 0.00006	 0.00017	 0.02344	 0.00000	 0.00002	 0.00000	 0.00000		203.129236	-3764.970969
53053	 0.00006	 0.00006	 0.00010	 0.00038	 0.02476	 0.00000	 0.00003	 0.00000	 0.00000		191.373425	-3717.352469
54054	 0.00011	 0.00014	 0.00018	 0.00059	 0.02295	 0.00001	 0.00006	 0.00000	 0.00000		185.949400	-3674.001593
55055	 0.00011	 0.00013	 0.00014	 0.00048	 0.02492	 0.00000	 0.00005	 0.00000	 0.00000		190.032651	-3637.714419
56056	 0.00005	 0.00028	 0.00019	 0.00054	 0.02380	 0.00000	 0.00007	 0.00000	 0.00000		186.408808	-3730.704924
57057	 0.00003	 0.00006	 0.00009	 0.00036	 0.02512	 0.00000	 0.00003	 0.00000	 0.00000		192.610191	-3582.388700
58058	 0.00008	 0.00010	 0.00015	 0.00043	 0.02321	 0.00000	 0.00004	 0.00000	 0.00000		188.568112	-3794.401746
59059	 0.00013	 0.00016	 0.00007	 0.00023	 0.02252	 0.00001	 0.00003	 0.00000	 0.00000		197.157325	-3701.678222
60060	 0.00009	 0.00017	 0.00012	 0.00035	 0.02450	 0.00000	 0.00003	 0.00000	 0.00000		186.795058	-3750.324968
61061	 0.00006	 0.00007	 0.00007	 0.00020	 0.02612	 0.00000	 0.00002	 0.00000	 0.00000		203.569063	-3635.734586
62062	 0.00006	 0.00013	 0.00006	 0.00013	 0.02468	 0.00000	 0.00002	 0.00000	 0.00000		211.799308	-3586.295164
63063	 0.00018	 0.00018	 0.00008	 0.00010	 0.02532	 0.00001	 0.00002	 0.00000	 0.00000		205.618916	-3624.978812
64064	 0.00026	 0.00021	 0.00006	 0.00009	 0.02286	 0.00001	 0.00002	 0.00000	 0.00000		205.478843	-3658.647334
65065	 0.00008	 0.00005	 0.00004	 0.00008	 0.02452	 0.00000	 0.00001	 0.00000	 0.00000		213.033562	-3817.087178
66066	 0.00004	 0.00006	 0.00006	 0.00018	 0.02478	 0.00000	 0.00002	 0.00000	 0.00000		206.511159	-3633.055043
67067	 0.00020	 0.00022	 0.00014	 0.00056	 0.02368	 0.00001	 0.00005	 0.00000	 0.00000		183.077198	-3684.796607
68068	 0.00011	 0.00022	 0.00022	 0.00035	 0.02375	 0.00001	 0.00005	 0.00000	 0.00000		187.578035	-3682.983281
69069	 0.00007	 0.00012	 0.00008	 0.00037	 0.02453	 0.00000	 0.00003	 0.00000	 0.00000		192.757366	-3660.878112
70070	 0.00006	 0.00018	 0.00017	 0.00056	 0.02419	 0.00000	 0.00005	 0.00000	 0.00000		183.881821	-3623.989097
71071	 0.00002	 0.00007	 0.00013	 0.00034	 0.02323	 0.00000	 0.00004	 0.00000	 0.00000		195.057891	-3693.298650
72072	 0.00001	 0.00003	 0.00008	 0.00040	 0.02289	 0.00000	 0.00003	 0.00000	 0.00000		204.642096	-3729.144392
73073	 0.00006	 0.00011	 0.00013	 0.00043	 0.02376	 0.00000	 0.00004	 0.00000	 0.00000		192.902378	-3731.886072
74074	 0.00009	 0.00009	 0.00009	 0.00025	 0.02357	 0.00000	 0.00002	 0.00000	 0.00000		195.121410	-3757.972862
75075	 0.00006	 0.00009	 0.00013	 0.00033	 0.02428	 0.00000	 0.00003	 0.00000	 0.00000		194.820666	-3631.952664
76076	 0.00013	 0.00011	 0.00022	 0.00070	 0.02398	 0.00000	 0.00007	 0.00000	 0.00000		181.635624	-3769.990299
77077	 0.00006	 0.00006	 0.00015	 0.00050	 0.02149	 0.00000	 0.00004	 0.00000	 0.00000		192.147528	-3796.828348
78078	 0.00007	 0.00008	 0.00011	 0.00030	 0.02366	 0.00000	 0.00004	 0.00000	 0.00000		199.827015	-3654.823968
79079	 0.00002	 0.00006	 0.00006	 0.00016	 0.02434	 0.00000	 0.00002	 0.00000	 0.00000		210.257366	-3485.881329
80080	 0.00008	 0.00015	 0.00009	 0.00031	 0.02431	 0.00000	 0.00002	 0.00000	 0.00000		188.410864	-3773.870805
81081	 0.00031	 0.00023	 0.00017	 0.00060	 0.02511	 0.00001	 0.00006	 0.00000	 0.00000		178.323730	-3741.992195
82082	 0.00018	 0.00022	 0.00019	 0.00061	 0.02332	 0.00001	 0.00007	 0.00000	 0.00000		183.091379	-3722.182795
83083	 0.00006	 0.00015	 0.00022	 0.00055	 0.02396	 0.00000	 0.00007	 0.00000	 0.00000		186.547613	-3682.699105
84084	 0.00004	 0.00011	 0.00018	 0.00064	 0.02350	 0.00000	 0.00007	 0.00000	 0.00000		193.780574	-3767.260612
85085	 0.00003	 0.00002	 0.00010	 0.00036	 0.02378	 0.00000	 0.00003	 0.00000	 0.00000		203.037733	-3700.425262
86086	 0.00004	 0.00005	 0.00010	 0.00029	 0.02432	 0.00000	 0.00003	 0.00000	 0.00000		201.481053	-3563.153313
87087	 0.00006	 0.00008	 0.00010	 0.00033	 0.02511	 0.00000	 0.00003	 0.00000	 0.00000		192.815114	-3706.449608
88088	 0.00008	 0.00019	 0.00015	 0.00057	 0.02321	 0.00000	 0.00005	 0.00000	 0.00000		181.937016	-3759.204122
89089	 0.00010	 0.00014	 0.00016	 0.00057	 0.02471	 0.00000	 0.00005	 0.00000	 0.00000		185.930091	-3757.769110
90090	 0.00003	 0.00003	 0.00008	 0.00025	 0.02440	 0.00000	 0.00002	 0.00000	 0.00000		208.173976	-3746.147629
91091	 0.00010	 0.00011	 0.00013	 0.00029	 0.02505	 0.00000	 0.00004	 0.00000	 0.00000		192.693491	-3780.243294
92092	 0.00003	 0.00007	 0.00007	 0.00025	 0.02459	 0.00000	 0.00002	 0.00000	 0.00000		203.665961	-3746.826031
93093	 0.00001	 0.00003	 0.00003	 0.00017	 0.02552	 0.00000	 0.00001	 0.00000	 0.00000		211.516051	-3654.472497
94094	 0.00004	 0.00008	 0.00008	 0.00022	 0.02275	 0.00000	 0.00003	 0.00000	 0.00000		209.550182	-3546.184483
95095	 0.00007	 0.00006	 0.00010	 0.00039	 0.02298	 0.00000	 0.00003	 0.00000	 0.00000		195.601963	-3847.104588
96096	 0.00016	 0.00013	 0.00020	 0.00066	 0.02268	 0.00001	 0.00007	 0.00000	 0.00000		185.994966	-3576.198212
97097	 0.00010	 0.00008	 0.00021	 0.00061	 0.02381	 0.00000	 0.00007	 0.00000	 0.00000		187.258901	-3611.070986
98098	 0.00006	 0.00019	 0.00010	 0.00041	 0.02248	 0.00000	 0.00003	 0.00000	 0.00000		187.470730	-3706.325084
99099	 0.00009	 0.00016	 0.00004	 0.00015	 0.02083	 0.00000	 0.00001	 0.00000	 0.00000		201.615579	-3922.550333
100100	 0.00027	 0.00024	 0.00007	 0.00010	 0.02448	 0.00001	 0.00002	 0.00000	 0.00000		202.060533	-3742.208082
101101	 0.00011	 0.00023	 0.00006	 0.00013	 0.02361	 0.00001	 0.00002	 0.00000	 0.00000		201.376145	-3656.688335
102102	 0.00024	 0.00028	 0.00008	 0.00013	 0.02449	 0.00001	 0.00003	 0.00000	 0.00000		197.437431	-3704.280267
103103	 0.00008	 0.00006	 0.00002	 0.00006	 0.02297	 0.00000	 0.00001	 0.00000	 0.00000		218.589006	-3711.712465
104104	 0.00007	 0.00010	 0.00004	 0.00010	 0.02307	 0.00000	 0.00001	 0.00000	 0.00000		214.720612	-3741.523369
105105	 0.00005	 0.00009	 0.00003	 0.00008	 0.02221	 0.00000	 0.00001	 0.00000	 0.00000		219.103459	-3689.567315
106106	 0.00008	 0.00013	 0.00003	 0.00014	 0.02534	 0.00000	 0.00001	 0.00000	 0.00000		200.375009	-3684.046407
107107	 0.00009	 0.00011	 0.00002	 0.00005	 0.02309	 0.00000	 0.00001	 0.00000	 0.00000		214.251204	-3689.406742
108108	 0.00026	 0.00017	 0.00003	 0.00005	 0.02348	 0.00001	 0.00001	 0.00000	 0.00000		214.069917	-3723.595648
109109	 0.00010	 0.00012	 0.00003	 0.00008	 0.02563	 0.00000	 0.00001	 0.00000	 0.00000		215.772324	-3528.990177
110110	 0.00005	 0.00005	 0.00003	 0.00007	 0.02311	 0.00000	 0.00001	 0.00000	 0.00000		216.177710	-3679.755439
111111	 0.00005	 0.00015	 0.00003	 0.00013	 0.02365	 0.00000	 0.00001	 0.00000	 0.00000		206.785550	-3734.255063
112112	 0.00005	 0.00012	 0.00002	 0.00006	 0.02269	 0.00000	 0.00001	 0.00000	 0.00000		216.571282	-3693.254308
