Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_ATL->AM	m_AM->ATL	Data-ld-ln	Full-ld-ln
0	 0.00002	 0.00010	 0.00001	 0.00011	 0.01818	 0.00000	 0.00000	 0.00000	 0.00000		202.784537	-2698.816083
1001	 0.00006	 0.00006	 0.00002	 0.00014	 0.01811	 0.00000	 0.00001	 0.00000	 0.00000		202.617045	-2748.447046
2002	 0.00005	 0.00006	 0.00001	 0.00007	 0.01901	 0.00000	 0.00000	 0.00000	 0.00000		207.281386	-2749.429694
3003	 0.00005	 0.00018	 0.00001	 0.00003	 0.02079	 0.00000	 0.00000	 0.00000	 0.00000		202.917852	-2737.961653
4004	 0.00011	 0.00013	 0.00002	 0.00004	 0.01754	 0.00001	 0.00001	 0.00000	 0.00000		203.704021	-2734.224348
5005	 0.00006	 0.00023	 0.00002	 0.00014	 0.01669	 0.00000	 0.00001	 0.00000	 0.00000		188.682097	-2886.475476
6006	 0.00004	 0.00007	 0.00002	 0.00016	 0.01723	 0.00000	 0.00001	 0.00000	 0.00000		201.935767	-2817.599241
7007	 0.00004	 0.00011	 0.00001	 0.00020	 0.01769	 0.00000	 0.00000	 0.00000	 0.00000		187.314369	-2752.409504
8008	 0.00005	 0.00008	 0.00001	 0.00012	 0.01737	 0.00000	 0.00000	 0.00000	 0.00000		191.580842	-2836.864056
9009	 0.00007	 0.00013	 0.00002	 0.00010	 0.01728	 0.00001	 0.00001	 0.00000	 0.00000		188.558846	-2917.060902
10010	 0.00006	 0.00014	 0.00002	 0.00021	 0.01675	 0.00001	 0.00001	 0.00000	 0.00000		188.305224	-2852.970072
11011	 0.00008	 0.00043	 0.00002	 0.00004	 0.01640	 0.00001	 0.00001	 0.00000	 0.00000		214.291520	-2854.218108
12012	 0.00010	 0.00029	 0.00003	 0.00016	 0.01685	 0.00001	 0.00001	 0.00000	 0.00000		196.972955	-2810.575304
13013	 0.00011	 0.00037	 0.00002	 0.00006	 0.01924	 0.00001	 0.00001	 0.00000	 0.00000		186.360629	-2797.645607
14014	 0.00012	 0.00046	 0.00002	 0.00005	 0.01783	 0.00001	 0.00001	 0.00000	 0.00000		201.720168	-2818.380403
15015	 0.00006	 0.00015	 0.00002	 0.00004	 0.01804	 0.00000	 0.00001	 0.00000	 0.00000		215.368932	-2733.454379
16016	 0.00004	 0.00015	 0.00002	 0.00009	 0.01797	 0.00000	 0.00001	 0.00000	 0.00000		201.505746	-2853.064876
17017	 0.00007	 0.00038	 0.00002	 0.00008	 0.01801	 0.00001	 0.00001	 0.00000	 0.00000		196.300698	-2814.231593
18018	 0.00003	 0.00005	 0.00002	 0.00015	 0.01764	 0.00000	 0.00001	 0.00000	 0.00000		205.307845	-2850.484090
19019	 0.00001	 0.00005	 0.00002	 0.00012	 0.01659	 0.00000	 0.00001	 0.00000	 0.00000		213.174971	-2807.078643
20020	 0.00003	 0.00011	 0.00001	 0.00014	 0.01700	 0.00000	 0.00000	 0.00000	 0.00000		200.581091	-2864.503828
21021	 0.00004	 0.00009	 0.00002	 0.00015	 0.01785	 0.00000	 0.00001	 0.00000	 0.00000		198.938591	-2786.995704
22022	 0.00006	 0.00010	 0.00002	 0.00020	 0.01750	 0.00001	 0.00001	 0.00000	 0.00000		197.501664	-2818.077976
23023	 0.00008	 0.00012	 0.00002	 0.00011	 0.01698	 0.00001	 0.00001	 0.00000	 0.00000		197.872084	-2738.271974
24024	 0.00008	 0.00016	 0.00003	 0.00023	 0.01715	 0.00001	 0.00001	 0.00000	 0.00000		192.832178	-2786.560434
25025	 0.00007	 0.00013	 0.00003	 0.00018	 0.01967	 0.00000	 0.00001	 0.00000	 0.00000		198.853751	-2749.559008
26026	 0.00022	 0.00028	 0.00004	 0.00010	 0.01600	 0.00001	 0.00001	 0.00000	 0.00000		200.280625	-2848.368504
27027	 0.00030	 0.00036	 0.00005	 0.00020	 0.01732	 0.00001	 0.00002	 0.00000	 0.00000		186.903484	-2737.226341
28028	 0.00009	 0.00026	 0.00003	 0.00010	 0.01817	 0.00001	 0.00001	 0.00000	 0.00000		200.201303	-2859.777934
29029	 0.00008	 0.00018	 0.00004	 0.00022	 0.01817	 0.00000	 0.00001	 0.00000	 0.00000		192.816171	-2796.778418
30030	 0.00010	 0.00012	 0.00004	 0.00020	 0.01614	 0.00001	 0.00001	 0.00000	 0.00000		195.408384	-2903.760124
31031	 0.00007	 0.00019	 0.00003	 0.00023	 0.01666	 0.00000	 0.00001	 0.00000	 0.00000		191.971729	-2822.270428
32032	 0.00006	 0.00008	 0.00002	 0.00008	 0.01787	 0.00000	 0.00001	 0.00000	 0.00000		207.267298	-2760.588990
33033	 0.00004	 0.00005	 0.00001	 0.00005	 0.01584	 0.00000	 0.00000	 0.00000	 0.00000		217.715417	-2784.998374
34034	 0.00010	 0.00016	 0.00002	 0.00003	 0.01757	 0.00001	 0.00001	 0.00000	 0.00000		211.429470	-2799.145414
35035	 0.00005	 0.00012	 0.00001	 0.00007	 0.01814	 0.00000	 0.00000	 0.00000	 0.00000		190.550471	-2833.198379
36036	 0.00007	 0.00016	 0.00001	 0.00001	 0.01697	 0.00000	 0.00000	 0.00000	 0.00000		187.935838	-2778.455318
37037	 0.00007	 0.00014	 0.00001	 0.00005	 0.01713	 0.00000	 0.00000	 0.00000	 0.00000		189.565255	-2874.167795
38038	 0.00011	 0.00015	 0.00002	 0.00013	 0.01869	 0.00001	 0.00001	 0.00000	 0.00000		187.369219	-2835.345965
39039	 0.00008	 0.00024	 0.00003	 0.00015	 0.01740	 0.00001	 0.00001	 0.00000	 0.00000		191.554328	-2783.024734
40040	 0.00018	 0.00016	 0.00005	 0.00016	 0.01700	 0.00001	 0.00002	 0.00000	 0.00000		194.893838	-2699.993077
41041	 0.00014	 0.00011	 0.00003	 0.00016	 0.01734	 0.00000	 0.00001	 0.00000	 0.00000		189.822813	-2885.992502
42042	 0.00008	 0.00014	 0.00001	 0.00022	 0.01755	 0.00000	 0.00000	 0.00000	 0.00000		184.638670	-2813.110832
43043	 0.00005	 0.00003	 0.00001	 0.00012	 0.01678	 0.00000	 0.00000	 0.00000	 0.00000		207.907506	-2814.041177
44044	 0.00003	 0.00006	 0.00001	 0.00015	 0.01608	 0.00000	 0.00000	 0.00000	 0.00000		200.570574	-2823.055282
45045	 0.00013	 0.00016	 0.00004	 0.00029	 0.01790	 0.00001	 0.00001	 0.00000	 0.00000		186.517379	-2836.443072
46046	 0.00015	 0.00022	 0.00005	 0.00020	 0.01738	 0.00001	 0.00002	 0.00000	 0.00000		194.568439	-2774.123150
47047	 0.00007	 0.00021	 0.00006	 0.00068	 0.01800	 0.00000	 0.00002	 0.00000	 0.00000		182.986348	-2804.285075
48048	 0.00005	 0.00013	 0.00005	 0.00065	 0.01809	 0.00000	 0.00002	 0.00000	 0.00000		189.836340	-2837.958256
49049	 0.00006	 0.00015	 0.00008	 0.00039	 0.01729	 0.00000	 0.00003	 0.00000	 0.00000		194.164099	-2728.562413
50050	 0.00005	 0.00018	 0.00005	 0.00055	 0.01538	 0.00000	 0.00002	 0.00000	 0.00000		188.293720	-2840.511306
51051	 0.00002	 0.00002	 0.00003	 0.00043	 0.01776	 0.00000	 0.00001	 0.00000	 0.00000		206.436000	-2803.182322
52052	 0.00002	 0.00011	 0.00002	 0.00016	 0.01787	 0.00000	 0.00001	 0.00000	 0.00000		200.889045	-2720.661146
53053	 0.00007	 0.00008	 0.00002	 0.00005	 0.01705	 0.00000	 0.00001	 0.00000	 0.00000		220.414339	-2844.240983
54054	 0.00010	 0.00019	 0.00003	 0.00013	 0.01780	 0.00001	 0.00001	 0.00000	 0.00000		199.942656	-2871.941476
55055	 0.00021	 0.00033	 0.00004	 0.00014	 0.01860	 0.00001	 0.00001	 0.00000	 0.00000		177.952495	-2805.275634
56056	 0.00014	 0.00033	 0.00002	 0.00008	 0.01511	 0.00001	 0.00001	 0.00000	 0.00000		190.737802	-2897.517396
57057	 0.00017	 0.00029	 0.00004	 0.00006	 0.01832	 0.00001	 0.00001	 0.00000	 0.00000		181.117381	-2788.471650
58058	 0.00020	 0.00032	 0.00003	 0.00005	 0.01710	 0.00001	 0.00001	 0.00000	 0.00000		198.480028	-2786.794021
59059	 0.00013	 0.00022	 0.00002	 0.00013	 0.01679	 0.00001	 0.00001	 0.00000	 0.00000		179.776652	-2833.374023
60060	 0.00010	 0.00020	 0.00003	 0.00009	 0.01793	 0.00001	 0.00001	 0.00000	 0.00000		190.424078	-2842.849503
61061	 0.00017	 0.00020	 0.00003	 0.00009	 0.01598	 0.00001	 0.00001	 0.00000	 0.00000		193.675103	-2911.294907
62062	 0.00009	 0.00030	 0.00002	 0.00004	 0.01699	 0.00001	 0.00001	 0.00000	 0.00000		190.126916	-2861.262504
63063	 0.00014	 0.00031	 0.00003	 0.00006	 0.01754	 0.00001	 0.00001	 0.00000	 0.00000		187.739351	-2920.822396
64064	 0.00018	 0.00028	 0.00003	 0.00003	 0.01748	 0.00001	 0.00001	 0.00000	 0.00000		208.831986	-2882.553807
65065	 0.00010	 0.00013	 0.00003	 0.00022	 0.01733	 0.00001	 0.00001	 0.00000	 0.00000		193.130868	-2779.597477
66066	 0.00012	 0.00017	 0.00002	 0.00009	 0.01668	 0.00001	 0.00001	 0.00000	 0.00000		186.192488	-2807.762996
67067	 0.00013	 0.00022	 0.00004	 0.00010	 0.01646	 0.00001	 0.00001	 0.00000	 0.00000		192.556746	-2859.005248
68068	 0.00009	 0.00023	 0.00006	 0.00026	 0.01792	 0.00001	 0.00002	 0.00000	 0.00000		190.333995	-2774.693723
69069	 0.00008	 0.00019	 0.00004	 0.00032	 0.01728	 0.00001	 0.00001	 0.00000	 0.00000		185.384298	-2807.752321
