Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_ATL->AM	m_AM->ATL	Data-ld-ln	Full-ld-ln
0	 0.00006	 0.00006	 0.00615	 0.01480	 0.00000	 0.00000	 0.01140	 0.00000	 0.00000		157.939917	-5093.097009
1001	 0.00003	 0.00004	 0.00731	 0.01211	 0.00001	 0.00000	 0.01045	 0.00000	 0.00000		163.201444	-5158.925430
2002	 0.00003	 0.00005	 0.00681	 0.01252	 0.00000	 0.00000	 0.01046	 0.00000	 0.00000		154.909528	-5149.969281
3003	 0.00002	 0.00007	 0.00750	 0.01329	 0.00000	 0.00000	 0.01218	 0.00000	 0.00000		164.374978	-4991.034438
4004	 0.00002	 0.00012	 0.00632	 0.01247	 0.00000	 0.00000	 0.01038	 0.00000	 0.00000		164.046656	-5174.371595
5005	 0.00000	 0.00001	 0.00614	 0.01268	 0.00000	 0.00000	 0.01019	 0.00000	 0.00000		174.052615	-5172.035703
6006	 0.00001	 0.00002	 0.00791	 0.01241	 0.00000	 0.00000	 0.01114	 0.00000	 0.00000		175.487705	-5073.605555
7007	 0.00003	 0.00002	 0.00696	 0.01281	 0.00000	 0.00000	 0.01166	 0.00000	 0.00000		157.748283	-5150.955057
8008	 0.00002	 0.00002	 0.00750	 0.01187	 0.00000	 0.00000	 0.01056	 0.00000	 0.00000		169.312702	-5098.218181
9009	 0.00003	 0.00002	 0.00667	 0.01131	 0.00000	 0.00000	 0.01004	 0.00000	 0.00000		169.550726	-5100.737766
10010	 0.00004	 0.00006	 0.00688	 0.01232	 0.00000	 0.00000	 0.01091	 0.00000	 0.00000		164.459311	-5177.931157
11011	 0.00007	 0.00009	 0.00635	 0.01356	 0.00000	 0.00000	 0.01103	 0.00000	 0.00000		163.257544	-5119.287897
12012	 0.00003	 0.00006	 0.00718	 0.01345	 0.00000	 0.00000	 0.01119	 0.00000	 0.00000		166.015495	-5102.669321
13013	 0.00002	 0.00013	 0.00721	 0.01355	 0.00000	 0.00000	 0.01104	 0.00000	 0.00000		160.709017	-5130.846835
14014	 0.00004	 0.00013	 0.00728	 0.01174	 0.00000	 0.00000	 0.01142	 0.00000	 0.00000		155.639724	-5190.864678
15015	 0.00003	 0.00012	 0.00742	 0.01210	 0.00000	 0.00000	 0.01003	 0.00000	 0.00000		162.427804	-5151.806123
16016	 0.00003	 0.00025	 0.00725	 0.01200	 0.00000	 0.00000	 0.01105	 0.00000	 0.00000		153.424514	-5127.946621
17017	 0.00004	 0.00010	 0.00733	 0.01256	 0.00000	 0.00000	 0.01204	 0.00000	 0.00000		158.877518	-5071.429182
18018	 0.00007	 0.00026	 0.00576	 0.01165	 0.00000	 0.00000	 0.01033	 0.00000	 0.00000		158.785461	-5189.132333
19019	 0.00006	 0.00017	 0.00812	 0.01289	 0.00000	 0.00000	 0.01117	 0.00000	 0.00000		159.305659	-5119.756696
20020	 0.00006	 0.00008	 0.00614	 0.01131	 0.00000	 0.00000	 0.01053	 0.00000	 0.00000		165.936822	-5127.101720
21021	 0.00006	 0.00012	 0.00750	 0.01204	 0.00000	 0.00000	 0.01099	 0.00000	 0.00000		160.306887	-5179.534017
22022	 0.00004	 0.00011	 0.00531	 0.01316	 0.00000	 0.00000	 0.00980	 0.00000	 0.00000		165.458938	-5215.885087
23023	 0.00004	 0.00005	 0.00643	 0.01198	 0.00000	 0.00000	 0.01066	 0.00000	 0.00000		169.261311	-5146.451346
24024	 0.00006	 0.00011	 0.00628	 0.01225	 0.00000	 0.00000	 0.01048	 0.00000	 0.00000		166.313419	-5118.669856
25025	 0.00011	 0.00020	 0.00581	 0.01340	 0.00000	 0.00001	 0.01117	 0.00000	 0.00000		159.771607	-5139.292116
26026	 0.00011	 0.00014	 0.00651	 0.01202	 0.00000	 0.00001	 0.01101	 0.00000	 0.00000		158.403034	-5176.718271
27027	 0.00007	 0.00008	 0.00719	 0.01285	 0.00000	 0.00000	 0.01075	 0.00000	 0.00000		169.556427	-5194.057272
28028	 0.00002	 0.00004	 0.00640	 0.01096	 0.00000	 0.00000	 0.01062	 0.00000	 0.00000		168.257566	-5096.229241
29029	 0.00002	 0.00005	 0.00702	 0.01151	 0.00000	 0.00000	 0.01092	 0.00000	 0.00000		172.541170	-5143.750787
30030	 0.00007	 0.00011	 0.00655	 0.01256	 0.00000	 0.00000	 0.01095	 0.00000	 0.00000		156.427810	-5137.586071
31031	 0.00006	 0.00007	 0.00650	 0.01327	 0.00000	 0.00000	 0.01097	 0.00000	 0.00000		163.143869	-5091.722979
32032	 0.00005	 0.00012	 0.00715	 0.01081	 0.00000	 0.00000	 0.01055	 0.00000	 0.00000		167.179375	-5124.733446
33033	 0.00013	 0.00029	 0.00636	 0.01140	 0.00000	 0.00001	 0.01015	 0.00000	 0.00000		154.351374	-5228.887294
34034	 0.00010	 0.00010	 0.00628	 0.01237	 0.00000	 0.00000	 0.01196	 0.00000	 0.00000		156.108595	-5151.733933
35035	 0.00010	 0.00016	 0.00687	 0.01209	 0.00000	 0.00001	 0.01111	 0.00000	 0.00000		149.564727	-5144.000561
36036	 0.00006	 0.00012	 0.00728	 0.01059	 0.00001	 0.00000	 0.01041	 0.00000	 0.00000		158.530962	-5203.252448
37037	 0.00009	 0.00014	 0.00690	 0.01113	 0.00001	 0.00001	 0.01114	 0.00000	 0.00000		157.022486	-5201.069134
38038	 0.00006	 0.00018	 0.00645	 0.01237	 0.00000	 0.00000	 0.01182	 0.00000	 0.00000		149.434720	-5198.469959
39039	 0.00006	 0.00004	 0.00703	 0.01080	 0.00000	 0.00000	 0.01026	 0.00000	 0.00000		162.953262	-5147.693856
40040	 0.00008	 0.00014	 0.00687	 0.01139	 0.00000	 0.00000	 0.01057	 0.00000	 0.00000		155.337985	-5118.520485
41041	 0.00015	 0.00027	 0.00713	 0.01226	 0.00001	 0.00001	 0.01145	 0.00000	 0.00000		151.858658	-5089.885339
42042	 0.00007	 0.00026	 0.00641	 0.01262	 0.00000	 0.00000	 0.01095	 0.00000	 0.00000		153.106521	-5105.633439
43043	 0.00009	 0.00014	 0.00825	 0.01079	 0.00000	 0.00000	 0.01135	 0.00000	 0.00000		152.148697	-5086.704154
44044	 0.00004	 0.00005	 0.00627	 0.01130	 0.00000	 0.00000	 0.01073	 0.00000	 0.00000		165.932579	-5142.033855
