Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_ATL->AM	m_AM->ATL	Data-ld-ln	Full-ld-ln
0	 0.00000	 0.00004	 0.00000	 0.00018	 0.01988	 0.00000	 0.00000	 0.00000	 0.00000		206.702895	-2990.964683
1001	 0.00000	 0.00004	 0.00001	 0.00018	 0.02075	 0.00000	 0.00000	 0.00000	 0.00000		219.643581	-2855.020626
2002	 0.00001	 0.00006	 0.00001	 0.00016	 0.01956	 0.00000	 0.00000	 0.00000	 0.00000		210.561019	-2820.198655
3003	 0.00000	 0.00002	 0.00001	 0.00013	 0.01687	 0.00000	 0.00000	 0.00000	 0.00000		217.381961	-2892.363686
4004	 0.00000	 0.00001	 0.00000	 0.00005	 0.01955	 0.00000	 0.00000	 0.00000	 0.00000		238.829700	-2846.104639
5005	 0.00000	 0.00001	 0.00000	 0.00006	 0.01776	 0.00000	 0.00000	 0.00000	 0.00000		232.262245	-2934.086897
6006	 0.00000	 0.00007	 0.00000	 0.00003	 0.01822	 0.00000	 0.00000	 0.00000	 0.00000		231.184691	-2882.351543
7007	 0.00001	 0.00018	 0.00000	 0.00004	 0.01810	 0.00000	 0.00000	 0.00000	 0.00000		220.261558	-2995.017237
8008	 0.00000	 0.00001	 0.00000	 0.00010	 0.01979	 0.00000	 0.00000	 0.00000	 0.00000		222.055579	-2885.386082
9009	 0.00001	 0.00003	 0.00001	 0.00009	 0.02023	 0.00000	 0.00000	 0.00000	 0.00000		216.018920	-2829.003453
10010	 0.00001	 0.00004	 0.00002	 0.00025	 0.01917	 0.00000	 0.00001	 0.00000	 0.00000		207.528123	-2936.682216
11011	 0.00001	 0.00006	 0.00003	 0.00015	 0.01740	 0.00000	 0.00001	 0.00000	 0.00000		223.581593	-2892.208780
12012	 0.00000	 0.00007	 0.00003	 0.00041	 0.02085	 0.00000	 0.00001	 0.00000	 0.00000		206.692461	-2807.529021
13013	 0.00000	 0.00003	 0.00002	 0.00018	 0.01689	 0.00000	 0.00001	 0.00000	 0.00000		220.198862	-2920.217629
14014	 0.00001	 0.00003	 0.00001	 0.00023	 0.01859	 0.00000	 0.00000	 0.00000	 0.00000		213.672322	-2944.174438
15015	 0.00001	 0.00005	 0.00001	 0.00013	 0.01859	 0.00000	 0.00001	 0.00000	 0.00000		213.973898	-2841.565821
16016	 0.00001	 0.00003	 0.00001	 0.00009	 0.01991	 0.00000	 0.00001	 0.00000	 0.00000		222.187641	-2767.442247
17017	 0.00001	 0.00009	 0.00001	 0.00020	 0.01989	 0.00000	 0.00001	 0.00000	 0.00000		211.727048	-2847.137381
18018	 0.00002	 0.00010	 0.00002	 0.00018	 0.01828	 0.00000	 0.00001	 0.00000	 0.00000		212.805747	-2858.403479
19019	 0.00004	 0.00022	 0.00002	 0.00007	 0.01859	 0.00000	 0.00001	 0.00000	 0.00000		220.751156	-2790.359017
20020	 0.00004	 0.00017	 0.00001	 0.00013	 0.01862	 0.00000	 0.00001	 0.00000	 0.00000		208.455825	-2935.017965
21021	 0.00006	 0.00032	 0.00002	 0.00012	 0.01904	 0.00000	 0.00001	 0.00000	 0.00000		202.175350	-2901.395969
22022	 0.00008	 0.00034	 0.00003	 0.00016	 0.01776	 0.00001	 0.00001	 0.00000	 0.00000		205.513426	-2795.080183
