Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_ATL->AM	m_AM->ATL	Data-ld-ln	Full-ld-ln
0	 0.00004	 0.00006	 0.00003	 0.00021	 0.03043	 0.00000	 0.00001	 0.00000	 0.00000		193.564523	-4524.478486
1001	 0.00002	 0.00003	 0.00001	 0.00008	 0.02967	 0.00000	 0.00000	 0.00000	 0.00000		215.803271	-4543.041689
2002	 0.00006	 0.00010	 0.00003	 0.00023	 0.02919	 0.00000	 0.00001	 0.00000	 0.00000		183.716504	-4684.133104
3003	 0.00003	 0.00005	 0.00003	 0.00023	 0.03073	 0.00000	 0.00001	 0.00000	 0.00000		195.130956	-4728.967818
4004	 0.00002	 0.00003	 0.00003	 0.00015	 0.02905	 0.00000	 0.00001	 0.00000	 0.00000		215.651981	-4716.567552
5005	 0.00006	 0.00007	 0.00005	 0.00070	 0.03079	 0.00000	 0.00002	 0.00000	 0.00000		180.918811	-4703.120658
6006	 0.00005	 0.00005	 0.00005	 0.00034	 0.03068	 0.00000	 0.00001	 0.00000	 0.00000		186.051667	-4550.125449
7007	 0.00006	 0.00012	 0.00007	 0.00058	 0.02637	 0.00000	 0.00002	 0.00000	 0.00000		182.424511	-4669.589112
8008	 0.00007	 0.00010	 0.00009	 0.00045	 0.02925	 0.00000	 0.00003	 0.00000	 0.00000		185.314671	-4670.500022
9009	 0.00002	 0.00003	 0.00004	 0.00040	 0.02955	 0.00000	 0.00001	 0.00000	 0.00000		195.361594	-4578.408446
10010	 0.00003	 0.00004	 0.00005	 0.00064	 0.02863	 0.00000	 0.00002	 0.00000	 0.00000		184.319535	-4704.083841
11011	 0.00003	 0.00004	 0.00003	 0.00023	 0.02935	 0.00000	 0.00001	 0.00000	 0.00000		200.301822	-4407.991930
12012	 0.00003	 0.00004	 0.00002	 0.00074	 0.03038	 0.00000	 0.00001	 0.00000	 0.00000		191.206598	-4633.822193
13013	 0.00002	 0.00003	 0.00002	 0.00023	 0.02837	 0.00000	 0.00001	 0.00000	 0.00000		196.378200	-4751.113581
14014	 0.00002	 0.00004	 0.00002	 0.00025	 0.02863	 0.00000	 0.00001	 0.00000	 0.00000		193.997177	-4779.349071
15015	 0.00004	 0.00004	 0.00002	 0.00012	 0.03025	 0.00000	 0.00001	 0.00000	 0.00000		204.605333	-4603.027800
16016	 0.00003	 0.00003	 0.00002	 0.00032	 0.03255	 0.00000	 0.00001	 0.00000	 0.00000		195.040889	-4714.375485
17017	 0.00003	 0.00004	 0.00001	 0.00014	 0.02932	 0.00000	 0.00001	 0.00000	 0.00000		206.637219	-4719.516015
18018	 0.00001	 0.00002	 0.00001	 0.00018	 0.03140	 0.00000	 0.00000	 0.00000	 0.00000		206.258375	-4735.063939
19019	 0.00001	 0.00001	 0.00001	 0.00009	 0.03141	 0.00000	 0.00000	 0.00000	 0.00000		219.645641	-4613.546823
20020	 0.00000	 0.00001	 0.00001	 0.00007	 0.03006	 0.00000	 0.00000	 0.00000	 0.00000		216.559201	-4747.485987
21021	 0.00000	 0.00001	 0.00001	 0.00015	 0.03058	 0.00000	 0.00000	 0.00000	 0.00000		216.096517	-4695.997493
22022	 0.00001	 0.00001	 0.00002	 0.00018	 0.03019	 0.00000	 0.00001	 0.00000	 0.00000		213.871309	-4509.949860
23023	 0.00001	 0.00002	 0.00003	 0.00025	 0.02803	 0.00000	 0.00001	 0.00000	 0.00000		208.461879	-4731.563077
24024	 0.00001	 0.00001	 0.00002	 0.00028	 0.02959	 0.00000	 0.00001	 0.00000	 0.00000		207.479698	-4599.241201
25025	 0.00002	 0.00005	 0.00004	 0.00043	 0.02895	 0.00000	 0.00001	 0.00000	 0.00000		198.456802	-4587.537379
26026	 0.00007	 0.00009	 0.00009	 0.00054	 0.02893	 0.00000	 0.00003	 0.00000	 0.00000		185.110531	-4713.150072
27027	 0.00004	 0.00012	 0.00007	 0.00041	 0.02791	 0.00000	 0.00002	 0.00000	 0.00000		187.816159	-4681.698022
28028	 0.00005	 0.00007	 0.00005	 0.00030	 0.02785	 0.00000	 0.00001	 0.00000	 0.00000		190.518955	-4700.834053
29029	 0.00009	 0.00019	 0.00007	 0.00044	 0.03006	 0.00001	 0.00002	 0.00000	 0.00000		178.628482	-4718.979002
30030	 0.00040	 0.00027	 0.00017	 0.00077	 0.02935	 0.00002	 0.00005	 0.00000	 0.00000		169.944836	-4634.739430
31031	 0.00024	 0.00019	 0.00015	 0.00088	 0.02925	 0.00002	 0.00005	 0.00000	 0.00000		176.235377	-4583.412136
32032	 0.00014	 0.00019	 0.00011	 0.00051	 0.03078	 0.00001	 0.00004	 0.00000	 0.00000		182.838648	-4571.736796
33033	 0.00015	 0.00016	 0.00013	 0.00071	 0.02971	 0.00001	 0.00004	 0.00000	 0.00000		178.954886	-4596.350459
34034	 0.00004	 0.00007	 0.00008	 0.00062	 0.03053	 0.00000	 0.00002	 0.00000	 0.00000		185.924883	-4609.098625
35035	 0.00005	 0.00004	 0.00007	 0.00053	 0.02818	 0.00000	 0.00002	 0.00000	 0.00000		192.022001	-4585.826992
36036	 0.00002	 0.00003	 0.00008	 0.00040	 0.03002	 0.00000	 0.00002	 0.00000	 0.00000		197.681066	-4483.732297
37037	 0.00003	 0.00005	 0.00004	 0.00048	 0.03170	 0.00000	 0.00001	 0.00000	 0.00000		187.021211	-4708.969129
38038	 0.00001	 0.00003	 0.00004	 0.00029	 0.03130	 0.00000	 0.00001	 0.00000	 0.00000		199.444103	-4733.680425
39039	 0.00004	 0.00005	 0.00004	 0.00026	 0.03008	 0.00000	 0.00001	 0.00000	 0.00000		195.838244	-4616.359625
40040	 0.00007	 0.00005	 0.00005	 0.00035	 0.03098	 0.00000	 0.00001	 0.00000	 0.00000		188.583078	-4807.833550
41041	 0.00003	 0.00002	 0.00003	 0.00025	 0.02890	 0.00000	 0.00001	 0.00000	 0.00000		208.904006	-4504.705914
42042	 0.00002	 0.00005	 0.00002	 0.00023	 0.02783	 0.00000	 0.00001	 0.00000	 0.00000		198.453988	-4656.395632
43043	 0.00002	 0.00002	 0.00002	 0.00012	 0.03078	 0.00000	 0.00001	 0.00000	 0.00000		211.936123	-4554.009628
44044	 0.00003	 0.00003	 0.00001	 0.00005	 0.02984	 0.00000	 0.00000	 0.00000	 0.00000		214.372188	-4604.351583
45045	 0.00004	 0.00007	 0.00002	 0.00007	 0.02998	 0.00000	 0.00001	 0.00000	 0.00000		208.311822	-4565.457020
46046	 0.00002	 0.00003	 0.00001	 0.00009	 0.02821	 0.00000	 0.00000	 0.00000	 0.00000		211.294257	-4806.183079
47047	 0.00003	 0.00003	 0.00002	 0.00012	 0.02915	 0.00000	 0.00001	 0.00000	 0.00000		207.714888	-4714.256555
48048	 0.00002	 0.00002	 0.00001	 0.00007	 0.03117	 0.00000	 0.00000	 0.00000	 0.00000		214.480380	-4689.351138
49049	 0.00002	 0.00002	 0.00001	 0.00003	 0.03126	 0.00000	 0.00000	 0.00000	 0.00000		219.461470	-4555.903148
50050	 0.00002	 0.00005	 0.00001	 0.00004	 0.02809	 0.00000	 0.00000	 0.00000	 0.00000		207.151315	-4656.432506
51051	 0.00004	 0.00007	 0.00001	 0.00009	 0.02969	 0.00000	 0.00000	 0.00000	 0.00000		195.474003	-4696.317492
52052	 0.00007	 0.00008	 0.00002	 0.00010	 0.03062	 0.00000	 0.00001	 0.00000	 0.00000		200.246500	-4577.137287
53053	 0.00041	 0.00033	 0.00011	 0.00024	 0.02780	 0.00002	 0.00003	 0.00000	 0.00000		179.091605	-4689.567200
54054	 0.00037	 0.00032	 0.00011	 0.00033	 0.02814	 0.00002	 0.00004	 0.00000	 0.00000		178.296084	-4678.224771
55055	 0.00024	 0.00023	 0.00012	 0.00032	 0.02768	 0.00001	 0.00003	 0.00000	 0.00000		180.694514	-4756.530464
56056	 0.00011	 0.00018	 0.00005	 0.00018	 0.03098	 0.00001	 0.00001	 0.00000	 0.00000		185.155685	-4696.810463
57057	 0.00010	 0.00010	 0.00005	 0.00015	 0.03141	 0.00001	 0.00001	 0.00000	 0.00000		195.509738	-4596.699000
58058	 0.00014	 0.00018	 0.00006	 0.00024	 0.02970	 0.00001	 0.00002	 0.00000	 0.00000		185.493253	-4692.752228
59059	 0.00026	 0.00043	 0.00007	 0.00020	 0.03147	 0.00002	 0.00002	 0.00000	 0.00000		178.358985	-4699.304445
60060	 0.00019	 0.00019	 0.00006	 0.00024	 0.02763	 0.00001	 0.00002	 0.00000	 0.00000		181.182740	-4771.526520
61061	 0.00018	 0.00021	 0.00007	 0.00058	 0.02683	 0.00001	 0.00002	 0.00000	 0.00000		172.950043	-4633.677130
62062	 0.00022	 0.00026	 0.00008	 0.00043	 0.02975	 0.00001	 0.00003	 0.00000	 0.00000		179.886468	-4733.138697
63063	 0.00015	 0.00018	 0.00012	 0.00054	 0.02984	 0.00001	 0.00003	 0.00000	 0.00000		177.860939	-4574.609195
64064	 0.00014	 0.00018	 0.00007	 0.00035	 0.03318	 0.00001	 0.00002	 0.00000	 0.00000		185.036611	-4492.055734
65065	 0.00023	 0.00013	 0.00009	 0.00042	 0.03129	 0.00001	 0.00003	 0.00000	 0.00000		184.140457	-4588.750415
66066	 0.00007	 0.00011	 0.00004	 0.00024	 0.02757	 0.00000	 0.00001	 0.00000	 0.00000		189.508169	-4759.984242
67067	 0.00003	 0.00004	 0.00002	 0.00018	 0.02942	 0.00000	 0.00001	 0.00000	 0.00000		203.080765	-4702.984126
68068	 0.00004	 0.00006	 0.00003	 0.00038	 0.03068	 0.00000	 0.00001	 0.00000	 0.00000		188.356352	-4720.919999
69069	 0.00010	 0.00019	 0.00006	 0.00029	 0.02849	 0.00001	 0.00002	 0.00000	 0.00000		187.783651	-4703.466694
70070	 0.00003	 0.00005	 0.00003	 0.00019	 0.02930	 0.00000	 0.00001	 0.00000	 0.00000		201.440375	-4555.408310
71071	 0.00007	 0.00008	 0.00004	 0.00027	 0.03024	 0.00000	 0.00001	 0.00000	 0.00000		194.877484	-4552.048704
72072	 0.00002	 0.00003	 0.00003	 0.00027	 0.02830	 0.00000	 0.00001	 0.00000	 0.00000		205.336990	-4639.493079
73073	 0.00003	 0.00005	 0.00003	 0.00022	 0.02895	 0.00000	 0.00001	 0.00000	 0.00000		202.251848	-4663.158823
74074	 0.00002	 0.00002	 0.00002	 0.00015	 0.03071	 0.00000	 0.00001	 0.00000	 0.00000		203.547627	-4736.862855
75075	 0.00002	 0.00003	 0.00001	 0.00010	 0.02948	 0.00000	 0.00000	 0.00000	 0.00000		207.093992	-4665.320627
