Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_ATL->AM	m_AM->ATL	Data-ld-ln	Full-ld-ln
0	 0.00019	 0.00025	 0.00854	 0.01247	 0.00000	 0.00001	 0.01039	 0.00000	 0.00000		154.282372	-5117.758942
1001	 0.00007	 0.00012	 0.00675	 0.01219	 0.00000	 0.00000	 0.00936	 0.00000	 0.00000		165.592340	-5133.810417
2002	 0.00012	 0.00028	 0.00750	 0.01276	 0.00000	 0.00001	 0.00991	 0.00000	 0.00000		154.691205	-5207.351684
3003	 0.00021	 0.00019	 0.00840	 0.01189	 0.00000	 0.00001	 0.00929	 0.00000	 0.00000		155.715450	-5224.768810
4004	 0.00014	 0.00008	 0.00789	 0.01242	 0.00000	 0.00000	 0.00946	 0.00000	 0.00000		159.186277	-5176.098457
5005	 0.00004	 0.00008	 0.00739	 0.01226	 0.00000	 0.00000	 0.00997	 0.00000	 0.00000		164.312301	-5195.938543
6006	 0.00003	 0.00004	 0.00838	 0.01316	 0.00000	 0.00000	 0.00998	 0.00000	 0.00000		172.127385	-5138.896878
7007	 0.00003	 0.00009	 0.00804	 0.01413	 0.00000	 0.00000	 0.01035	 0.00000	 0.00000		160.548211	-5134.424314
8008	 0.00005	 0.00009	 0.00872	 0.01239	 0.00000	 0.00000	 0.01007	 0.00000	 0.00000		153.565124	-5131.979479
9009	 0.00003	 0.00023	 0.00738	 0.01293	 0.00000	 0.00000	 0.01001	 0.00000	 0.00000		148.236534	-5146.244250
10010	 0.00002	 0.00035	 0.00853	 0.01225	 0.00000	 0.00000	 0.01025	 0.00000	 0.00000		155.548284	-5074.135261
11011	 0.00007	 0.00005	 0.00830	 0.01293	 0.00000	 0.00000	 0.00921	 0.00000	 0.00000		171.348098	-5209.273331
12012	 0.00014	 0.00023	 0.00686	 0.01273	 0.00000	 0.00001	 0.00971	 0.00000	 0.00000		155.961667	-5239.674526
13013	 0.00015	 0.00012	 0.00932	 0.01199	 0.00000	 0.00001	 0.01100	 0.00000	 0.00000		161.190519	-5082.915462
14014	 0.00007	 0.00011	 0.00814	 0.01007	 0.00000	 0.00000	 0.00959	 0.00000	 0.00000		163.210305	-5196.522633
15015	 0.00007	 0.00008	 0.00712	 0.01287	 0.00000	 0.00000	 0.01025	 0.00000	 0.00000		162.805309	-5163.120838
16016	 0.00006	 0.00008	 0.00684	 0.01185	 0.00000	 0.00000	 0.00966	 0.00000	 0.00000		157.008442	-5289.648290
17017	 0.00006	 0.00004	 0.00743	 0.01206	 0.00000	 0.00000	 0.01072	 0.00000	 0.00000		155.665563	-5202.667567
18018	 0.00009	 0.00004	 0.00838	 0.01173	 0.00000	 0.00000	 0.00958	 0.00000	 0.00000		154.584646	-5152.889839
