Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_ATL->AM	m_AM->ATL	Data-ld-ln	Full-ld-ln
0	 0.00002	 0.00006	 0.00001	 0.00019	 0.01609	 0.00000	 0.00001	 0.00000	 0.00000		207.564627	-2546.695680
1001	 0.00003	 0.00009	 0.00002	 0.00027	 0.01588	 0.00000	 0.00001	 0.00000	 0.00000		202.062572	-2547.910545
2002	 0.00004	 0.00010	 0.00002	 0.00024	 0.01705	 0.00000	 0.00001	 0.00000	 0.00000		199.000393	-2610.965490
3003	 0.00007	 0.00028	 0.00003	 0.00020	 0.01358	 0.00001	 0.00001	 0.00000	 0.00000		191.917974	-2589.293854
4004	 0.00009	 0.00017	 0.00003	 0.00007	 0.01682	 0.00001	 0.00001	 0.00000	 0.00000		200.933136	-2602.733299
5005	 0.00006	 0.00021	 0.00003	 0.00009	 0.01644	 0.00001	 0.00001	 0.00000	 0.00000		213.397446	-2506.330266
6006	 0.00007	 0.00013	 0.00002	 0.00023	 0.01443	 0.00000	 0.00001	 0.00000	 0.00000		192.814675	-2639.353481
7007	 0.00005	 0.00010	 0.00002	 0.00014	 0.01567	 0.00000	 0.00001	 0.00000	 0.00000		200.316573	-2590.836063
8008	 0.00003	 0.00018	 0.00001	 0.00010	 0.01620	 0.00000	 0.00000	 0.00000	 0.00000		197.347849	-2626.588263
9009	 0.00002	 0.00006	 0.00001	 0.00017	 0.01701	 0.00000	 0.00000	 0.00000	 0.00000		202.196338	-2524.149308
10010	 0.00002	 0.00006	 0.00001	 0.00005	 0.01758	 0.00000	 0.00000	 0.00000	 0.00000		212.410538	-2486.018760
11011	 0.00003	 0.00010	 0.00001	 0.00028	 0.01589	 0.00000	 0.00000	 0.00000	 0.00000		197.630668	-2636.777492
12012	 0.00002	 0.00008	 0.00001	 0.00004	 0.01635	 0.00000	 0.00000	 0.00000	 0.00000		208.735593	-2564.589467
13013	 0.00002	 0.00012	 0.00001	 0.00003	 0.01726	 0.00000	 0.00000	 0.00000	 0.00000		212.539558	-2591.776122
14014	 0.00006	 0.00007	 0.00002	 0.00003	 0.01776	 0.00000	 0.00000	 0.00000	 0.00000		204.870715	-2497.241424
15015	 0.00007	 0.00020	 0.00002	 0.00003	 0.01769	 0.00001	 0.00001	 0.00000	 0.00000		197.287040	-2544.503962
16016	 0.00005	 0.00019	 0.00002	 0.00007	 0.01667	 0.00000	 0.00001	 0.00000	 0.00000		201.266249	-2589.128896
17017	 0.00004	 0.00012	 0.00001	 0.00009	 0.01539	 0.00000	 0.00000	 0.00000	 0.00000		200.123020	-2621.596321
18018	 0.00002	 0.00010	 0.00001	 0.00005	 0.01620	 0.00000	 0.00000	 0.00000	 0.00000		211.017912	-2571.978542
19019	 0.00002	 0.00007	 0.00001	 0.00010	 0.01581	 0.00000	 0.00000	 0.00000	 0.00000		213.162613	-2629.426653
20020	 0.00002	 0.00012	 0.00002	 0.00016	 0.01479	 0.00000	 0.00001	 0.00000	 0.00000		205.422860	-2581.499646
21021	 0.00004	 0.00009	 0.00002	 0.00004	 0.01573	 0.00000	 0.00000	 0.00000	 0.00000		215.504573	-2575.559884
22022	 0.00006	 0.00012	 0.00002	 0.00010	 0.01430	 0.00001	 0.00001	 0.00000	 0.00000		200.131214	-2628.039630
23023	 0.00006	 0.00010	 0.00002	 0.00017	 0.01678	 0.00000	 0.00001	 0.00000	 0.00000		195.166889	-2629.434828
24024	 0.00001	 0.00002	 0.00001	 0.00020	 0.01713	 0.00000	 0.00000	 0.00000	 0.00000		214.408224	-2533.995197
25025	 0.00001	 0.00002	 0.00000	 0.00009	 0.01502	 0.00000	 0.00000	 0.00000	 0.00000		221.312281	-2563.985284
