Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_ATL->AM	m_AM->ATL	Data-ld-ln	Full-ld-ln
0	 0.00001	 0.00002	 0.00006	 0.00023	 0.02374	 0.00000	 0.00001	 0.00000	 0.00000		208.772475	-3514.994103
1001	 0.00002	 0.00005	 0.00012	 0.00086	 0.02368	 0.00000	 0.00003	 0.00000	 0.00000		190.249645	-3552.364814
2002	 0.00003	 0.00003	 0.00006	 0.00035	 0.02368	 0.00000	 0.00002	 0.00000	 0.00000		201.642217	-3472.477846
3003	 0.00002	 0.00003	 0.00007	 0.00029	 0.02133	 0.00000	 0.00002	 0.00000	 0.00000		206.703846	-3566.558823
4004	 0.00004	 0.00005	 0.00007	 0.00033	 0.02189	 0.00000	 0.00002	 0.00000	 0.00000		204.506965	-3612.702660
5005	 0.00024	 0.00032	 0.00018	 0.00041	 0.02290	 0.00002	 0.00005	 0.00000	 0.00000		184.632997	-3510.548246
6006	 0.00010	 0.00016	 0.00008	 0.00017	 0.02096	 0.00001	 0.00003	 0.00000	 0.00000		205.368248	-3509.615678
7007	 0.00011	 0.00010	 0.00009	 0.00024	 0.02249	 0.00001	 0.00002	 0.00000	 0.00000		198.129114	-3520.661864
8008	 0.00003	 0.00004	 0.00003	 0.00008	 0.02259	 0.00000	 0.00001	 0.00000	 0.00000		214.677832	-3619.054363
9009	 0.00007	 0.00006	 0.00008	 0.00024	 0.02143	 0.00001	 0.00002	 0.00000	 0.00000		207.968561	-3470.409749
10010	 0.00007	 0.00005	 0.00004	 0.00009	 0.02311	 0.00001	 0.00001	 0.00000	 0.00000		208.483309	-3647.149213
11011	 0.00003	 0.00003	 0.00001	 0.00003	 0.02141	 0.00000	 0.00000	 0.00000	 0.00000		234.729876	-3419.020298
12012	 0.00003	 0.00004	 0.00002	 0.00006	 0.02416	 0.00000	 0.00001	 0.00000	 0.00000		216.865351	-3559.283706
13013	 0.00002	 0.00003	 0.00001	 0.00003	 0.02456	 0.00000	 0.00000	 0.00000	 0.00000		233.258347	-3552.954085
