Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_ATL->AM	m_AM->ATL	Data-ld-ln	Full-ld-ln
0	 0.00002	 0.00006	 0.00000	 0.00006	 0.01894	 0.00000	 0.00000	 0.00000	 0.00000		212.816952	-2829.177778
1001	 0.00003	 0.00006	 0.00001	 0.00002	 0.01859	 0.00000	 0.00000	 0.00000	 0.00000		226.440500	-2751.859787
2002	 0.00007	 0.00010	 0.00001	 0.00006	 0.01584	 0.00000	 0.00001	 0.00000	 0.00000		210.111271	-2837.026010
3003	 0.00005	 0.00011	 0.00001	 0.00008	 0.01700	 0.00000	 0.00000	 0.00000	 0.00000		202.978788	-2923.154622
4004	 0.00005	 0.00021	 0.00001	 0.00011	 0.01704	 0.00000	 0.00001	 0.00000	 0.00000		202.021834	-2816.050271
5005	 0.00004	 0.00018	 0.00001	 0.00009	 0.01857	 0.00000	 0.00000	 0.00000	 0.00000		203.058523	-2812.638848
6006	 0.00011	 0.00030	 0.00002	 0.00013	 0.01869	 0.00001	 0.00001	 0.00000	 0.00000		190.124248	-2771.941403
7007	 0.00008	 0.00024	 0.00001	 0.00009	 0.01694	 0.00001	 0.00001	 0.00000	 0.00000		196.159692	-2764.575855
8008	 0.00008	 0.00012	 0.00002	 0.00016	 0.01693	 0.00001	 0.00001	 0.00000	 0.00000		201.458989	-2769.184133
9009	 0.00003	 0.00010	 0.00001	 0.00016	 0.01699	 0.00000	 0.00000	 0.00000	 0.00000		203.345195	-2835.174095
10010	 0.00008	 0.00016	 0.00001	 0.00010	 0.01912	 0.00000	 0.00001	 0.00000	 0.00000		189.971726	-2780.018283
11011	 0.00003	 0.00003	 0.00001	 0.00009	 0.01667	 0.00000	 0.00000	 0.00000	 0.00000		219.598664	-2839.806223
12012	 0.00003	 0.00017	 0.00001	 0.00006	 0.01783	 0.00000	 0.00000	 0.00000	 0.00000		212.313757	-2741.659859
13013	 0.00005	 0.00016	 0.00001	 0.00015	 0.01623	 0.00000	 0.00000	 0.00000	 0.00000		195.218250	-2862.532076
14014	 0.00004	 0.00004	 0.00001	 0.00002	 0.01808	 0.00000	 0.00000	 0.00000	 0.00000		210.234962	-2773.093050
15015	 0.00002	 0.00008	 0.00000	 0.00004	 0.02001	 0.00000	 0.00000	 0.00000	 0.00000		211.586612	-2745.247536
16016	 0.00002	 0.00007	 0.00000	 0.00006	 0.01633	 0.00000	 0.00000	 0.00000	 0.00000		211.594319	-2828.468673
17017	 0.00003	 0.00006	 0.00000	 0.00006	 0.01692	 0.00000	 0.00000	 0.00000	 0.00000		207.789750	-2811.788130
18018	 0.00001	 0.00005	 0.00000	 0.00005	 0.01872	 0.00000	 0.00000	 0.00000	 0.00000		219.174720	-2732.666261
19019	 0.00001	 0.00002	 0.00000	 0.00002	 0.01919	 0.00000	 0.00000	 0.00000	 0.00000		238.672093	-2700.072002
20020	 0.00001	 0.00002	 0.00000	 0.00005	 0.01799	 0.00000	 0.00000	 0.00000	 0.00000		219.110424	-2808.924912
21021	 0.00001	 0.00002	 0.00000	 0.00009	 0.01829	 0.00000	 0.00000	 0.00000	 0.00000		218.108617	-2779.737684
22022	 0.00002	 0.00004	 0.00000	 0.00001	 0.01888	 0.00000	 0.00000	 0.00000	 0.00000		218.950834	-2863.649578
23023	 0.00002	 0.00002	 0.00000	 0.00005	 0.01788	 0.00000	 0.00000	 0.00000	 0.00000		226.045089	-2750.431005
24024	 0.00001	 0.00003	 0.00000	 0.00012	 0.01909	 0.00000	 0.00000	 0.00000	 0.00000		214.294064	-2802.508143
25025	 0.00001	 0.00002	 0.00000	 0.00007	 0.01660	 0.00000	 0.00000	 0.00000	 0.00000		222.741249	-2779.152860
26026	 0.00002	 0.00003	 0.00000	 0.00011	 0.01815	 0.00000	 0.00000	 0.00000	 0.00000		215.259164	-2832.735226
27027	 0.00004	 0.00004	 0.00001	 0.00007	 0.01850	 0.00000	 0.00000	 0.00000	 0.00000		208.167823	-2827.877306
28028	 0.00002	 0.00005	 0.00000	 0.00009	 0.01983	 0.00000	 0.00000	 0.00000	 0.00000		212.459936	-2732.719303
29029	 0.00004	 0.00011	 0.00001	 0.00007	 0.01862	 0.00000	 0.00000	 0.00000	 0.00000		203.212245	-2791.158471
30030	 0.00003	 0.00004	 0.00001	 0.00028	 0.01865	 0.00000	 0.00000	 0.00000	 0.00000		203.364107	-2800.795988
31031	 0.00003	 0.00008	 0.00001	 0.00018	 0.01921	 0.00000	 0.00001	 0.00000	 0.00000		209.029398	-2743.955240
32032	 0.00004	 0.00006	 0.00001	 0.00008	 0.01784	 0.00000	 0.00001	 0.00000	 0.00000		220.788054	-2757.753189
33033	 0.00002	 0.00006	 0.00001	 0.00022	 0.01813	 0.00000	 0.00000	 0.00000	 0.00000		210.970040	-2731.735155
34034	 0.00003	 0.00007	 0.00001	 0.00028	 0.01701	 0.00000	 0.00001	 0.00000	 0.00000		208.079434	-2715.390308
35035	 0.00004	 0.00005	 0.00001	 0.00022	 0.01855	 0.00000	 0.00001	 0.00000	 0.00000		213.533520	-2665.102695
36036	 0.00007	 0.00008	 0.00001	 0.00011	 0.01803	 0.00000	 0.00001	 0.00000	 0.00000		205.859030	-2758.502757
37037	 0.00006	 0.00017	 0.00001	 0.00011	 0.01752	 0.00000	 0.00000	 0.00000	 0.00000		195.268547	-2904.777555
38038	 0.00014	 0.00031	 0.00002	 0.00012	 0.01663	 0.00001	 0.00001	 0.00000	 0.00000		189.468325	-2880.502374
39039	 0.00039	 0.00040	 0.00004	 0.00008	 0.01922	 0.00002	 0.00002	 0.00000	 0.00000		177.941581	-2774.593208
