Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_ATL->AM	m_AM->ATL	Data-ld-ln	Full-ld-ln
0	 0.00001	 0.00003	 0.00000	 0.00010	 0.01753	 0.00000	 0.00000	 0.00000	 0.00000		224.719756	-2890.146271
1001	 0.00001	 0.00002	 0.00000	 0.00004	 0.01854	 0.00000	 0.00000	 0.00000	 0.00000		229.649556	-2859.188437
2002	 0.00001	 0.00001	 0.00000	 0.00003	 0.01896	 0.00000	 0.00000	 0.00000	 0.00000		247.606942	-2749.192468
3003	 0.00000	 0.00001	 0.00000	 0.00008	 0.02004	 0.00000	 0.00000	 0.00000	 0.00000		242.452282	-2888.941521
4004	 0.00000	 0.00001	 0.00000	 0.00004	 0.01817	 0.00000	 0.00000	 0.00000	 0.00000		243.990177	-2820.791021
5005	 0.00000	 0.00000	 0.00000	 0.00005	 0.02137	 0.00000	 0.00000	 0.00000	 0.00000		249.246806	-2727.390884
6006	 0.00000	 0.00001	 0.00000	 0.00009	 0.01775	 0.00000	 0.00000	 0.00000	 0.00000		250.105583	-2818.124514
7007	 0.00001	 0.00001	 0.00000	 0.00013	 0.01876	 0.00000	 0.00000	 0.00000	 0.00000		244.174931	-2791.645715
8008	 0.00000	 0.00001	 0.00000	 0.00010	 0.01753	 0.00000	 0.00000	 0.00000	 0.00000		247.388734	-2902.097710
9009	 0.00000	 0.00000	 0.00000	 0.00011	 0.01829	 0.00000	 0.00000	 0.00000	 0.00000		245.259156	-2834.397347
10010	 0.00000	 0.00000	 0.00000	 0.00006	 0.01854	 0.00000	 0.00000	 0.00000	 0.00000		255.065949	-2863.230649
11011	 0.00000	 0.00000	 0.00000	 0.00001	 0.01819	 0.00000	 0.00000	 0.00000	 0.00000		261.142016	-2838.805754
12012	 0.00000	 0.00000	 0.00000	 0.00004	 0.01758	 0.00000	 0.00000	 0.00000	 0.00000		251.257220	-2949.803689
13013	 0.00001	 0.00001	 0.00000	 0.00005	 0.01981	 0.00000	 0.00000	 0.00000	 0.00000		241.310765	-2759.115535
14014	 0.00001	 0.00001	 0.00000	 0.00012	 0.01762	 0.00000	 0.00000	 0.00000	 0.00000		253.799823	-2848.504285
