Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_AM->ATL	Data-ld-ln	Full-ld-ln
0	 0.00020	 0.00009	 0.00802	 0.01158	 0.00000	 0.00000	 0.00922	 0.00000		154.652384	-5216.888113
1001	 0.00006	 0.00006	 0.00889	 0.01219	 0.00000	 0.00000	 0.01075	 0.00000		169.698418	-5190.236928
2002	 0.00031	 0.00018	 0.00758	 0.01260	 0.00000	 0.00001	 0.01089	 0.00000		147.142754	-5148.271638
3003	 0.00015	 0.00020	 0.00772	 0.01189	 0.00000	 0.00001	 0.01063	 0.00000		150.346858	-5234.636680
4004	 0.00016	 0.00016	 0.00735	 0.01077	 0.00000	 0.00001	 0.01047	 0.00000		152.549745	-5152.414974
5005	 0.00008	 0.00009	 0.00827	 0.01120	 0.00001	 0.00000	 0.01067	 0.00000		150.428105	-5109.194513
6006	 0.00006	 0.00010	 0.00696	 0.01191	 0.00000	 0.00000	 0.00984	 0.00000		148.870221	-5186.922679
7007	 0.00007	 0.00007	 0.00686	 0.01146	 0.00000	 0.00000	 0.00887	 0.00000		164.321853	-5213.206576
8008	 0.00004	 0.00006	 0.00744	 0.01122	 0.00000	 0.00000	 0.01029	 0.00000		160.764833	-5314.388360
9009	 0.00005	 0.00005	 0.00815	 0.01301	 0.00000	 0.00000	 0.01056	 0.00000		160.047813	-5194.182958
10010	 0.00005	 0.00008	 0.00824	 0.01042	 0.00000	 0.00000	 0.00936	 0.00000		157.209684	-5214.746664
11011	 0.00002	 0.00007	 0.00916	 0.01026	 0.00000	 0.00000	 0.01064	 0.00000		162.500786	-5164.781932
12012	 0.00015	 0.00004	 0.00823	 0.01157	 0.00000	 0.00000	 0.01008	 0.00000		159.815972	-5183.893726
13013	 0.00010	 0.00008	 0.00799	 0.01086	 0.00001	 0.00000	 0.01085	 0.00000		158.265077	-5122.321931
14014	 0.00003	 0.00005	 0.00763	 0.01198	 0.00000	 0.00000	 0.00903	 0.00000		168.199560	-5140.113278
15015	 0.00012	 0.00010	 0.00855	 0.01152	 0.00000	 0.00001	 0.00934	 0.00000		158.205366	-5117.916299
16016	 0.00006	 0.00010	 0.00766	 0.01361	 0.00000	 0.00000	 0.00970	 0.00000		158.914085	-5172.175823
17017	 0.00003	 0.00004	 0.00801	 0.01175	 0.00000	 0.00000	 0.01066	 0.00000		162.318602	-5098.498508
18018	 0.00002	 0.00005	 0.00688	 0.01187	 0.00000	 0.00000	 0.00962	 0.00000		166.392235	-5219.063427
19019	 0.00001	 0.00012	 0.00923	 0.01150	 0.00000	 0.00000	 0.00994	 0.00000		169.547066	-5164.312854
20020	 0.00002	 0.00005	 0.00846	 0.01228	 0.00000	 0.00000	 0.00993	 0.00000		163.401681	-5191.460725
21021	 0.00002	 0.00004	 0.00827	 0.01171	 0.00000	 0.00000	 0.00958	 0.00000		170.861347	-5126.117484
22022	 0.00002	 0.00003	 0.00680	 0.01286	 0.00000	 0.00000	 0.00998	 0.00000		169.200650	-5188.734853
23023	 0.00002	 0.00007	 0.00960	 0.01184	 0.00000	 0.00000	 0.00960	 0.00000		163.458092	-5093.744127
24024	 0.00001	 0.00002	 0.00768	 0.01178	 0.00000	 0.00000	 0.01007	 0.00000		167.384250	-5137.232641
25025	 0.00001	 0.00001	 0.00903	 0.01338	 0.00000	 0.00000	 0.01201	 0.00000		168.458907	-5046.615734
26026	 0.00001	 0.00002	 0.00850	 0.01235	 0.00000	 0.00000	 0.01062	 0.00000		167.946126	-5142.305136
27027	 0.00001	 0.00002	 0.00802	 0.01272	 0.00000	 0.00000	 0.01045	 0.00000		168.301849	-5196.647720
28028	 0.00003	 0.00001	 0.00622	 0.01215	 0.00000	 0.00000	 0.00911	 0.00000		166.548954	-5152.764175
29029	 0.00001	 0.00001	 0.00749	 0.01393	 0.00000	 0.00000	 0.01058	 0.00000		178.281308	-5108.424493
30030	 0.00002	 0.00001	 0.00730	 0.01119	 0.00000	 0.00000	 0.00947	 0.00000		174.993485	-5148.850225
31031	 0.00001	 0.00001	 0.00812	 0.01255	 0.00000	 0.00000	 0.00956	 0.00000		173.297160	-5209.354966
32032	 0.00001	 0.00002	 0.00842	 0.01066	 0.00000	 0.00000	 0.01021	 0.00000		168.143082	-5209.338525
33033	 0.00001	 0.00004	 0.00839	 0.01190	 0.00000	 0.00000	 0.01048	 0.00000		157.969479	-5155.111592
34034	 0.00003	 0.00005	 0.00867	 0.01244	 0.00001	 0.00000	 0.01146	 0.00000		153.107670	-5011.183627
35035	 0.00004	 0.00005	 0.00888	 0.01189	 0.00000	 0.00000	 0.01001	 0.00000		160.304299	-5164.327422
36036	 0.00005	 0.00008	 0.00915	 0.01138	 0.00000	 0.00000	 0.00994	 0.00000		155.927917	-5191.104672
37037	 0.00008	 0.00012	 0.00846	 0.01184	 0.00000	 0.00000	 0.00951	 0.00000		157.420459	-5114.736583
38038	 0.00009	 0.00004	 0.00815	 0.01163	 0.00000	 0.00000	 0.01067	 0.00000		163.848367	-5067.609729
39039	 0.00002	 0.00003	 0.00758	 0.01196	 0.00000	 0.00000	 0.01081	 0.00000		173.145471	-5090.634136
40040	 0.00008	 0.00009	 0.00816	 0.01109	 0.00000	 0.00000	 0.01004	 0.00000		167.619146	-5150.753654
41041	 0.00003	 0.00008	 0.00847	 0.01260	 0.00000	 0.00000	 0.00995	 0.00000		170.845038	-5204.184439
42042	 0.00006	 0.00006	 0.00710	 0.01279	 0.00000	 0.00000	 0.00931	 0.00000		170.218829	-5153.501992
43043	 0.00009	 0.00011	 0.00965	 0.01087	 0.00000	 0.00000	 0.00983	 0.00000		163.395735	-5146.239903
44044	 0.00034	 0.00009	 0.00772	 0.01189	 0.00000	 0.00001	 0.00978	 0.00000		157.743753	-5227.859227
45045	 0.00010	 0.00006	 0.00879	 0.01066	 0.00000	 0.00000	 0.00988	 0.00000		160.566098	-5110.160117
46046	 0.00022	 0.00016	 0.00711	 0.01221	 0.00000	 0.00001	 0.00954	 0.00000		158.921407	-5166.435126
47047	 0.00003	 0.00005	 0.00877	 0.01158	 0.00000	 0.00000	 0.00947	 0.00000		177.115808	-5248.107168
48048	 0.00010	 0.00025	 0.00735	 0.01270	 0.00000	 0.00001	 0.00829	 0.00000		164.732882	-5229.229665
49049	 0.00007	 0.00011	 0.00760	 0.01171	 0.00000	 0.00000	 0.00930	 0.00000		169.977183	-5168.464947
50050	 0.00019	 0.00035	 0.00829	 0.01165	 0.00000	 0.00001	 0.01023	 0.00000		164.464522	-5099.582073
51051	 0.00025	 0.00022	 0.00870	 0.01118	 0.00000	 0.00001	 0.01046	 0.00000		164.566615	-5140.004028
52052	 0.00034	 0.00028	 0.00812	 0.01180	 0.00000	 0.00002	 0.01062	 0.00000		163.781585	-5136.116313
53053	 0.00022	 0.00025	 0.00884	 0.01257	 0.00000	 0.00001	 0.00941	 0.00000		166.932750	-5163.947844
54054	 0.00016	 0.00021	 0.00694	 0.01103	 0.00000	 0.00001	 0.01078	 0.00000		162.079332	-5134.597556
55055	 0.00029	 0.00026	 0.00762	 0.01227	 0.00000	 0.00001	 0.01056	 0.00000		154.688437	-5185.310400
56056	 0.00020	 0.00038	 0.00895	 0.01006	 0.00000	 0.00001	 0.01003	 0.00000		157.320632	-5018.023837
57057	 0.00020	 0.00026	 0.00762	 0.01220	 0.00000	 0.00001	 0.01045	 0.00000		158.608922	-5297.681094
58058	 0.00025	 0.00032	 0.00831	 0.01218	 0.00000	 0.00001	 0.00998	 0.00000		156.723821	-5300.067082
59059	 0.00023	 0.00017	 0.00767	 0.01390	 0.00000	 0.00001	 0.00844	 0.00000		173.908878	-5246.472917
60060	 0.00026	 0.00011	 0.00813	 0.01195	 0.00000	 0.00001	 0.01141	 0.00000		160.691194	-5054.176539
61061	 0.00004	 0.00025	 0.00798	 0.01247	 0.00000	 0.00000	 0.01100	 0.00000		158.056214	-5163.920503
62062	 0.00007	 0.00010	 0.00683	 0.01403	 0.00000	 0.00000	 0.00886	 0.00000		169.969812	-5118.533921
63063	 0.00008	 0.00014	 0.00732	 0.01126	 0.00000	 0.00001	 0.00937	 0.00000		165.419667	-5116.917052
