Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_AM->ATL	Data-ld-ln	Full-ld-ln
0	 0.00004	 0.00021	 0.00008	 0.00026	 0.03302	 0.00000	 0.00002	 0.00000		192.576381	-5111.631368
1001	 0.00003	 0.00011	 0.00006	 0.00028	 0.03478	 0.00000	 0.00002	 0.00000		195.707880	-5317.067964
2002	 0.00003	 0.00003	 0.00003	 0.00022	 0.03299	 0.00000	 0.00001	 0.00000		199.346593	-5208.031992
3003	 0.00001	 0.00001	 0.00002	 0.00016	 0.03209	 0.00000	 0.00000	 0.00000		220.257482	-5011.998395
4004	 0.00001	 0.00001	 0.00001	 0.00006	 0.03222	 0.00000	 0.00000	 0.00000		226.712790	-5227.846485
5005	 0.00000	 0.00000	 0.00000	 0.00001	 0.03551	 0.00000	 0.00000	 0.00000		251.087764	-5048.976520
6006	 0.00000	 0.00001	 0.00000	 0.00001	 0.03524	 0.00000	 0.00000	 0.00000		250.528366	-5196.902214
7007	 0.00000	 0.00000	 0.00000	 0.00001	 0.03615	 0.00000	 0.00000	 0.00000		241.071396	-5215.086915
8008	 0.00000	 0.00001	 0.00000	 0.00000	 0.03252	 0.00000	 0.00000	 0.00000		259.910757	-5235.965173
9009	 0.00001	 0.00001	 0.00000	 0.00001	 0.03332	 0.00000	 0.00000	 0.00000		244.561832	-5164.553915
10010	 0.00001	 0.00003	 0.00001	 0.00003	 0.03307	 0.00000	 0.00000	 0.00000		218.241242	-5182.963794
11011	 0.00001	 0.00005	 0.00001	 0.00002	 0.03298	 0.00000	 0.00000	 0.00000		230.034847	-5223.942069
12012	 0.00003	 0.00010	 0.00001	 0.00001	 0.03285	 0.00000	 0.00000	 0.00000		222.592296	-5376.061835
13013	 0.00003	 0.00004	 0.00001	 0.00001	 0.03306	 0.00000	 0.00000	 0.00000		219.605965	-5249.727993
14014	 0.00004	 0.00004	 0.00001	 0.00002	 0.03471	 0.00000	 0.00000	 0.00000		211.577057	-5288.274406
15015	 0.00004	 0.00010	 0.00001	 0.00001	 0.03339	 0.00000	 0.00000	 0.00000		230.774596	-5013.676184
16016	 0.00003	 0.00007	 0.00001	 0.00003	 0.03280	 0.00000	 0.00000	 0.00000		218.737484	-5147.193332
17017	 0.00002	 0.00004	 0.00001	 0.00003	 0.03238	 0.00000	 0.00000	 0.00000		211.914366	-5215.700790
18018	 0.00002	 0.00004	 0.00001	 0.00002	 0.03346	 0.00000	 0.00000	 0.00000		231.616426	-5150.694638
19019	 0.00002	 0.00003	 0.00001	 0.00001	 0.03329	 0.00000	 0.00000	 0.00000		229.318525	-5104.259884
20020	 0.00002	 0.00006	 0.00001	 0.00004	 0.03189	 0.00000	 0.00000	 0.00000		212.588114	-5083.017117
21021	 0.00002	 0.00005	 0.00001	 0.00003	 0.03634	 0.00000	 0.00000	 0.00000		219.496531	-5058.938869
22022	 0.00002	 0.00007	 0.00001	 0.00001	 0.03476	 0.00000	 0.00000	 0.00000		239.156550	-5251.486560
23023	 0.00001	 0.00004	 0.00001	 0.00001	 0.03370	 0.00000	 0.00000	 0.00000		237.725091	-5291.588932
24024	 0.00002	 0.00004	 0.00001	 0.00001	 0.03477	 0.00000	 0.00000	 0.00000		234.361518	-5040.451134
25025	 0.00002	 0.00002	 0.00001	 0.00000	 0.03346	 0.00000	 0.00000	 0.00000		242.324586	-5081.334853
26026	 0.00001	 0.00003	 0.00001	 0.00001	 0.03806	 0.00000	 0.00000	 0.00000		232.917459	-4876.119704
27027	 0.00001	 0.00002	 0.00001	 0.00001	 0.03467	 0.00000	 0.00000	 0.00000		246.835647	-5063.029673
28028	 0.00001	 0.00002	 0.00001	 0.00002	 0.03178	 0.00000	 0.00000	 0.00000		236.332921	-5044.364695
29029	 0.00001	 0.00001	 0.00001	 0.00001	 0.03351	 0.00000	 0.00000	 0.00000		244.234968	-4923.610213
30030	 0.00001	 0.00002	 0.00001	 0.00004	 0.03453	 0.00000	 0.00000	 0.00000		223.778120	-5063.488798
31031	 0.00004	 0.00007	 0.00002	 0.00005	 0.03578	 0.00000	 0.00001	 0.00000		210.104938	-5017.503062
32032	 0.00002	 0.00007	 0.00002	 0.00005	 0.03452	 0.00000	 0.00000	 0.00000		214.805801	-5268.221075
33033	 0.00002	 0.00003	 0.00002	 0.00007	 0.03464	 0.00000	 0.00001	 0.00000		226.444736	-5153.158173
34034	 0.00001	 0.00003	 0.00002	 0.00012	 0.03525	 0.00000	 0.00001	 0.00000		210.082648	-5139.782619
35035	 0.00001	 0.00001	 0.00001	 0.00008	 0.03545	 0.00000	 0.00000	 0.00000		219.361356	-5204.421226
36036	 0.00001	 0.00001	 0.00002	 0.00014	 0.03279	 0.00000	 0.00001	 0.00000		215.116560	-5315.294020
37037	 0.00000	 0.00001	 0.00002	 0.00007	 0.03239	 0.00000	 0.00000	 0.00000		225.384211	-5223.639884
38038	 0.00001	 0.00002	 0.00003	 0.00011	 0.03487	 0.00000	 0.00001	 0.00000		217.819377	-4929.852370
39039	 0.00001	 0.00003	 0.00002	 0.00005	 0.03572	 0.00000	 0.00000	 0.00000		219.600484	-5022.531805
