Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_AM->ATL	Data-ld-ln	Full-ld-ln
0	 0.00007	 0.00007	 0.00965	 0.01197	 0.00000	 0.00000	 0.00960	 0.00000		172.445998	-4933.388836
1001	 0.00006	 0.00010	 0.00846	 0.01237	 0.00000	 0.00000	 0.01035	 0.00000		172.707440	-4942.275959
2002	 0.00024	 0.00019	 0.00792	 0.01043	 0.00000	 0.00001	 0.00953	 0.00000		156.272827	-4927.159713
3003	 0.00012	 0.00020	 0.00798	 0.01069	 0.00000	 0.00001	 0.00803	 0.00000		162.595140	-5074.708907
4004	 0.00010	 0.00019	 0.00649	 0.01230	 0.00000	 0.00001	 0.00943	 0.00000		159.742317	-4990.707532
5005	 0.00009	 0.00011	 0.00828	 0.01177	 0.00000	 0.00001	 0.01026	 0.00000		161.543424	-4898.056216
6006	 0.00008	 0.00009	 0.00854	 0.01060	 0.00000	 0.00000	 0.00936	 0.00000		156.935635	-4973.528105
7007	 0.00006	 0.00007	 0.00891	 0.01080	 0.00000	 0.00000	 0.00861	 0.00000		172.549055	-5050.566323
8008	 0.00017	 0.00015	 0.00864	 0.01122	 0.00000	 0.00001	 0.01009	 0.00000		164.723568	-4980.760394
9009	 0.00024	 0.00017	 0.00927	 0.01096	 0.00000	 0.00001	 0.00955	 0.00000		159.379672	-4949.947883
10010	 0.00011	 0.00029	 0.00866	 0.00978	 0.00000	 0.00001	 0.00917	 0.00000		164.313026	-4966.844630
11011	 0.00024	 0.00060	 0.00824	 0.01100	 0.00000	 0.00002	 0.01028	 0.00000		160.165864	-4939.419357
12012	 0.00025	 0.00030	 0.00767	 0.01149	 0.00000	 0.00001	 0.01083	 0.00000		162.615029	-5015.625704
13013	 0.00019	 0.00014	 0.00709	 0.01125	 0.00000	 0.00001	 0.01179	 0.00000		160.036645	-4952.180310
14014	 0.00010	 0.00007	 0.00895	 0.01055	 0.00000	 0.00000	 0.01032	 0.00000		164.767414	-4941.444158
15015	 0.00005	 0.00004	 0.00888	 0.01191	 0.00000	 0.00000	 0.01020	 0.00000		168.064332	-4904.244981
16016	 0.00007	 0.00005	 0.00910	 0.01106	 0.00000	 0.00000	 0.01075	 0.00000		172.724200	-4929.039793
17017	 0.00004	 0.00004	 0.00998	 0.00983	 0.00000	 0.00000	 0.00918	 0.00000		167.967917	-4954.596126
18018	 0.00003	 0.00004	 0.00823	 0.01300	 0.00000	 0.00000	 0.00958	 0.00000		171.688010	-4944.693935
19019	 0.00007	 0.00008	 0.00882	 0.01162	 0.00000	 0.00000	 0.00951	 0.00000		166.218788	-5021.461592
20020	 0.00007	 0.00017	 0.00844	 0.01227	 0.00000	 0.00001	 0.00907	 0.00000		167.430487	-4959.420086
21021	 0.00008	 0.00019	 0.00896	 0.01107	 0.00000	 0.00001	 0.00920	 0.00000		163.091131	-4981.458314
22022	 0.00005	 0.00008	 0.00827	 0.01091	 0.00000	 0.00000	 0.00963	 0.00000		159.499307	-5027.234881
23023	 0.00003	 0.00011	 0.00888	 0.00984	 0.00000	 0.00000	 0.00927	 0.00000		158.978100	-5028.534243
24024	 0.00004	 0.00011	 0.00750	 0.01124	 0.00000	 0.00000	 0.01091	 0.00000		157.535780	-4858.671097
25025	 0.00006	 0.00008	 0.00863	 0.01158	 0.00000	 0.00000	 0.00853	 0.00000		159.118651	-5042.386092
26026	 0.00006	 0.00005	 0.00784	 0.01081	 0.00000	 0.00000	 0.00959	 0.00000		160.678693	-5022.343275
27027	 0.00005	 0.00005	 0.00861	 0.01198	 0.00000	 0.00000	 0.00856	 0.00000		165.676873	-4971.986333
28028	 0.00010	 0.00007	 0.00903	 0.01119	 0.00000	 0.00000	 0.00865	 0.00000		161.755366	-5009.200185
29029	 0.00006	 0.00004	 0.00852	 0.01036	 0.00000	 0.00000	 0.00998	 0.00000		167.329936	-4957.021045
30030	 0.00014	 0.00010	 0.00697	 0.01189	 0.00000	 0.00001	 0.00960	 0.00000		166.715367	-5002.158881
31031	 0.00017	 0.00032	 0.00902	 0.01069	 0.00000	 0.00002	 0.00964	 0.00000		164.268373	-4988.460783
32032	 0.00047	 0.00038	 0.00761	 0.01204	 0.00000	 0.00002	 0.01041	 0.00000		153.814725	-4989.911157
33033	 0.00011	 0.00012	 0.00714	 0.01123	 0.00000	 0.00001	 0.01102	 0.00000		168.601367	-4902.989048
34034	 0.00004	 0.00009	 0.00855	 0.01065	 0.00000	 0.00000	 0.00945	 0.00000		173.265343	-4996.992266
35035	 0.00007	 0.00009	 0.00873	 0.01113	 0.00000	 0.00000	 0.01069	 0.00000		165.605325	-4926.587631
36036	 0.00005	 0.00006	 0.00810	 0.01004	 0.00000	 0.00000	 0.01003	 0.00000		173.112569	-4975.471845
37037	 0.00004	 0.00016	 0.00746	 0.01126	 0.00000	 0.00000	 0.00912	 0.00000		164.781373	-5097.317610
38038	 0.00004	 0.00005	 0.00813	 0.01242	 0.00000	 0.00000	 0.01018	 0.00000		168.379261	-4912.603718
39039	 0.00008	 0.00007	 0.00843	 0.01145	 0.00000	 0.00000	 0.01002	 0.00000		163.266832	-4969.227174
40040	 0.00010	 0.00008	 0.00925	 0.01207	 0.00000	 0.00000	 0.01049	 0.00000		169.467456	-4927.636475
41041	 0.00005	 0.00006	 0.00744	 0.01114	 0.00000	 0.00000	 0.00899	 0.00000		176.389961	-5060.638794
42042	 0.00008	 0.00009	 0.00781	 0.01250	 0.00000	 0.00000	 0.00928	 0.00000		161.792134	-4961.964275
43043	 0.00005	 0.00003	 0.00699	 0.01099	 0.00000	 0.00000	 0.00971	 0.00000		175.056714	-4969.589766
44044	 0.00003	 0.00002	 0.00846	 0.00863	 0.00000	 0.00000	 0.00951	 0.00000		183.909759	-4928.042427
45045	 0.00007	 0.00019	 0.00844	 0.01262	 0.00000	 0.00001	 0.00957	 0.00000		163.055523	-4948.256164
