Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_AM->ATL	Data-ld-ln	Full-ld-ln
0	 0.00006	 0.00007	 0.00002	 0.00041	 0.01210	 0.00000	 0.00001	 0.00000		199.258398	-2004.006507
1001	 0.00009	 0.00018	 0.00004	 0.00012	 0.01193	 0.00001	 0.00001	 0.00000		190.579030	-2003.427451
2002	 0.00005	 0.00013	 0.00002	 0.00022	 0.01167	 0.00001	 0.00001	 0.00000		198.729245	-1961.541078
3003	 0.00004	 0.00008	 0.00001	 0.00015	 0.01241	 0.00000	 0.00001	 0.00000		206.891478	-1980.621175
4004	 0.00002	 0.00003	 0.00001	 0.00043	 0.01182	 0.00000	 0.00000	 0.00000		218.560628	-2007.259788
5005	 0.00013	 0.00034	 0.00004	 0.00016	 0.01124	 0.00001	 0.00001	 0.00000		189.396769	-2066.311368
6006	 0.00003	 0.00004	 0.00001	 0.00006	 0.01208	 0.00000	 0.00000	 0.00000		215.441156	-1974.448283
7007	 0.00002	 0.00015	 0.00001	 0.00010	 0.01193	 0.00000	 0.00000	 0.00000		209.608296	-1959.941371
8008	 0.00003	 0.00003	 0.00001	 0.00004	 0.01225	 0.00000	 0.00000	 0.00000		226.998342	-1984.856735
9009	 0.00002	 0.00006	 0.00001	 0.00010	 0.01239	 0.00000	 0.00000	 0.00000		210.141792	-1983.032522
10010	 0.00002	 0.00007	 0.00001	 0.00011	 0.01139	 0.00000	 0.00000	 0.00000		209.468220	-1997.523298
11011	 0.00001	 0.00003	 0.00001	 0.00005	 0.01325	 0.00000	 0.00000	 0.00000		225.942204	-1947.585566
12012	 0.00000	 0.00000	 0.00000	 0.00004	 0.01234	 0.00000	 0.00000	 0.00000		233.597377	-2002.131535
13013	 0.00001	 0.00003	 0.00001	 0.00008	 0.01122	 0.00000	 0.00000	 0.00000		227.155836	-1986.432243
14014	 0.00006	 0.00008	 0.00003	 0.00007	 0.01392	 0.00001	 0.00001	 0.00000		215.771862	-1925.391369
15015	 0.00002	 0.00006	 0.00002	 0.00013	 0.01101	 0.00000	 0.00000	 0.00000		214.724338	-1934.347086
16016	 0.00004	 0.00013	 0.00001	 0.00008	 0.01285	 0.00000	 0.00000	 0.00000		199.672695	-2007.290915
17017	 0.00006	 0.00007	 0.00002	 0.00003	 0.01224	 0.00000	 0.00001	 0.00000		205.374238	-1925.176894
18018	 0.00003	 0.00007	 0.00002	 0.00011	 0.01142	 0.00000	 0.00001	 0.00000		207.621108	-1965.640457
19019	 0.00002	 0.00007	 0.00001	 0.00010	 0.01352	 0.00000	 0.00000	 0.00000		222.668211	-1912.176740
20020	 0.00009	 0.00018	 0.00004	 0.00018	 0.01116	 0.00001	 0.00001	 0.00000		194.948314	-1929.990411
21021	 0.00010	 0.00010	 0.00002	 0.00014	 0.01181	 0.00001	 0.00001	 0.00000		201.790255	-2014.352159
22022	 0.00001	 0.00008	 0.00001	 0.00008	 0.01162	 0.00000	 0.00000	 0.00000		214.820911	-2028.639429
23023	 0.00001	 0.00005	 0.00001	 0.00003	 0.01148	 0.00000	 0.00000	 0.00000		231.358351	-1938.819599
24024	 0.00001	 0.00006	 0.00001	 0.00001	 0.01194	 0.00000	 0.00000	 0.00000		238.412607	-1998.822173
25025	 0.00003	 0.00004	 0.00002	 0.00007	 0.01206	 0.00000	 0.00000	 0.00000		219.669734	-1991.688213
26026	 0.00004	 0.00006	 0.00003	 0.00006	 0.01120	 0.00000	 0.00001	 0.00000		214.488972	-1973.357747
27027	 0.00005	 0.00008	 0.00002	 0.00004	 0.01196	 0.00000	 0.00001	 0.00000		216.510382	-1946.680359
28028	 0.00003	 0.00005	 0.00001	 0.00007	 0.01135	 0.00000	 0.00000	 0.00000		215.708810	-1981.590434
29029	 0.00002	 0.00004	 0.00003	 0.00026	 0.01206	 0.00000	 0.00001	 0.00000		211.130144	-1964.687781
30030	 0.00002	 0.00004	 0.00001	 0.00008	 0.01264	 0.00000	 0.00000	 0.00000		212.368033	-1988.781635
31031	 0.00006	 0.00010	 0.00003	 0.00013	 0.01012	 0.00001	 0.00001	 0.00000		207.486531	-2020.836752
32032	 0.00004	 0.00014	 0.00003	 0.00012	 0.01224	 0.00001	 0.00001	 0.00000		204.767723	-1936.176494
33033	 0.00003	 0.00014	 0.00002	 0.00014	 0.01163	 0.00000	 0.00001	 0.00000		204.845021	-1958.923144
34034	 0.00003	 0.00009	 0.00003	 0.00008	 0.01229	 0.00000	 0.00001	 0.00000		211.949356	-1945.530886
35035	 0.00010	 0.00010	 0.00002	 0.00010	 0.01255	 0.00001	 0.00001	 0.00000		195.751865	-1966.232274
36036	 0.00006	 0.00021	 0.00002	 0.00018	 0.01155	 0.00001	 0.00001	 0.00000		193.930481	-2012.706459
37037	 0.00003	 0.00009	 0.00002	 0.00025	 0.01147	 0.00000	 0.00001	 0.00000		203.640404	-2025.303048
38038	 0.00001	 0.00013	 0.00002	 0.00027	 0.01161	 0.00000	 0.00001	 0.00000		203.420895	-1991.137270
39039	 0.00003	 0.00004	 0.00002	 0.00025	 0.01126	 0.00000	 0.00001	 0.00000		210.559090	-1930.554249
40040	 0.00003	 0.00006	 0.00001	 0.00008	 0.01340	 0.00000	 0.00000	 0.00000		210.064326	-1955.399758
41041	 0.00002	 0.00010	 0.00002	 0.00009	 0.01306	 0.00000	 0.00000	 0.00000		204.914067	-1973.677474
42042	 0.00003	 0.00003	 0.00001	 0.00015	 0.01184	 0.00000	 0.00000	 0.00000		216.710248	-1997.731145
43043	 0.00004	 0.00008	 0.00004	 0.00014	 0.01230	 0.00000	 0.00001	 0.00000		208.738183	-2024.288924
44044	 0.00010	 0.00013	 0.00002	 0.00014	 0.01383	 0.00001	 0.00001	 0.00000		191.740026	-1968.804350
45045	 0.00005	 0.00013	 0.00005	 0.00026	 0.01247	 0.00001	 0.00001	 0.00000		197.892726	-1915.517636
46046	 0.00004	 0.00006	 0.00002	 0.00022	 0.01225	 0.00000	 0.00001	 0.00000		213.253001	-1964.622540
47047	 0.00012	 0.00026	 0.00006	 0.00016	 0.01250	 0.00001	 0.00002	 0.00000		191.876780	-1972.773915
48048	 0.00003	 0.00005	 0.00001	 0.00019	 0.01131	 0.00000	 0.00000	 0.00000		213.058287	-2021.986887
49049	 0.00009	 0.00007	 0.00002	 0.00006	 0.01322	 0.00000	 0.00001	 0.00000		209.192960	-1997.808652
50050	 0.00005	 0.00007	 0.00002	 0.00008	 0.01266	 0.00000	 0.00000	 0.00000		209.753606	-1935.073776
51051	 0.00001	 0.00002	 0.00001	 0.00012	 0.01241	 0.00000	 0.00000	 0.00000		223.746881	-1919.473475
52052	 0.00003	 0.00004	 0.00001	 0.00011	 0.01258	 0.00000	 0.00001	 0.00000		217.300236	-1897.197711
53053	 0.00006	 0.00016	 0.00003	 0.00007	 0.01228	 0.00001	 0.00001	 0.00000		203.547683	-1918.337761
54054	 0.00004	 0.00008	 0.00001	 0.00005	 0.01229	 0.00000	 0.00000	 0.00000		209.572518	-1981.030243
55055	 0.00010	 0.00040	 0.00008	 0.00018	 0.01191	 0.00001	 0.00002	 0.00000		192.294810	-2035.238907
56056	 0.00010	 0.00016	 0.00005	 0.00019	 0.01133	 0.00001	 0.00001	 0.00000		197.778549	-2005.690156
57057	 0.00008	 0.00012	 0.00007	 0.00030	 0.01138	 0.00001	 0.00002	 0.00000		199.897241	-1915.783636
58058	 0.00004	 0.00016	 0.00004	 0.00021	 0.01121	 0.00000	 0.00001	 0.00000		198.429666	-2024.706218
59059	 0.00001	 0.00001	 0.00001	 0.00016	 0.01126	 0.00000	 0.00000	 0.00000		220.219296	-2040.819200
60060	 0.00000	 0.00005	 0.00001	 0.00023	 0.01262	 0.00000	 0.00000	 0.00000		216.805593	-2015.880221
61061	 0.00000	 0.00001	 0.00001	 0.00010	 0.01279	 0.00000	 0.00000	 0.00000		229.366342	-1991.439005
62062	 0.00002	 0.00004	 0.00002	 0.00009	 0.01193	 0.00000	 0.00001	 0.00000		224.299824	-1921.520327
63063	 0.00001	 0.00002	 0.00004	 0.00026	 0.01185	 0.00000	 0.00001	 0.00000		215.888924	-1947.263102
64064	 0.00004	 0.00015	 0.00006	 0.00032	 0.01330	 0.00000	 0.00002	 0.00000		200.361486	-1948.018110
65065	 0.00006	 0.00010	 0.00005	 0.00018	 0.01222	 0.00001	 0.00001	 0.00000		204.690745	-1961.190117
66066	 0.00004	 0.00008	 0.00004	 0.00008	 0.01229	 0.00000	 0.00001	 0.00000		216.837301	-1915.881371
67067	 0.00005	 0.00022	 0.00002	 0.00009	 0.01200	 0.00000	 0.00001	 0.00000		200.364272	-2045.747398
68068	 0.00018	 0.00013	 0.00004	 0.00009	 0.01155	 0.00001	 0.00001	 0.00000		201.474545	-1957.063071
69069	 0.00012	 0.00010	 0.00004	 0.00008	 0.01040	 0.00001	 0.00001	 0.00000		208.290432	-1966.765959
70070	 0.00005	 0.00010	 0.00002	 0.00005	 0.01181	 0.00001	 0.00001	 0.00000		203.335781	-2014.923468
71071	 0.00003	 0.00009	 0.00002	 0.00012	 0.01165	 0.00000	 0.00001	 0.00000		206.618269	-2022.880007
72072	 0.00002	 0.00005	 0.00001	 0.00006	 0.01161	 0.00000	 0.00000	 0.00000		215.772765	-1994.050732
73073	 0.00003	 0.00006	 0.00001	 0.00011	 0.01255	 0.00000	 0.00000	 0.00000		202.575748	-1939.058418
74074	 0.00006	 0.00024	 0.00002	 0.00009	 0.01149	 0.00001	 0.00001	 0.00000		199.650741	-2072.636947
75075	 0.00002	 0.00012	 0.00001	 0.00009	 0.01148	 0.00000	 0.00000	 0.00000		207.835002	-1985.918209
76076	 0.00003	 0.00005	 0.00001	 0.00009	 0.01184	 0.00000	 0.00000	 0.00000		215.292150	-1961.624338
77077	 0.00002	 0.00004	 0.00001	 0.00004	 0.01201	 0.00000	 0.00000	 0.00000		224.242668	-1945.018769
78078	 0.00004	 0.00006	 0.00001	 0.00001	 0.01278	 0.00000	 0.00000	 0.00000		218.609338	-1986.560948
79079	 0.00002	 0.00004	 0.00001	 0.00001	 0.01282	 0.00000	 0.00000	 0.00000		228.348204	-1991.897826
80080	 0.00003	 0.00005	 0.00001	 0.00006	 0.01102	 0.00000	 0.00000	 0.00000		223.492072	-1983.171767
81081	 0.00002	 0.00009	 0.00002	 0.00020	 0.01260	 0.00000	 0.00001	 0.00000		209.332954	-1969.321629
82082	 0.00006	 0.00004	 0.00002	 0.00021	 0.01186	 0.00000	 0.00001	 0.00000		210.730434	-1927.877967
83083	 0.00002	 0.00006	 0.00003	 0.00025	 0.01113	 0.00000	 0.00001	 0.00000		207.578313	-1967.149897
84084	 0.00003	 0.00009	 0.00003	 0.00016	 0.01211	 0.00000	 0.00001	 0.00000		209.814635	-1969.748627
85085	 0.00003	 0.00005	 0.00002	 0.00011	 0.01111	 0.00000	 0.00001	 0.00000		214.909965	-2011.882763
86086	 0.00003	 0.00007	 0.00002	 0.00018	 0.01240	 0.00000	 0.00001	 0.00000		207.996189	-2052.642264
87087	 0.00006	 0.00013	 0.00004	 0.00015	 0.01202	 0.00001	 0.00001	 0.00000		208.835002	-1951.097029
88088	 0.00005	 0.00005	 0.00004	 0.00018	 0.01262	 0.00000	 0.00001	 0.00000		217.048782	-1990.145866
89089	 0.00006	 0.00014	 0.00007	 0.00024	 0.01263	 0.00001	 0.00002	 0.00000		198.799621	-1926.364268
90090	 0.00007	 0.00010	 0.00005	 0.00024	 0.01201	 0.00000	 0.00001	 0.00000		201.286271	-1968.276992
91091	 0.00013	 0.00025	 0.00008	 0.00016	 0.01098	 0.00001	 0.00002	 0.00000		202.436341	-1970.211931
92092	 0.00003	 0.00009	 0.00002	 0.00015	 0.01252	 0.00000	 0.00001	 0.00000		210.371611	-1989.108074
93093	 0.00004	 0.00019	 0.00002	 0.00004	 0.01256	 0.00000	 0.00000	 0.00000		206.380545	-2028.661284
94094	 0.00017	 0.00033	 0.00005	 0.00010	 0.01227	 0.00002	 0.00002	 0.00000		187.527839	-1986.359759
95095	 0.00004	 0.00011	 0.00002	 0.00011	 0.01262	 0.00000	 0.00000	 0.00000		198.244414	-1987.693293
96096	 0.00007	 0.00010	 0.00002	 0.00009	 0.01169	 0.00001	 0.00001	 0.00000		204.760699	-1937.273131
97097	 0.00004	 0.00014	 0.00003	 0.00009	 0.01171	 0.00000	 0.00001	 0.00000		204.651651	-1957.156946
98098	 0.00003	 0.00030	 0.00002	 0.00007	 0.01153	 0.00000	 0.00000	 0.00000		205.738747	-2030.347791
99099	 0.00002	 0.00009	 0.00001	 0.00018	 0.01210	 0.00000	 0.00000	 0.00000		204.521832	-2075.935441
100100	 0.00005	 0.00018	 0.00003	 0.00017	 0.01109	 0.00001	 0.00001	 0.00000		195.462959	-2001.479975
101101	 0.00004	 0.00007	 0.00002	 0.00012	 0.01236	 0.00000	 0.00001	 0.00000		213.773783	-1906.798053
102102	 0.00009	 0.00007	 0.00005	 0.00022	 0.01316	 0.00001	 0.00002	 0.00000		209.298520	-1975.788998
103103	 0.00017	 0.00035	 0.00010	 0.00024	 0.01298	 0.00001	 0.00002	 0.00000		186.476052	-1943.434424
104104	 0.00019	 0.00030	 0.00010	 0.00031	 0.01133	 0.00001	 0.00002	 0.00000		185.745961	-2051.064152
105105	 0.00007	 0.00017	 0.00012	 0.00045	 0.01286	 0.00001	 0.00003	 0.00000		197.427446	-1898.604175
106106	 0.00011	 0.00015	 0.00007	 0.00042	 0.01210	 0.00001	 0.00002	 0.00000		192.908486	-2098.355198
107107	 0.00009	 0.00013	 0.00005	 0.00026	 0.01052	 0.00001	 0.00001	 0.00000		195.458838	-1985.063590
108108	 0.00010	 0.00020	 0.00006	 0.00022	 0.01197	 0.00001	 0.00002	 0.00000		196.972526	-1954.991502
109109	 0.00005	 0.00012	 0.00004	 0.00016	 0.01164	 0.00000	 0.00001	 0.00000		206.631908	-1980.090256
110110	 0.00008	 0.00013	 0.00005	 0.00026	 0.01156	 0.00001	 0.00002	 0.00000		202.612481	-2012.842989
111111	 0.00010	 0.00014	 0.00003	 0.00005	 0.01135	 0.00001	 0.00001	 0.00000		211.767042	-1907.494545
112112	 0.00011	 0.00016	 0.00008	 0.00051	 0.01132	 0.00001	 0.00003	 0.00000		193.443731	-1946.637316
113113	 0.00010	 0.00027	 0.00011	 0.00040	 0.01086	 0.00001	 0.00003	 0.00000		192.231823	-2022.820578
114114	 0.00011	 0.00014	 0.00008	 0.00026	 0.01066	 0.00001	 0.00002	 0.00000		199.936932	-1959.864164
115115	 0.00007	 0.00021	 0.00004	 0.00017	 0.01152	 0.00001	 0.00001	 0.00000		201.884786	-1946.035647
116116	 0.00009	 0.00021	 0.00005	 0.00068	 0.01077	 0.00001	 0.00002	 0.00000		188.282744	-2028.192225
117117	 0.00004	 0.00006	 0.00003	 0.00015	 0.01354	 0.00000	 0.00001	 0.00000		214.196037	-1867.710223
118118	 0.00007	 0.00033	 0.00010	 0.00049	 0.01151	 0.00001	 0.00003	 0.00000		194.267289	-1964.442605
119119	 0.00011	 0.00028	 0.00007	 0.00032	 0.01193	 0.00001	 0.00003	 0.00000		197.597069	-2008.343152
120120	 0.00008	 0.00013	 0.00011	 0.00028	 0.01213	 0.00001	 0.00003	 0.00000		200.860892	-1896.350053
121121	 0.00003	 0.00006	 0.00004	 0.00012	 0.01077	 0.00000	 0.00001	 0.00000		217.210144	-1988.598826
122122	 0.00004	 0.00008	 0.00004	 0.00019	 0.01246	 0.00000	 0.00001	 0.00000		210.956870	-2005.377237
123123	 0.00015	 0.00017	 0.00008	 0.00033	 0.01067	 0.00001	 0.00002	 0.00000		190.959292	-1995.386628
124124	 0.00010	 0.00007	 0.00004	 0.00029	 0.01183	 0.00001	 0.00001	 0.00000		202.225213	-1942.715307
125125	 0.00005	 0.00011	 0.00003	 0.00034	 0.01179	 0.00000	 0.00001	 0.00000		197.382952	-1986.868025
126126	 0.00017	 0.00014	 0.00003	 0.00026	 0.01159	 0.00001	 0.00001	 0.00000		194.071349	-1948.073255
127127	 0.00006	 0.00008	 0.00005	 0.00014	 0.01010	 0.00001	 0.00001	 0.00000		206.073895	-1979.914139
128128	 0.00005	 0.00004	 0.00001	 0.00007	 0.01163	 0.00000	 0.00000	 0.00000		221.612677	-1941.824925
129129	 0.00007	 0.00011	 0.00004	 0.00018	 0.01086	 0.00000	 0.00001	 0.00000		194.350056	-2029.287236
130130	 0.00014	 0.00019	 0.00005	 0.00027	 0.01139	 0.00002	 0.00002	 0.00000		195.302524	-1972.776952
131131	 0.00012	 0.00014	 0.00005	 0.00017	 0.01091	 0.00001	 0.00002	 0.00000		201.761155	-1945.762373
132132	 0.00021	 0.00028	 0.00008	 0.00030	 0.01293	 0.00001	 0.00002	 0.00000		185.465803	-1961.079920
133133	 0.00007	 0.00018	 0.00006	 0.00034	 0.01073	 0.00001	 0.00002	 0.00000		193.929808	-2026.576193
134134	 0.00008	 0.00016	 0.00006	 0.00033	 0.01219	 0.00001	 0.00002	 0.00000		199.120826	-1932.100156
135135	 0.00002	 0.00005	 0.00005	 0.00027	 0.01253	 0.00000	 0.00001	 0.00000		205.906864	-1949.767370
136136	 0.00002	 0.00003	 0.00004	 0.00049	 0.01291	 0.00000	 0.00001	 0.00000		211.324313	-1970.591652
137137	 0.00013	 0.00013	 0.00009	 0.00038	 0.01055	 0.00001	 0.00003	 0.00000		199.683786	-2010.127074
138138	 0.00010	 0.00015	 0.00010	 0.00071	 0.01091	 0.00001	 0.00003	 0.00000		191.633480	-2018.793353
139139	 0.00005	 0.00012	 0.00004	 0.00024	 0.01120	 0.00000	 0.00001	 0.00000		201.857166	-2032.321889
140140	 0.00005	 0.00015	 0.00003	 0.00019	 0.01179	 0.00001	 0.00001	 0.00000		202.696048	-2029.870166
141141	 0.00003	 0.00007	 0.00005	 0.00045	 0.01134	 0.00000	 0.00002	 0.00000		194.972615	-1967.513958
142142	 0.00003	 0.00003	 0.00010	 0.00041	 0.01140	 0.00000	 0.00003	 0.00000		202.429058	-1963.221072
143143	 0.00004	 0.00005	 0.00006	 0.00031	 0.01233	 0.00000	 0.00001	 0.00000		201.676370	-1970.007206
144144	 0.00000	 0.00001	 0.00002	 0.00013	 0.01276	 0.00000	 0.00001	 0.00000		225.938297	-1993.475562
145145	 0.00000	 0.00001	 0.00002	 0.00008	 0.01159	 0.00000	 0.00001	 0.00000		235.986981	-1992.819310
