time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.27247e-05	61.657
1	4.27247e-05	0.000103518	61.657
2	0.000103518	0.00019002	60.2139
3	0.00019002	0.000313105	11.2021
4	0.000313105	0.000488242	15.0587
5	0.000488242	0.000737444	57.0475
6	0.000737444	0.00109203	105.432
7	0.00109203	0.00159658	75.4449
8	0.00159658	0.0023145	33.3611
9	0.0023145	0.00333603	15.709
10	0.00333603	0.00478957	10.0158
11	0.00478957	0.00685781	8.58168
12	0.00685781	0.00980071	9.01292
13	0.00980071	0.0139882	10.5625
14	0.0139882	0.0199465	12.8118
15	0.0199465	0.0284246	15.4205
16	0.0284246	0.0404882	18.0118
17	0.0404882	0.0576534	20.2783
18	0.0576534	0.0820778	21.8406
19	0.0820778	0.116831	22.591
20	0.116831	0.166282	22.8568
21	0.166282	0.236646	22.9069
22	0.236646	0.336766	22.6686
23	0.336766	0.479228	22.0714
24	0.479228	inf	22.0714
