time_index	left_time_boundary	right_time_boundary	lambda
0	0	3.84845e-05	76.2136
1	3.84845e-05	9.32441e-05	76.2136
2	9.32441e-05	0.000171162	142.336
3	0.000171162	0.000282031	11.0817
4	0.000282031	0.000439786	15.9459
5	0.000439786	0.000664257	65.8176
6	0.000664257	0.000983656	124.442
7	0.000983656	0.00143813	94.8475
8	0.00143813	0.0020848	44.1727
9	0.0020848	0.00300495	20.6608
10	0.00300495	0.00431423	13.0203
11	0.00431423	0.00617721	11.3784
12	0.00617721	0.00882804	12.3098
13	0.00882804	0.0125999	14.4851
14	0.0125999	0.0179669	17.0182
15	0.0179669	0.0256036	19.2147
16	0.0256036	0.0364699	20.7154
17	0.0364699	0.0519316	21.4983
18	0.0519316	0.073932	21.6897
19	0.073932	0.105236	21.4445
20	0.105236	0.149779	21.2339
21	0.149779	0.21316	21.3007
22	0.21316	0.303344	21.5987
23	0.303344	0.431667	22.2925
24	0.431667	inf	22.2925
