time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.23669e-05	43.9559
1	1.23669e-05	3.10072e-05	43.9559
2	3.10072e-05	5.91035e-05	2.27669
3	5.91035e-05	0.000101453	57.7442
4	0.000101453	0.000165284	55.2121
5	0.000165284	0.000261497	4.50159
6	0.000261497	0.000406517	6.12985
7	0.000406517	0.000625102	35.0728
8	0.000625102	0.000954572	89.8259
9	0.000954572	0.00145118	70.2056
10	0.00145118	0.0021997	30.7509
11	0.0021997	0.00332793	14.9078
12	0.00332793	0.00502849	10.5995
13	0.00502849	0.00759172	10.3543
14	0.00759172	0.0114552	11.8205
15	0.0114552	0.0172786	13.9861
16	0.0172786	0.0260561	16.2334
17	0.0260561	0.0392863	18.2027
18	0.0392863	0.0592278	19.5801
19	0.0592278	0.0892854	20.0458
20	0.0892854	0.134591	19.7353
21	0.134591	0.202878	19.2143
22	0.202878	0.305807	18.7702
23	0.305807	0.46095	18.321
24	0.46095	inf	18.321
