time_index	left_time_boundary	right_time_boundary	lambda
0	0	3.39462e-05	1784.64
1	3.39462e-05	8.22484e-05	1784.64
2	8.22484e-05	0.000150978	18.675
3	0.000150978	0.000248772	346.189
4	0.000248772	0.000387925	295.107
5	0.000387925	0.000585925	164.635
6	0.000585925	0.000867659	108.032
7	0.000867659	0.00126854	99.2646
8	0.00126854	0.00183895	110.196
9	0.00183895	0.00265059	98.0338
10	0.00265059	0.00380548	55.6772
11	0.00380548	0.00544877	24.6926
12	0.00544877	0.007787	12.2814
13	0.007787	0.0111141	8.15854
14	0.0111141	0.0158482	7.14838
15	0.0158482	0.0225843	7.58751
16	0.0225843	0.0321692	8.99638
17	0.0321692	0.0458076	11.208
18	0.0458076	0.0652136	14.1796
19	0.0652136	0.0928265	17.77
20	0.0928265	0.132117	21.1857
21	0.132117	0.188023	24.1911
22	0.188023	0.267572	27.4809
23	0.267572	0.380763	33.1381
24	0.380763	inf	33.1381
