time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.23867e-05	39.3226
1	4.23867e-05	0.000102699	39.3226
2	0.000102699	0.000188517	85.0167
3	0.000188517	0.000310627	5.23736
4	0.000310627	0.000484379	19.9059
5	0.000484379	0.000731609	70.7016
6	0.000731609	0.00108339	99.2217
7	0.00108339	0.00158395	66.3262
8	0.00158395	0.00229619	32.7997
9	0.00229619	0.00330964	17.881
10	0.00330964	0.00475168	12.5634
11	0.00475168	0.00680355	11.074
12	0.00680355	0.00972317	11.2642
13	0.00972317	0.0138775	12.323
14	0.0138775	0.0197887	13.8588
15	0.0197887	0.0281997	15.6678
16	0.0281997	0.0401678	17.5878
17	0.0401678	0.0571972	19.4001
18	0.0571972	0.0814284	20.6397
19	0.0814284	0.115907	21.106
20	0.115907	0.164966	21.0592
21	0.164966	0.234773	20.8319
22	0.234773	0.334102	20.5432
23	0.334102	0.475436	20.132
24	0.475436	inf	20.132
