time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.23823e-05	46.8647
1	1.23823e-05	3.10458e-05	46.8647
2	3.10458e-05	5.91771e-05	0.0430164
3	5.91771e-05	0.000101579	20.7199
4	0.000101579	0.00016549	91.5038
5	0.00016549	0.000261823	7.80721
6	0.000261823	0.000407023	5.09719
7	0.000407023	0.00062588	24.4695
8	0.00062588	0.00095576	83.8204
9	0.00095576	0.00145298	85.2167
10	0.00145298	0.00220243	39.8215
11	0.00220243	0.00333207	17.6027
12	0.00333207	0.00503475	10.7021
13	0.00503475	0.00760117	9.15653
14	0.00760117	0.0114695	9.85756
15	0.0114695	0.0173001	11.8163
16	0.0173001	0.0260885	14.4223
17	0.0260885	0.0393352	17.1607
18	0.0393352	0.0593016	19.5674
19	0.0593016	0.0893965	21.1772
20	0.0893965	0.134758	21.7857
21	0.134758	0.203131	21.9135
22	0.203131	0.306188	21.7678
23	0.306188	0.461524	21.1496
24	0.461524	inf	21.1496
