time_index	left_time_boundary	right_time_boundary	lambda
0	0	3.04307e-05	3053.23
1	3.04307e-05	7.37306e-05	3053.23
2	7.37306e-05	0.000135342	429.442
3	0.000135342	0.000223009	513.819
4	0.000223009	0.000347751	97.5263
5	0.000347751	0.000525245	66.8125
6	0.000525245	0.000777803	108.648
7	0.000777803	0.00113717	161.587
8	0.00113717	0.00164851	168.512
9	0.00164851	0.00237609	105.582
10	0.00237609	0.00341138	39.4348
11	0.00341138	0.00488448	12.9528
12	0.00488448	0.00698057	5.80566
13	0.00698057	0.00996309	4.18911
14	0.00996309	0.0142069	4.53449
15	0.0142069	0.0202455	6.20621
16	0.0202455	0.0288377	9.09269
17	0.0288377	0.0410637	12.951
18	0.0410637	0.05846	17.4074
19	0.05846	0.0832132	21.7437
20	0.0832132	0.118435	24.6102
21	0.118435	0.168551	26.2735
22	0.168551	0.239862	27.5551
23	0.239862	0.34133	29.2465
24	0.34133	inf	29.2465
