time_index	left_time_boundary	right_time_boundary	lambda
0	0	3.88571e-05	25.3522
1	3.88571e-05	9.4147e-05	25.3522
2	9.4147e-05	0.000172819	190.072
3	0.000172819	0.000284761	7.81132
4	0.000284761	0.000444044	13.0882
5	0.000444044	0.000670688	62.3398
6	0.000670688	0.00099318	136.61
7	0.00099318	0.00145205	112.045
8	0.00145205	0.00210499	52.585
9	0.00210499	0.00303405	23.7061
10	0.00303405	0.004356	13.6325
11	0.004356	0.00623702	10.5589
12	0.00623702	0.00891352	10.3034
13	0.00891352	0.0127219	11.4996
14	0.0127219	0.0181409	13.4953
15	0.0181409	0.0258515	15.9242
16	0.0258515	0.036823	18.4118
17	0.036823	0.0524344	20.7435
18	0.0524344	0.0746478	22.627
19	0.0746478	0.106255	23.7806
20	0.106255	0.15123	24.3269
21	0.15123	0.215224	24.703
22	0.215224	0.306281	24.9297
23	0.306281	0.435847	25.0628
24	0.435847	inf	25.0628
