Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_AM->ATL	Data-ld-ln	Full-ld-ln
0	 0.00010	 0.00025	 0.00003	 0.00005	 0.01624	 0.00001	 0.00001	 0.00000		200.061902	-2632.983659
1001	 0.00003	 0.00007	 0.00001	 0.00005	 0.01506	 0.00000	 0.00000	 0.00000		213.336921	-2619.984778
2002	 0.00002	 0.00005	 0.00001	 0.00003	 0.01624	 0.00000	 0.00000	 0.00000		215.478063	-2593.548393
3003	 0.00002	 0.00010	 0.00001	 0.00003	 0.01523	 0.00000	 0.00000	 0.00000		225.440711	-2688.270821
4004	 0.00003	 0.00008	 0.00002	 0.00004	 0.01655	 0.00000	 0.00001	 0.00000		224.455470	-2610.772272
5005	 0.00004	 0.00013	 0.00002	 0.00005	 0.01550	 0.00000	 0.00000	 0.00000		198.982031	-2655.692718
6006	 0.00011	 0.00015	 0.00004	 0.00009	 0.01684	 0.00001	 0.00001	 0.00000		192.712704	-2576.607164
7007	 0.00021	 0.00031	 0.00010	 0.00018	 0.01552	 0.00002	 0.00003	 0.00000		191.684005	-2575.309666
8008	 0.00018	 0.00029	 0.00006	 0.00009	 0.01690	 0.00001	 0.00002	 0.00000		187.624366	-2686.659724
9009	 0.00024	 0.00042	 0.00013	 0.00023	 0.01726	 0.00002	 0.00003	 0.00000		182.793404	-2524.559430
10010	 0.00006	 0.00014	 0.00004	 0.00016	 0.01648	 0.00000	 0.00001	 0.00000		196.578889	-2621.669422
11011	 0.00004	 0.00004	 0.00003	 0.00027	 0.01726	 0.00000	 0.00001	 0.00000		203.750769	-2574.507317
12012	 0.00005	 0.00010	 0.00002	 0.00003	 0.01361	 0.00000	 0.00001	 0.00000		211.634461	-2675.365750
13013	 0.00007	 0.00011	 0.00003	 0.00006	 0.01570	 0.00001	 0.00001	 0.00000		211.596926	-2535.426700
14014	 0.00009	 0.00009	 0.00005	 0.00013	 0.01653	 0.00000	 0.00001	 0.00000		206.281911	-2549.101684
15015	 0.00012	 0.00029	 0.00004	 0.00009	 0.01607	 0.00001	 0.00001	 0.00000		194.707569	-2551.252184
