Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_ATL->AM	Data-ld-ln	Full-ld-ln
0	 0.00000	 0.00001	 0.00000	 0.00003	 0.02315	 0.00000	 0.00000	 0.00000		239.427970	-3763.660108
1001	 0.00001	 0.00002	 0.00000	 0.00002	 0.02584	 0.00000	 0.00000	 0.00000		219.769383	-3783.990127
2002	 0.00000	 0.00001	 0.00000	 0.00002	 0.02475	 0.00000	 0.00000	 0.00000		229.264613	-3731.261524
3003	 0.00001	 0.00001	 0.00000	 0.00005	 0.02509	 0.00000	 0.00000	 0.00000		217.307117	-3761.057677
4004	 0.00001	 0.00002	 0.00000	 0.00002	 0.02524	 0.00000	 0.00000	 0.00000		223.772568	-3624.465117
5005	 0.00000	 0.00001	 0.00000	 0.00004	 0.02394	 0.00000	 0.00000	 0.00000		229.896584	-3670.663832
6006	 0.00001	 0.00001	 0.00000	 0.00001	 0.02411	 0.00000	 0.00000	 0.00000		251.899641	-3693.489265
7007	 0.00001	 0.00001	 0.00000	 0.00001	 0.02533	 0.00000	 0.00000	 0.00000		249.977606	-3586.098905
8008	 0.00001	 0.00002	 0.00000	 0.00001	 0.02548	 0.00000	 0.00000	 0.00000		236.902615	-3608.936319
9009	 0.00000	 0.00002	 0.00000	 0.00001	 0.02329	 0.00000	 0.00000	 0.00000		258.276095	-3673.861953
10010	 0.00001	 0.00001	 0.00000	 0.00001	 0.02447	 0.00000	 0.00000	 0.00000		238.089483	-3780.518389
11011	 0.00002	 0.00002	 0.00000	 0.00002	 0.02404	 0.00000	 0.00000	 0.00000		228.159047	-3721.290250
12012	 0.00002	 0.00002	 0.00001	 0.00006	 0.02350	 0.00000	 0.00000	 0.00000		224.445732	-3665.153488
13013	 0.00002	 0.00002	 0.00002	 0.00011	 0.02418	 0.00000	 0.00001	 0.00000		223.854547	-3591.980718
14014	 0.00003	 0.00003	 0.00003	 0.00020	 0.02307	 0.00000	 0.00001	 0.00000		209.741905	-3757.239856
15015	 0.00008	 0.00007	 0.00009	 0.00060	 0.02402	 0.00000	 0.00003	 0.00000		190.343218	-3593.563051
16016	 0.00006	 0.00012	 0.00008	 0.00042	 0.02373	 0.00000	 0.00003	 0.00000		192.183379	-3583.018352
17017	 0.00006	 0.00010	 0.00007	 0.00045	 0.02360	 0.00000	 0.00002	 0.00000		192.999754	-3723.135351
18018	 0.00012	 0.00015	 0.00013	 0.00068	 0.02165	 0.00001	 0.00005	 0.00000		186.488814	-3731.195362
19019	 0.00011	 0.00008	 0.00010	 0.00062	 0.02252	 0.00001	 0.00004	 0.00000		192.224524	-3701.461296
20020	 0.00017	 0.00017	 0.00015	 0.00076	 0.02294	 0.00001	 0.00005	 0.00000		180.704624	-3724.588635
21021	 0.00008	 0.00010	 0.00014	 0.00072	 0.02363	 0.00001	 0.00004	 0.00000		188.237005	-3758.907882
22022	 0.00004	 0.00007	 0.00005	 0.00053	 0.02241	 0.00000	 0.00002	 0.00000		196.472984	-3761.653532
23023	 0.00003	 0.00006	 0.00004	 0.00028	 0.02294	 0.00000	 0.00001	 0.00000		203.762843	-3821.335382
24024	 0.00003	 0.00005	 0.00003	 0.00018	 0.02486	 0.00000	 0.00001	 0.00000		210.583128	-3553.234794
25025	 0.00004	 0.00007	 0.00003	 0.00015	 0.02347	 0.00000	 0.00001	 0.00000		206.485736	-3681.927210
26026	 0.00002	 0.00002	 0.00001	 0.00006	 0.02514	 0.00000	 0.00000	 0.00000		226.054297	-3564.057093
27027	 0.00002	 0.00002	 0.00001	 0.00004	 0.02519	 0.00000	 0.00000	 0.00000		227.050301	-3694.437517
28028	 0.00003	 0.00004	 0.00002	 0.00010	 0.02462	 0.00000	 0.00001	 0.00000		215.903497	-3626.558812
29029	 0.00007	 0.00012	 0.00004	 0.00031	 0.02274	 0.00000	 0.00001	 0.00000		187.451279	-3625.501282
30030	 0.00007	 0.00009	 0.00003	 0.00040	 0.02165	 0.00000	 0.00001	 0.00000		191.166279	-3743.074594
31031	 0.00008	 0.00008	 0.00004	 0.00026	 0.02217	 0.00001	 0.00001	 0.00000		198.807870	-3604.572812
32032	 0.00013	 0.00013	 0.00005	 0.00042	 0.02112	 0.00001	 0.00002	 0.00000		190.417228	-3745.729515
33033	 0.00012	 0.00012	 0.00006	 0.00027	 0.02373	 0.00001	 0.00002	 0.00000		196.306732	-3622.695539
