Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_ATL->AM	Data-ld-ln	Full-ld-ln
0	 0.00003	 0.00004	 0.00001	 0.00020	 0.01885	 0.00000	 0.00000	 0.00000		214.045269	-2908.047941
1001	 0.00001	 0.00002	 0.00000	 0.00006	 0.01865	 0.00000	 0.00000	 0.00000		234.270440	-2776.007412
2002	 0.00006	 0.00008	 0.00002	 0.00004	 0.01817	 0.00001	 0.00001	 0.00000		209.829962	-2792.584514
3003	 0.00015	 0.00037	 0.00004	 0.00006	 0.01723	 0.00002	 0.00002	 0.00000		185.636462	-2967.014849
4004	 0.00007	 0.00011	 0.00002	 0.00004	 0.01955	 0.00001	 0.00001	 0.00000		206.496457	-2783.258620
5005	 0.00007	 0.00019	 0.00002	 0.00012	 0.01645	 0.00001	 0.00001	 0.00000		195.055398	-2801.532921
6006	 0.00003	 0.00006	 0.00001	 0.00011	 0.01688	 0.00000	 0.00000	 0.00000		216.797936	-2798.296078
7007	 0.00004	 0.00008	 0.00001	 0.00006	 0.01698	 0.00001	 0.00001	 0.00000		212.230009	-2852.124446
8008	 0.00004	 0.00007	 0.00001	 0.00013	 0.01954	 0.00000	 0.00000	 0.00000		208.219576	-2846.156316
9009	 0.00008	 0.00009	 0.00002	 0.00010	 0.01870	 0.00001	 0.00001	 0.00000		201.308127	-2731.073608
10010	 0.00007	 0.00010	 0.00002	 0.00002	 0.01774	 0.00001	 0.00001	 0.00000		205.827966	-2834.200790
11011	 0.00005	 0.00009	 0.00001	 0.00004	 0.01790	 0.00001	 0.00001	 0.00000		205.792545	-2900.731718
12012	 0.00005	 0.00007	 0.00001	 0.00007	 0.01657	 0.00001	 0.00001	 0.00000		209.490964	-2890.230431
13013	 0.00005	 0.00009	 0.00002	 0.00015	 0.02023	 0.00001	 0.00001	 0.00000		205.306433	-2767.499848
14014	 0.00006	 0.00009	 0.00002	 0.00004	 0.01696	 0.00001	 0.00001	 0.00000		206.736789	-2836.751803
15015	 0.00003	 0.00004	 0.00001	 0.00010	 0.01877	 0.00000	 0.00000	 0.00000		219.214882	-2893.301269
16016	 0.00002	 0.00004	 0.00001	 0.00007	 0.01822	 0.00000	 0.00000	 0.00000		221.311196	-2896.377462
17017	 0.00002	 0.00003	 0.00001	 0.00007	 0.01881	 0.00000	 0.00000	 0.00000		225.072931	-2773.323920
18018	 0.00002	 0.00003	 0.00000	 0.00014	 0.01914	 0.00000	 0.00000	 0.00000		217.845179	-2898.537306
19019	 0.00002	 0.00003	 0.00001	 0.00010	 0.01771	 0.00000	 0.00000	 0.00000		226.462527	-2869.875671
20020	 0.00002	 0.00003	 0.00001	 0.00006	 0.01908	 0.00000	 0.00000	 0.00000		220.288503	-2825.024337
21021	 0.00003	 0.00004	 0.00001	 0.00008	 0.01739	 0.00000	 0.00000	 0.00000		214.799153	-2803.434397
22022	 0.00002	 0.00002	 0.00001	 0.00002	 0.01751	 0.00000	 0.00000	 0.00000		234.894358	-2856.426007
23023	 0.00002	 0.00005	 0.00001	 0.00003	 0.02054	 0.00000	 0.00000	 0.00000		228.275960	-2775.450022
24024	 0.00004	 0.00007	 0.00002	 0.00003	 0.01885	 0.00000	 0.00001	 0.00000		217.459259	-2768.139495
25025	 0.00006	 0.00010	 0.00001	 0.00005	 0.01769	 0.00001	 0.00001	 0.00000		202.848923	-2820.438544
26026	 0.00012	 0.00020	 0.00003	 0.00010	 0.01677	 0.00001	 0.00001	 0.00000		197.950601	-2916.039538
27027	 0.00015	 0.00019	 0.00004	 0.00010	 0.01828	 0.00002	 0.00002	 0.00000		196.633147	-2875.396165
28028	 0.00010	 0.00019	 0.00003	 0.00004	 0.01642	 0.00001	 0.00001	 0.00000		194.624227	-2843.382114
29029	 0.00013	 0.00022	 0.00003	 0.00016	 0.01757	 0.00001	 0.00002	 0.00000		191.883956	-2827.540460
