Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_ATL->AM	Data-ld-ln	Full-ld-ln
0	 0.00005	 0.00012	 0.00002	 0.00007	 0.02439	 0.00000	 0.00001	 0.00000		195.337342	-3806.455811
1001	 0.00001	 0.00002	 0.00001	 0.00004	 0.02529	 0.00000	 0.00000	 0.00000		222.682154	-3775.380942
2002	 0.00001	 0.00002	 0.00001	 0.00002	 0.02544	 0.00000	 0.00000	 0.00000		230.979734	-3753.281428
3003	 0.00001	 0.00002	 0.00001	 0.00004	 0.02331	 0.00000	 0.00000	 0.00000		221.581140	-3806.573777
4004	 0.00001	 0.00004	 0.00001	 0.00003	 0.02614	 0.00000	 0.00000	 0.00000		220.562420	-3791.047884
5005	 0.00004	 0.00009	 0.00003	 0.00005	 0.02448	 0.00000	 0.00001	 0.00000		206.750522	-3799.382203
6006	 0.00003	 0.00006	 0.00003	 0.00010	 0.02508	 0.00000	 0.00001	 0.00000		203.388257	-3769.806531
7007	 0.00003	 0.00006	 0.00003	 0.00011	 0.02487	 0.00000	 0.00001	 0.00000		208.629686	-3723.589075
8008	 0.00004	 0.00006	 0.00004	 0.00024	 0.02530	 0.00000	 0.00001	 0.00000		193.644076	-3860.559082
9009	 0.00002	 0.00004	 0.00002	 0.00011	 0.02514	 0.00000	 0.00001	 0.00000		208.076787	-3862.907980
10010	 0.00001	 0.00003	 0.00001	 0.00006	 0.02371	 0.00000	 0.00000	 0.00000		218.697244	-3825.947748
11011	 0.00001	 0.00002	 0.00001	 0.00003	 0.02495	 0.00000	 0.00000	 0.00000		221.635698	-3854.491059
12012	 0.00001	 0.00001	 0.00001	 0.00001	 0.02195	 0.00000	 0.00000	 0.00000		240.402138	-3857.272563
13013	 0.00001	 0.00002	 0.00001	 0.00001	 0.02485	 0.00000	 0.00000	 0.00000		236.500426	-3773.747461
14014	 0.00002	 0.00002	 0.00001	 0.00005	 0.02237	 0.00000	 0.00000	 0.00000		219.964508	-3778.124798
15015	 0.00002	 0.00005	 0.00002	 0.00008	 0.02457	 0.00000	 0.00000	 0.00000		213.490349	-3840.909726
16016	 0.00003	 0.00008	 0.00002	 0.00003	 0.02488	 0.00000	 0.00000	 0.00000		209.061777	-3806.950177
17017	 0.00002	 0.00005	 0.00002	 0.00007	 0.02326	 0.00000	 0.00000	 0.00000		204.399168	-3858.069818
18018	 0.00001	 0.00002	 0.00001	 0.00006	 0.02653	 0.00000	 0.00000	 0.00000		220.714042	-3864.513135
19019	 0.00003	 0.00006	 0.00003	 0.00014	 0.02442	 0.00000	 0.00001	 0.00000		203.117058	-3927.037554
20020	 0.00002	 0.00006	 0.00002	 0.00005	 0.02582	 0.00000	 0.00000	 0.00000		215.979659	-3811.887401
21021	 0.00002	 0.00002	 0.00002	 0.00007	 0.02553	 0.00000	 0.00000	 0.00000		217.358874	-3794.170099
22022	 0.00001	 0.00002	 0.00002	 0.00008	 0.02530	 0.00000	 0.00000	 0.00000		216.159930	-3828.823593
23023	 0.00001	 0.00004	 0.00004	 0.00011	 0.02473	 0.00000	 0.00001	 0.00000		212.017076	-3743.562019
24024	 0.00002	 0.00005	 0.00003	 0.00015	 0.02533	 0.00000	 0.00001	 0.00000		209.552420	-3789.567946
25025	 0.00006	 0.00011	 0.00005	 0.00008	 0.02574	 0.00001	 0.00001	 0.00000		202.442940	-3718.013763
26026	 0.00008	 0.00014	 0.00004	 0.00006	 0.02328	 0.00001	 0.00001	 0.00000		197.823117	-3745.667376
27027	 0.00010	 0.00017	 0.00006	 0.00005	 0.02470	 0.00001	 0.00001	 0.00000		194.905775	-3860.639261
28028	 0.00014	 0.00027	 0.00008	 0.00004	 0.02421	 0.00002	 0.00002	 0.00000		190.143276	-3732.366391
29029	 0.00011	 0.00023	 0.00008	 0.00002	 0.02468	 0.00002	 0.00002	 0.00000		191.760941	-3880.421649
30030	 0.00009	 0.00021	 0.00006	 0.00003	 0.02653	 0.00001	 0.00001	 0.00000		192.896438	-3799.970813
31031	 0.00011	 0.00021	 0.00009	 0.00003	 0.02492	 0.00001	 0.00002	 0.00000		193.632638	-3873.631981
32032	 0.00013	 0.00019	 0.00005	 0.00001	 0.02404	 0.00001	 0.00001	 0.00000		199.125299	-3781.404495
33033	 0.00012	 0.00031	 0.00006	 0.00000	 0.02251	 0.00001	 0.00001	 0.00000		204.450046	-3803.477385
34034	 0.00011	 0.00024	 0.00005	 0.00000	 0.02243	 0.00001	 0.00001	 0.00000		211.132936	-3896.356707
35035	 0.00006	 0.00014	 0.00003	 0.00000	 0.02537	 0.00001	 0.00001	 0.00000		211.187250	-3770.929331
36036	 0.00004	 0.00005	 0.00001	 0.00000	 0.02430	 0.00000	 0.00000	 0.00000		225.536089	-3954.287455
37037	 0.00004	 0.00006	 0.00002	 0.00000	 0.02537	 0.00000	 0.00000	 0.00000		214.984482	-3776.192826
38038	 0.00003	 0.00008	 0.00001	 0.00000	 0.02513	 0.00000	 0.00000	 0.00000		216.623661	-3786.010034
39039	 0.00003	 0.00006	 0.00001	 0.00000	 0.02492	 0.00000	 0.00000	 0.00000		221.964317	-3737.468158
40040	 0.00004	 0.00009	 0.00002	 0.00005	 0.02599	 0.00000	 0.00000	 0.00000		189.048268	-3822.761761
41041	 0.00005	 0.00012	 0.00003	 0.00005	 0.02449	 0.00001	 0.00001	 0.00000		196.197151	-3726.872711
42042	 0.00008	 0.00017	 0.00004	 0.00007	 0.02538	 0.00001	 0.00001	 0.00000		192.146968	-3744.862478
43043	 0.00008	 0.00017	 0.00008	 0.00014	 0.02388	 0.00001	 0.00002	 0.00000		195.756106	-3772.199790
44044	 0.00012	 0.00029	 0.00011	 0.00024	 0.02311	 0.00002	 0.00003	 0.00000		184.778553	-3837.193825
45045	 0.00006	 0.00014	 0.00005	 0.00013	 0.02481	 0.00001	 0.00001	 0.00000		195.992141	-3841.812594
46046	 0.00008	 0.00018	 0.00005	 0.00010	 0.02491	 0.00001	 0.00001	 0.00000		189.342045	-3875.424075
47047	 0.00005	 0.00008	 0.00005	 0.00018	 0.02484	 0.00001	 0.00001	 0.00000		198.363294	-3785.317083
48048	 0.00004	 0.00010	 0.00004	 0.00006	 0.02372	 0.00001	 0.00001	 0.00000		204.865832	-3773.755888
49049	 0.00009	 0.00013	 0.00006	 0.00025	 0.02820	 0.00001	 0.00001	 0.00000		190.592273	-3780.135461
50050	 0.00005	 0.00011	 0.00006	 0.00019	 0.02456	 0.00001	 0.00001	 0.00000		198.933090	-3818.436872
51051	 0.00008	 0.00018	 0.00011	 0.00037	 0.02394	 0.00001	 0.00003	 0.00000		187.843428	-3812.463647
52052	 0.00009	 0.00015	 0.00006	 0.00014	 0.02498	 0.00001	 0.00002	 0.00000		195.969056	-3833.507646
53053	 0.00005	 0.00013	 0.00003	 0.00011	 0.02479	 0.00000	 0.00001	 0.00000		201.352550	-3768.155394
54054	 0.00005	 0.00013	 0.00004	 0.00015	 0.02536	 0.00001	 0.00001	 0.00000		197.568577	-3771.581143
55055	 0.00005	 0.00012	 0.00003	 0.00006	 0.02423	 0.00001	 0.00001	 0.00000		208.840457	-3795.136770
56056	 0.00006	 0.00012	 0.00007	 0.00010	 0.02373	 0.00001	 0.00001	 0.00000		202.401840	-3780.670437
57057	 0.00008	 0.00012	 0.00006	 0.00011	 0.02572	 0.00001	 0.00001	 0.00000		197.246222	-3755.310458
58058	 0.00008	 0.00017	 0.00006	 0.00012	 0.02412	 0.00001	 0.00002	 0.00000		195.057083	-3806.875577
59059	 0.00013	 0.00022	 0.00008	 0.00013	 0.02325	 0.00001	 0.00002	 0.00000		187.334757	-3828.469629
60060	 0.00014	 0.00026	 0.00012	 0.00024	 0.02383	 0.00002	 0.00003	 0.00000		184.571390	-3771.040968
61061	 0.00020	 0.00045	 0.00014	 0.00015	 0.02269	 0.00003	 0.00003	 0.00000		180.213232	-3974.803503
62062	 0.00022	 0.00026	 0.00013	 0.00015	 0.02408	 0.00002	 0.00003	 0.00000		182.234270	-3820.806669
63063	 0.00030	 0.00042	 0.00019	 0.00023	 0.02314	 0.00003	 0.00004	 0.00000		175.289228	-3826.815951
64064	 0.00020	 0.00043	 0.00014	 0.00016	 0.02428	 0.00002	 0.00003	 0.00000		180.965369	-3752.677850
65065	 0.00024	 0.00047	 0.00021	 0.00020	 0.02491	 0.00003	 0.00004	 0.00000		181.141627	-3655.950028
66066	 0.00014	 0.00031	 0.00009	 0.00016	 0.02539	 0.00002	 0.00002	 0.00000		183.027833	-3720.155514
67067	 0.00008	 0.00016	 0.00005	 0.00003	 0.02514	 0.00001	 0.00001	 0.00000		202.947711	-3737.619118
68068	 0.00007	 0.00012	 0.00004	 0.00002	 0.02411	 0.00001	 0.00001	 0.00000		208.709715	-3803.329990
69069	 0.00005	 0.00010	 0.00003	 0.00001	 0.02454	 0.00001	 0.00001	 0.00000		218.376512	-3734.098510
70070	 0.00003	 0.00012	 0.00002	 0.00001	 0.02520	 0.00000	 0.00001	 0.00000		222.817674	-3742.871774
71071	 0.00005	 0.00006	 0.00002	 0.00002	 0.02389	 0.00000	 0.00001	 0.00000		214.623409	-3832.458875
72072	 0.00002	 0.00004	 0.00001	 0.00002	 0.02546	 0.00000	 0.00000	 0.00000		229.049851	-3684.317814
73073	 0.00011	 0.00021	 0.00006	 0.00011	 0.02403	 0.00001	 0.00001	 0.00000		190.143746	-3911.596818
74074	 0.00013	 0.00030	 0.00007	 0.00011	 0.02478	 0.00001	 0.00002	 0.00000		185.687063	-3835.272748
75075	 0.00008	 0.00020	 0.00007	 0.00013	 0.02442	 0.00001	 0.00001	 0.00000		191.986698	-3758.487146
76076	 0.00015	 0.00031	 0.00009	 0.00019	 0.02292	 0.00001	 0.00002	 0.00000		181.940166	-3831.372989
77077	 0.00013	 0.00029	 0.00008	 0.00008	 0.02348	 0.00001	 0.00002	 0.00000		196.009758	-3649.208999
78078	 0.00017	 0.00040	 0.00013	 0.00007	 0.02368	 0.00002	 0.00003	 0.00000		188.139984	-3701.261624
79079	 0.00014	 0.00022	 0.00010	 0.00011	 0.02280	 0.00002	 0.00002	 0.00000		189.720611	-3839.545549
80080	 0.00010	 0.00018	 0.00007	 0.00004	 0.02393	 0.00001	 0.00001	 0.00000		197.432052	-3762.038731
81081	 0.00008	 0.00011	 0.00004	 0.00006	 0.02487	 0.00001	 0.00001	 0.00000		191.860629	-3816.641893
82082	 0.00016	 0.00024	 0.00012	 0.00005	 0.02258	 0.00002	 0.00002	 0.00000		194.455216	-3759.234624
83083	 0.00018	 0.00034	 0.00010	 0.00001	 0.02214	 0.00002	 0.00002	 0.00000		191.373420	-3790.575871
84084	 0.00025	 0.00042	 0.00012	 0.00006	 0.02635	 0.00003	 0.00003	 0.00000		179.012174	-3764.905694
85085	 0.00017	 0.00030	 0.00009	 0.00005	 0.02385	 0.00002	 0.00002	 0.00000		185.464669	-3811.239633
86086	 0.00021	 0.00030	 0.00012	 0.00001	 0.02569	 0.00002	 0.00002	 0.00000		201.875340	-3614.983244
87087	 0.00012	 0.00024	 0.00007	 0.00001	 0.02438	 0.00001	 0.00001	 0.00000		202.900128	-3860.275426
88088	 0.00010	 0.00019	 0.00005	 0.00001	 0.02312	 0.00001	 0.00001	 0.00000		205.496082	-3763.704577
89089	 0.00018	 0.00020	 0.00006	 0.00002	 0.02686	 0.00002	 0.00002	 0.00000		197.818834	-3576.634856
90090	 0.00012	 0.00024	 0.00008	 0.00003	 0.02468	 0.00002	 0.00002	 0.00000		195.261659	-3706.856224
91091	 0.00017	 0.00034	 0.00010	 0.00006	 0.02428	 0.00002	 0.00002	 0.00000		190.466694	-3704.342463
92092	 0.00013	 0.00018	 0.00008	 0.00011	 0.02309	 0.00001	 0.00002	 0.00000		197.181037	-3759.151401
93093	 0.00033	 0.00036	 0.00017	 0.00021	 0.02271	 0.00003	 0.00004	 0.00000		181.958193	-3750.059909
94094	 0.00035	 0.00039	 0.00021	 0.00027	 0.02480	 0.00003	 0.00005	 0.00000		177.220572	-3728.494108
95095	 0.00013	 0.00026	 0.00013	 0.00040	 0.02218	 0.00001	 0.00003	 0.00000		182.125926	-3829.285312
96096	 0.00008	 0.00019	 0.00012	 0.00047	 0.02468	 0.00001	 0.00002	 0.00000		181.271096	-3819.168394
97097	 0.00009	 0.00020	 0.00007	 0.00011	 0.02354	 0.00001	 0.00002	 0.00000		198.003934	-3686.488865
98098	 0.00013	 0.00020	 0.00007	 0.00004	 0.02455	 0.00002	 0.00002	 0.00000		195.743745	-3831.904666
99099	 0.00031	 0.00062	 0.00020	 0.00007	 0.02314	 0.00004	 0.00004	 0.00000		180.653986	-3772.330530
100100	 0.00019	 0.00033	 0.00013	 0.00006	 0.02413	 0.00002	 0.00002	 0.00000		194.711760	-3770.238851
101101	 0.00015	 0.00020	 0.00010	 0.00011	 0.02423	 0.00002	 0.00002	 0.00000		191.716196	-3936.383820
102102	 0.00017	 0.00040	 0.00015	 0.00022	 0.02478	 0.00003	 0.00004	 0.00000		184.861140	-3713.540024
