Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_ATL->AM	Data-ld-ln	Full-ld-ln
49049	 0.00004	 0.00009	 0.00002	 0.00007	 0.01806	 0.00001	 0.00001	 0.00000		206.818059	-2598.551677
50050	 0.00003	 0.00009	 0.00001	 0.00005	 0.01611	 0.00000	 0.00000	 0.00000		207.951625	-2597.192354
51051	 0.00003	 0.00008	 0.00001	 0.00017	 0.01761	 0.00000	 0.00000	 0.00000		199.900679	-2632.988004
52052	 0.00004	 0.00014	 0.00002	 0.00008	 0.01585	 0.00000	 0.00001	 0.00000		207.606284	-2603.224431
53053	 0.00004	 0.00007	 0.00002	 0.00011	 0.01602	 0.00000	 0.00001	 0.00000		207.158871	-2534.373123
54054	 0.00004	 0.00007	 0.00002	 0.00007	 0.01464	 0.00000	 0.00001	 0.00000		208.500781	-2612.419593
55055	 0.00002	 0.00006	 0.00001	 0.00009	 0.01434	 0.00000	 0.00000	 0.00000		215.207061	-2579.165224
56056	 0.00002	 0.00003	 0.00001	 0.00004	 0.01685	 0.00000	 0.00000	 0.00000		225.424368	-2621.092075
57057	 0.00002	 0.00009	 0.00001	 0.00003	 0.01575	 0.00000	 0.00000	 0.00000		229.112543	-2555.116827
58058	 0.00006	 0.00013	 0.00002	 0.00006	 0.01712	 0.00001	 0.00001	 0.00000		199.509050	-2574.545576
59059	 0.00012	 0.00020	 0.00002	 0.00008	 0.01502	 0.00001	 0.00001	 0.00000		195.913143	-2559.283152
60060	 0.00008	 0.00046	 0.00003	 0.00014	 0.01600	 0.00001	 0.00001	 0.00000		195.042638	-2591.344807
61061	 0.00013	 0.00019	 0.00004	 0.00009	 0.01616	 0.00001	 0.00001	 0.00000		197.211222	-2622.496537
62062	 0.00008	 0.00023	 0.00004	 0.00026	 0.01532	 0.00001	 0.00001	 0.00000		192.865214	-2602.442079
63063	 0.00008	 0.00016	 0.00003	 0.00006	 0.01556	 0.00001	 0.00001	 0.00000		201.750315	-2598.004030
64064	 0.00010	 0.00024	 0.00004	 0.00010	 0.01539	 0.00001	 0.00001	 0.00000		197.362246	-2531.942417
65065	 0.00015	 0.00025	 0.00005	 0.00014	 0.01647	 0.00001	 0.00002	 0.00000		191.258832	-2588.533699
66066	 0.00006	 0.00015	 0.00004	 0.00022	 0.01635	 0.00000	 0.00001	 0.00000		195.500786	-2542.106990
67067	 0.00003	 0.00005	 0.00002	 0.00018	 0.01763	 0.00000	 0.00001	 0.00000		209.295758	-2578.928333
68068	 0.00003	 0.00010	 0.00001	 0.00005	 0.01621	 0.00000	 0.00000	 0.00000		210.105849	-2612.411454
69069	 0.00003	 0.00009	 0.00001	 0.00010	 0.01676	 0.00000	 0.00000	 0.00000		203.526897	-2588.967743
70070	 0.00002	 0.00003	 0.00001	 0.00003	 0.01483	 0.00000	 0.00000	 0.00000		218.807030	-2607.751549
71071	 0.00005	 0.00020	 0.00002	 0.00024	 0.01734	 0.00000	 0.00001	 0.00000		190.566800	-2543.566447
72072	 0.00006	 0.00030	 0.00003	 0.00028	 0.01507	 0.00001	 0.00001	 0.00000		191.788431	-2596.564926
73073	 0.00006	 0.00011	 0.00002	 0.00010	 0.01767	 0.00000	 0.00001	 0.00000		210.001658	-2479.354775
74074	 0.00005	 0.00028	 0.00004	 0.00031	 0.01729	 0.00000	 0.00001	 0.00000		190.808904	-2493.705723
75075	 0.00002	 0.00010	 0.00002	 0.00013	 0.01709	 0.00000	 0.00001	 0.00000		208.283532	-2567.185312
76076	 0.00002	 0.00013	 0.00002	 0.00014	 0.01636	 0.00000	 0.00001	 0.00000		204.712207	-2615.853714
77077	 0.00011	 0.00038	 0.00004	 0.00031	 0.01573	 0.00001	 0.00001	 0.00000		185.679850	-2631.566447
78078	 0.00005	 0.00020	 0.00005	 0.00030	 0.01563	 0.00001	 0.00001	 0.00000		195.647392	-2552.374472
79079	 0.00003	 0.00010	 0.00003	 0.00024	 0.01694	 0.00000	 0.00001	 0.00000		201.648336	-2470.013753
80080	 0.00006	 0.00011	 0.00002	 0.00012	 0.01634	 0.00001	 0.00001	 0.00000		204.432618	-2578.498063
81081	 0.00005	 0.00014	 0.00002	 0.00010	 0.01522	 0.00000	 0.00001	 0.00000		194.377651	-2595.279943
82082	 0.00007	 0.00011	 0.00002	 0.00013	 0.01868	 0.00001	 0.00001	 0.00000		194.104999	-2585.569188
83083	 0.00012	 0.00022	 0.00004	 0.00004	 0.01667	 0.00001	 0.00001	 0.00000		199.755730	-2505.841895
84084	 0.00010	 0.00017	 0.00004	 0.00009	 0.01579	 0.00001	 0.00001	 0.00000		199.777877	-2526.434828
85085	 0.00008	 0.00020	 0.00003	 0.00007	 0.01487	 0.00001	 0.00001	 0.00000		198.272210	-2497.087925
86086	 0.00005	 0.00024	 0.00002	 0.00006	 0.01629	 0.00000	 0.00001	 0.00000		199.948328	-2511.718322
87087	 0.00006	 0.00024	 0.00002	 0.00012	 0.01643	 0.00001	 0.00001	 0.00000		195.170277	-2543.999885
88088	 0.00002	 0.00009	 0.00001	 0.00007	 0.01539	 0.00000	 0.00000	 0.00000		208.173192	-2588.976128
89089	 0.00005	 0.00015	 0.00002	 0.00015	 0.01586	 0.00000	 0.00001	 0.00000		195.093154	-2614.016210
90090	 0.00006	 0.00019	 0.00003	 0.00006	 0.01663	 0.00001	 0.00001	 0.00000		199.114304	-2564.549655
