Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_ATL->AM	Data-ld-ln	Full-ld-ln
0	 0.00007	 0.00013	 0.01411	 0.01823	 0.00000	 0.00000	 0.01433	 0.00000		151.702674	-7244.395954
1001	 0.00006	 0.00023	 0.01416	 0.01854	 0.00000	 0.00000	 0.01615	 0.00000		147.575177	-7239.515504
2002	 0.00002	 0.00012	 0.01319	 0.01607	 0.00000	 0.00000	 0.01389	 0.00000		159.494566	-7374.063557
3003	 0.00010	 0.00024	 0.01410	 0.01439	 0.00000	 0.00001	 0.01413	 0.00000		152.690288	-7294.656757
4004	 0.00011	 0.00051	 0.01357	 0.01729	 0.00000	 0.00001	 0.01466	 0.00000		151.481418	-7232.551990
5005	 0.00018	 0.00025	 0.01277	 0.01592	 0.00000	 0.00001	 0.01501	 0.00000		149.916875	-7185.513042
6006	 0.00010	 0.00031	 0.01176	 0.01759	 0.00000	 0.00001	 0.01269	 0.00000		155.540725	-7344.681041
7007	 0.00008	 0.00022	 0.01242	 0.01825	 0.00000	 0.00001	 0.01217	 0.00000		157.618910	-7407.540312
8008	 0.00014	 0.00008	 0.01349	 0.01708	 0.00000	 0.00000	 0.01277	 0.00000		150.791761	-7297.524992
9009	 0.00006	 0.00015	 0.01323	 0.01644	 0.00000	 0.00000	 0.01319	 0.00000		151.451255	-7360.452193
10010	 0.00006	 0.00035	 0.01238	 0.01609	 0.00000	 0.00000	 0.01516	 0.00000		145.218664	-7396.420383
11011	 0.00008	 0.00031	 0.01274	 0.01753	 0.00000	 0.00000	 0.01404	 0.00000		141.615152	-7259.169802
12012	 0.00010	 0.00035	 0.01200	 0.01672	 0.00000	 0.00001	 0.01292	 0.00000		145.811667	-7402.739243
13013	 0.00020	 0.00033	 0.01391	 0.01707	 0.00000	 0.00001	 0.01208	 0.00000		142.855103	-7361.737886
14014	 0.00013	 0.00036	 0.01284	 0.01776	 0.00000	 0.00001	 0.01398	 0.00000		144.959493	-7412.292089
15015	 0.00014	 0.00037	 0.01416	 0.01535	 0.00000	 0.00001	 0.01513	 0.00000		141.274480	-7180.798977
16016	 0.00018	 0.00021	 0.01223	 0.01738	 0.00000	 0.00001	 0.01341	 0.00000		140.936538	-7324.700813
17017	 0.00010	 0.00019	 0.01281	 0.01752	 0.00001	 0.00001	 0.01473	 0.00000		142.730344	-7263.880141
18018	 0.00009	 0.00017	 0.01359	 0.01737	 0.00000	 0.00000	 0.01416	 0.00000		144.355368	-7327.663989
19019	 0.00004	 0.00011	 0.01378	 0.01571	 0.00000	 0.00000	 0.01467	 0.00000		149.088822	-7233.287932
20020	 0.00004	 0.00013	 0.01351	 0.01671	 0.00000	 0.00000	 0.01464	 0.00000		146.647846	-7271.124958
21021	 0.00003	 0.00012	 0.01345	 0.01603	 0.00000	 0.00000	 0.01622	 0.00000		144.572849	-7287.341136
22022	 0.00003	 0.00009	 0.01215	 0.01838	 0.00000	 0.00000	 0.01295	 0.00000		148.838335	-7397.340314
23023	 0.00003	 0.00011	 0.01257	 0.01589	 0.00000	 0.00000	 0.01470	 0.00000		154.829980	-7249.997784
24024	 0.00009	 0.00011	 0.01406	 0.01621	 0.00000	 0.00000	 0.01428	 0.00000		150.074986	-7328.494413
25025	 0.00015	 0.00022	 0.01052	 0.01888	 0.00000	 0.00001	 0.01370	 0.00000		143.177493	-7420.125882
26026	 0.00014	 0.00049	 0.01284	 0.01506	 0.00000	 0.00001	 0.01560	 0.00000		139.233081	-7318.867852
27027	 0.00017	 0.00027	 0.01379	 0.01751	 0.00000	 0.00001	 0.01616	 0.00000		140.145315	-7202.197668
28028	 0.00006	 0.00018	 0.01157	 0.01653	 0.00000	 0.00000	 0.01311	 0.00000		154.885924	-7356.777703
29029	 0.00015	 0.00043	 0.01211	 0.01729	 0.00000	 0.00001	 0.01403	 0.00000		142.481653	-7181.930056
30030	 0.00010	 0.00025	 0.01329	 0.01755	 0.00000	 0.00001	 0.01392	 0.00000		150.897381	-7282.765193
31031	 0.00008	 0.00009	 0.01108	 0.01632	 0.00000	 0.00000	 0.01468	 0.00000		157.409348	-7316.502348
32032	 0.00005	 0.00011	 0.01230	 0.01740	 0.00000	 0.00000	 0.01553	 0.00000		148.460318	-7257.422541
33033	 0.00002	 0.00008	 0.01174	 0.01785	 0.00000	 0.00000	 0.01605	 0.00000		155.837206	-7170.015151
34034	 0.00002	 0.00012	 0.01161	 0.01616	 0.00000	 0.00000	 0.01514	 0.00000		154.018163	-7195.413014
