Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_ATL->AM	Data-ld-ln	Full-ld-ln
0	 0.00003	 0.00003	 0.00772	 0.01043	 0.00000	 0.00000	 0.01016	 0.00000		176.051342	-4467.591582
1001	 0.00005	 0.00007	 0.00680	 0.01053	 0.00000	 0.00000	 0.00989	 0.00000		170.751205	-4485.942840
2002	 0.00015	 0.00019	 0.00579	 0.00959	 0.00000	 0.00001	 0.00959	 0.00000		161.177743	-4599.673042
3003	 0.00016	 0.00016	 0.00658	 0.00966	 0.00000	 0.00001	 0.01070	 0.00000		163.745685	-4532.571066
4004	 0.00031	 0.00012	 0.00680	 0.00991	 0.00000	 0.00001	 0.00897	 0.00000		157.617667	-4535.036581
5005	 0.00005	 0.00009	 0.00610	 0.01134	 0.00000	 0.00000	 0.00860	 0.00000		170.341728	-4654.454228
6006	 0.00005	 0.00006	 0.00607	 0.01204	 0.00000	 0.00000	 0.01034	 0.00000		166.439759	-4557.881609
7007	 0.00005	 0.00007	 0.00713	 0.01003	 0.00000	 0.00000	 0.00988	 0.00000		169.203150	-4633.949822
8008	 0.00002	 0.00005	 0.00693	 0.01215	 0.00000	 0.00000	 0.00950	 0.00000		175.716523	-4533.970440
9009	 0.00004	 0.00010	 0.00619	 0.01084	 0.00000	 0.00000	 0.01010	 0.00000		165.646065	-4555.796760
10010	 0.00013	 0.00012	 0.00753	 0.01010	 0.00000	 0.00001	 0.01101	 0.00000		162.556530	-4495.386508
11011	 0.00015	 0.00018	 0.00672	 0.01086	 0.00000	 0.00001	 0.00949	 0.00000		161.408704	-4573.022378
12012	 0.00018	 0.00027	 0.00683	 0.00854	 0.00000	 0.00001	 0.01067	 0.00000		166.647073	-4585.277537
13013	 0.00009	 0.00020	 0.00616	 0.01161	 0.00000	 0.00001	 0.00947	 0.00000		162.650643	-4581.541706
14014	 0.00011	 0.00020	 0.00695	 0.00946	 0.00000	 0.00001	 0.00837	 0.00000		167.326319	-4580.759080
15015	 0.00007	 0.00010	 0.00748	 0.01009	 0.00000	 0.00000	 0.00873	 0.00000		174.295057	-4565.771205
16016	 0.00011	 0.00011	 0.00522	 0.01047	 0.00000	 0.00000	 0.00853	 0.00000		167.705541	-4605.826220
17017	 0.00018	 0.00025	 0.00656	 0.01189	 0.00000	 0.00001	 0.00992	 0.00000		160.943437	-4530.913007
18018	 0.00014	 0.00007	 0.00587	 0.01087	 0.00000	 0.00000	 0.00895	 0.00000		163.941477	-4581.843743
19019	 0.00015	 0.00047	 0.00652	 0.01262	 0.00000	 0.00001	 0.00853	 0.00000		163.501904	-4524.839476
20020	 0.00016	 0.00018	 0.00697	 0.00936	 0.00000	 0.00001	 0.00819	 0.00000		168.144969	-4603.939715
21021	 0.00010	 0.00010	 0.00624	 0.01095	 0.00000	 0.00001	 0.00908	 0.00000		178.772238	-4501.920551
22022	 0.00006	 0.00041	 0.00511	 0.01093	 0.00000	 0.00000	 0.01187	 0.00000		159.525986	-4529.747394
23023	 0.00005	 0.00017	 0.00634	 0.01122	 0.00000	 0.00000	 0.00925	 0.00000		163.936116	-4585.541319
24024	 0.00005	 0.00015	 0.00545	 0.01155	 0.00000	 0.00000	 0.00895	 0.00000		169.874096	-4515.998344
25025	 0.00012	 0.00017	 0.00578	 0.01158	 0.00000	 0.00000	 0.00909	 0.00000		162.498499	-4492.854026
26026	 0.00019	 0.00023	 0.00634	 0.01103	 0.00000	 0.00001	 0.00999	 0.00000		163.898450	-4591.973382
27027	 0.00023	 0.00018	 0.00661	 0.01035	 0.00000	 0.00001	 0.00939	 0.00000		161.886719	-4572.639382
28028	 0.00019	 0.00019	 0.00662	 0.01101	 0.00000	 0.00001	 0.00988	 0.00000		157.332099	-4500.401818
29029	 0.00022	 0.00016	 0.00564	 0.01187	 0.00000	 0.00001	 0.00914	 0.00000		157.962833	-4578.553275
30030	 0.00013	 0.00018	 0.00626	 0.01096	 0.00000	 0.00001	 0.00965	 0.00000		165.593480	-4473.062085
31031	 0.00010	 0.00011	 0.00550	 0.01189	 0.00000	 0.00001	 0.00811	 0.00000		168.710297	-4591.429467
32032	 0.00007	 0.00005	 0.00501	 0.01076	 0.00000	 0.00000	 0.00887	 0.00000		166.371971	-4583.641929
33033	 0.00004	 0.00006	 0.00694	 0.01152	 0.00000	 0.00000	 0.00915	 0.00000		169.930817	-4564.096113
34034	 0.00007	 0.00008	 0.00737	 0.00992	 0.00000	 0.00000	 0.00877	 0.00000		160.371260	-4605.739671
35035	 0.00002	 0.00004	 0.00712	 0.01051	 0.00000	 0.00000	 0.00868	 0.00000		173.773327	-4578.288507
36036	 0.00004	 0.00007	 0.00586	 0.00998	 0.00000	 0.00000	 0.00937	 0.00000		165.653727	-4604.744366
