Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	Data-ld-ln	Full-ld-ln
0	 0.00001	 0.00007	 0.00000	 0.00005	 0.01649	 0.00000	 0.00000		199.271311	-2591.130323
1001	 0.00000	 0.00001	 0.00000	 0.00002	 0.01600	 0.00000	 0.00000		220.508968	-2606.710773
2002	 0.00001	 0.00002	 0.00000	 0.00013	 0.01792	 0.00000	 0.00000		213.149319	-2561.246572
3003	 0.00001	 0.00002	 0.00000	 0.00014	 0.01694	 0.00000	 0.00000		211.151180	-2616.597670
4004	 0.00000	 0.00000	 0.00000	 0.00001	 0.01470	 0.00000	 0.00000		240.844925	-2537.654183
5005	 0.00000	 0.00001	 0.00000	 0.00002	 0.01698	 0.00000	 0.00000		222.729100	-2604.969740
6006	 0.00001	 0.00001	 0.00000	 0.00006	 0.01481	 0.00000	 0.00000		224.072297	-2655.551658
7007	 0.00000	 0.00001	 0.00000	 0.00007	 0.01538	 0.00000	 0.00000		224.741324	-2618.453231
8008	 0.00000	 0.00002	 0.00000	 0.00008	 0.01544	 0.00000	 0.00000		211.914712	-2625.561906
9009	 0.00001	 0.00002	 0.00001	 0.00010	 0.01689	 0.00000	 0.00000		217.781957	-2549.141884
10010	 0.00002	 0.00005	 0.00001	 0.00008	 0.01602	 0.00000	 0.00000		202.580409	-2619.708547
11011	 0.00002	 0.00003	 0.00001	 0.00025	 0.01505	 0.00000	 0.00000		203.965305	-2630.565190
12012	 0.00004	 0.00009	 0.00002	 0.00012	 0.01696	 0.00000	 0.00000		196.355619	-2565.135679
13013	 0.00003	 0.00007	 0.00001	 0.00012	 0.01804	 0.00000	 0.00000		201.754488	-2581.748025
14014	 0.00002	 0.00006	 0.00001	 0.00009	 0.01621	 0.00000	 0.00000		198.718647	-2602.535602
15015	 0.00002	 0.00005	 0.00001	 0.00011	 0.01685	 0.00000	 0.00000		203.644900	-2633.029625
16016	 0.00003	 0.00009	 0.00002	 0.00005	 0.01512	 0.00000	 0.00000		202.749814	-2609.714852
17017	 0.00002	 0.00006	 0.00001	 0.00002	 0.01597	 0.00000	 0.00000		216.090512	-2557.585449
18018	 0.00003	 0.00007	 0.00002	 0.00003	 0.01627	 0.00000	 0.00000		208.048872	-2596.407664
19019	 0.00002	 0.00008	 0.00001	 0.00003	 0.01608	 0.00000	 0.00000		210.404959	-2514.111822
20020	 0.00004	 0.00010	 0.00001	 0.00005	 0.01701	 0.00000	 0.00000		196.546020	-2558.660411
21021	 0.00003	 0.00006	 0.00001	 0.00001	 0.01471	 0.00000	 0.00000		218.246714	-2559.716121
22022	 0.00002	 0.00004	 0.00001	 0.00003	 0.01626	 0.00000	 0.00000		211.388256	-2640.049147
23023	 0.00002	 0.00013	 0.00001	 0.00005	 0.01540	 0.00000	 0.00000		198.272727	-2604.369350
24024	 0.00001	 0.00005	 0.00001	 0.00011	 0.01577	 0.00000	 0.00000		208.398058	-2605.723560
25025	 0.00001	 0.00003	 0.00001	 0.00004	 0.01647	 0.00000	 0.00000		216.594303	-2488.365315
26026	 0.00000	 0.00001	 0.00000	 0.00013	 0.01583	 0.00000	 0.00000		226.872961	-2535.200579
27027	 0.00001	 0.00001	 0.00001	 0.00008	 0.01750	 0.00000	 0.00000		223.385252	-2546.220361
28028	 0.00001	 0.00001	 0.00000	 0.00002	 0.01548	 0.00000	 0.00000		226.320830	-2594.076354
29029	 0.00001	 0.00003	 0.00001	 0.00005	 0.01652	 0.00000	 0.00000		216.006032	-2550.676101
30030	 0.00002	 0.00007	 0.00002	 0.00031	 0.01732	 0.00000	 0.00000		196.297371	-2545.749537
31031	 0.00002	 0.00006	 0.00001	 0.00013	 0.01617	 0.00000	 0.00000		200.605567	-2533.044879
32032	 0.00002	 0.00007	 0.00001	 0.00005	 0.01545	 0.00000	 0.00000		206.520726	-2565.533088
33033	 0.00001	 0.00003	 0.00000	 0.00006	 0.01440	 0.00000	 0.00000		209.940095	-2620.988461
34034	 0.00003	 0.00009	 0.00001	 0.00007	 0.01642	 0.00000	 0.00000		199.200928	-2676.631922
35035	 0.00008	 0.00011	 0.00002	 0.00018	 0.01588	 0.00001	 0.00001		190.256380	-2615.104084
36036	 0.00003	 0.00011	 0.00001	 0.00002	 0.01620	 0.00000	 0.00000		202.115653	-2613.397592
37037	 0.00001	 0.00003	 0.00001	 0.00004	 0.01657	 0.00000	 0.00000		211.195852	-2585.216539
38038	 0.00002	 0.00004	 0.00001	 0.00018	 0.01663	 0.00000	 0.00000		199.353492	-2536.294458
39039	 0.00001	 0.00004	 0.00000	 0.00000	 0.01445	 0.00000	 0.00000		209.762449	-2743.193494
40040	 0.00001	 0.00002	 0.00000	 0.00002	 0.01548	 0.00000	 0.00000		205.754056	-2632.597389
41041	 0.00001	 0.00001	 0.00000	 0.00013	 0.01555	 0.00000	 0.00000		215.558720	-2610.633264
42042	 0.00001	 0.00002	 0.00001	 0.00010	 0.01645	 0.00000	 0.00000		206.545289	-2556.557185
43043	 0.00001	 0.00003	 0.00001	 0.00011	 0.01683	 0.00000	 0.00000		213.742580	-2572.430182
44044	 0.00002	 0.00008	 0.00001	 0.00012	 0.01601	 0.00000	 0.00000		193.037920	-2648.349228
45045	 0.00002	 0.00004	 0.00001	 0.00007	 0.01577	 0.00000	 0.00000		218.412169	-2539.798531
46046	 0.00002	 0.00004	 0.00001	 0.00009	 0.01657	 0.00000	 0.00000		207.938464	-2587.602381
47047	 0.00002	 0.00007	 0.00001	 0.00009	 0.01521	 0.00000	 0.00000		206.349658	-2556.304211
48048	 0.00002	 0.00009	 0.00002	 0.00023	 0.01465	 0.00000	 0.00000		198.354452	-2593.267268
49049	 0.00001	 0.00007	 0.00001	 0.00002	 0.01578	 0.00000	 0.00000		215.276359	-2568.743866
50050	 0.00002	 0.00003	 0.00001	 0.00001	 0.01564	 0.00000	 0.00000		224.455193	-2585.440796
51051	 0.00004	 0.00012	 0.00002	 0.00004	 0.01594	 0.00000	 0.00001		201.581395	-2599.864130
52052	 0.00018	 0.00014	 0.00005	 0.00009	 0.01550	 0.00001	 0.00001		186.280741	-2562.526693
53053	 0.00011	 0.00012	 0.00005	 0.00004	 0.01555	 0.00001	 0.00001		185.360568	-2578.289437
54054	 0.00010	 0.00019	 0.00003	 0.00006	 0.01584	 0.00001	 0.00001		189.695991	-2607.300115
55055	 0.00010	 0.00022	 0.00005	 0.00009	 0.01703	 0.00001	 0.00001		192.595755	-2551.269327
56056	 0.00013	 0.00020	 0.00005	 0.00011	 0.01805	 0.00001	 0.00001		182.170393	-2513.214264
57057	 0.00006	 0.00026	 0.00003	 0.00010	 0.01650	 0.00001	 0.00001		192.957572	-2484.238434
58058	 0.00007	 0.00020	 0.00003	 0.00026	 0.01643	 0.00001	 0.00001		184.096867	-2600.305816
59059	 0.00004	 0.00010	 0.00002	 0.00003	 0.01633	 0.00001	 0.00001		210.197041	-2580.024200
60060	 0.00003	 0.00006	 0.00001	 0.00002	 0.01601	 0.00000	 0.00000		212.851011	-2562.970976
61061	 0.00003	 0.00009	 0.00001	 0.00006	 0.01599	 0.00000	 0.00000		196.601074	-2632.040317
