Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	Data-ld-ln	Full-ld-ln
55055	 0.00007	 0.00012	 0.00003	 0.00015	 0.01478	 0.00001	 0.00001		208.444482	-2172.398028
56056	 0.00011	 0.00011	 0.00003	 0.00008	 0.01416	 0.00001	 0.00001		204.483856	-2118.778567
57057	 0.00010	 0.00013	 0.00005	 0.00011	 0.01368	 0.00001	 0.00002		210.803446	-2162.956450
58058	 0.00015	 0.00016	 0.00006	 0.00018	 0.01324	 0.00002	 0.00002		203.392663	-2153.310102
59059	 0.00006	 0.00010	 0.00004	 0.00018	 0.01511	 0.00001	 0.00001		211.464419	-2115.285807
60060	 0.00004	 0.00006	 0.00003	 0.00008	 0.01249	 0.00000	 0.00001		222.669449	-2160.588308
61061	 0.00003	 0.00006	 0.00002	 0.00004	 0.01505	 0.00000	 0.00001		227.566849	-2090.735108
62062	 0.00009	 0.00010	 0.00005	 0.00014	 0.01285	 0.00001	 0.00002		205.216709	-2147.279513
63063	 0.00008	 0.00025	 0.00012	 0.00055	 0.01315	 0.00001	 0.00004		195.773459	-2197.912741
64064	 0.00006	 0.00008	 0.00006	 0.00024	 0.01236	 0.00001	 0.00002		209.644878	-2185.962976
65065	 0.00005	 0.00008	 0.00005	 0.00014	 0.01289	 0.00001	 0.00002		217.663469	-2097.117238
66066	 0.00004	 0.00008	 0.00004	 0.00021	 0.01485	 0.00001	 0.00001		212.937798	-2167.119829
67067	 0.00011	 0.00016	 0.00005	 0.00030	 0.01414	 0.00001	 0.00002		202.357309	-2145.875783
68068	 0.00005	 0.00011	 0.00004	 0.00011	 0.01333	 0.00001	 0.00001		216.020213	-2145.006553
69069	 0.00005	 0.00010	 0.00003	 0.00018	 0.01325	 0.00001	 0.00001		207.735900	-2155.583154
70070	 0.00010	 0.00011	 0.00005	 0.00010	 0.01426	 0.00001	 0.00002		209.359577	-2052.407151
71071	 0.00007	 0.00008	 0.00004	 0.00008	 0.01395	 0.00001	 0.00001		218.441103	-2125.436106
72072	 0.00010	 0.00028	 0.00006	 0.00019	 0.01350	 0.00001	 0.00002		197.098051	-2156.856130
73073	 0.00009	 0.00009	 0.00007	 0.00024	 0.01312	 0.00001	 0.00002		204.647097	-2111.938296
74074	 0.00023	 0.00028	 0.00007	 0.00012	 0.01347	 0.00002	 0.00003		196.031278	-2151.831403
75075	 0.00008	 0.00020	 0.00004	 0.00009	 0.01307	 0.00001	 0.00001		199.902328	-2170.774204
76076	 0.00003	 0.00003	 0.00002	 0.00008	 0.01295	 0.00000	 0.00000		225.865978	-2180.086487
77077	 0.00005	 0.00003	 0.00001	 0.00005	 0.01417	 0.00000	 0.00001		224.970570	-2190.209071
78078	 0.00004	 0.00007	 0.00002	 0.00024	 0.01302	 0.00001	 0.00001		218.621210	-2237.266954
79079	 0.00004	 0.00013	 0.00002	 0.00030	 0.01279	 0.00001	 0.00001		207.118237	-2133.233350
80080	 0.00003	 0.00005	 0.00001	 0.00006	 0.01348	 0.00000	 0.00001		228.854943	-2121.186237
81081	 0.00003	 0.00004	 0.00002	 0.00004	 0.01409	 0.00000	 0.00001		233.445853	-2052.204663
