Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	Data-ld-ln	Full-ld-ln
0	 0.00010	 0.00008	 0.00002	 0.00003	 0.00452	 0.00001	 0.00001		221.414346	-940.447157
1001	 0.00014	 0.00012	 0.00007	 0.00004	 0.00418	 0.00002	 0.00002		210.804171	-962.076928
2002	 0.00013	 0.00013	 0.00006	 0.00005	 0.00449	 0.00002	 0.00002		209.423948	-931.948063
3003	 0.00016	 0.00012	 0.00005	 0.00022	 0.00498	 0.00001	 0.00002		200.795546	-920.521986
4004	 0.00013	 0.00010	 0.00003	 0.00010	 0.00573	 0.00001	 0.00001		203.521343	-919.672249
5005	 0.00035	 0.00017	 0.00006	 0.00002	 0.00500	 0.00002	 0.00002		194.066010	-931.919193
6006	 0.00015	 0.00012	 0.00004	 0.00012	 0.00572	 0.00001	 0.00001		204.252148	-900.542683
7007	 0.00013	 0.00016	 0.00002	 0.00015	 0.00478	 0.00001	 0.00001		201.282019	-926.260226
8008	 0.00003	 0.00003	 0.00002	 0.00010	 0.00479	 0.00000	 0.00000		223.664530	-917.515173
9009	 0.00004	 0.00002	 0.00001	 0.00007	 0.00381	 0.00000	 0.00000		231.079078	-939.069029
10010	 0.00014	 0.00011	 0.00005	 0.00023	 0.00527	 0.00001	 0.00002		207.289620	-914.379346
11011	 0.00011	 0.00004	 0.00003	 0.00006	 0.00490	 0.00001	 0.00001		222.892462	-906.333302
12012	 0.00016	 0.00011	 0.00005	 0.00005	 0.00531	 0.00001	 0.00001		211.410669	-921.085293
13013	 0.00010	 0.00009	 0.00005	 0.00033	 0.00578	 0.00001	 0.00001		209.019182	-883.602688
14014	 0.00004	 0.00006	 0.00003	 0.00007	 0.00627	 0.00001	 0.00001		223.950086	-865.968043
15015	 0.00004	 0.00004	 0.00001	 0.00006	 0.00534	 0.00000	 0.00000		221.706632	-900.953850
16016	 0.00009	 0.00009	 0.00001	 0.00004	 0.00531	 0.00000	 0.00000		208.397108	-900.284344
17017	 0.00004	 0.00004	 0.00001	 0.00005	 0.00499	 0.00000	 0.00000		221.439234	-880.309577
18018	 0.00003	 0.00004	 0.00002	 0.00003	 0.00489	 0.00000	 0.00000		229.066609	-926.130959
19019	 0.00004	 0.00002	 0.00001	 0.00028	 0.00544	 0.00000	 0.00000		217.570446	-916.982177
20020	 0.00006	 0.00006	 0.00002	 0.00010	 0.00557	 0.00000	 0.00000		210.046697	-913.064270
21021	 0.00007	 0.00007	 0.00002	 0.00005	 0.00473	 0.00001	 0.00001		225.880927	-910.628685
22022	 0.00002	 0.00002	 0.00001	 0.00004	 0.00531	 0.00000	 0.00000		230.761603	-917.159056
23023	 0.00002	 0.00002	 0.00005	 0.00025	 0.00542	 0.00000	 0.00001		220.950620	-910.640993
24024	 0.00004	 0.00004	 0.00002	 0.00009	 0.00450	 0.00000	 0.00001		231.009902	-935.781350
25025	 0.00003	 0.00002	 0.00001	 0.00002	 0.00477	 0.00000	 0.00000		238.876352	-914.528522
26026	 0.00004	 0.00005	 0.00002	 0.00014	 0.00503	 0.00000	 0.00001		220.621663	-912.384287
27027	 0.00017	 0.00022	 0.00007	 0.00017	 0.00369	 0.00002	 0.00002		199.448110	-925.461698
28028	 0.00019	 0.00020	 0.00009	 0.00010	 0.00456	 0.00002	 0.00002		199.933226	-932.250730
29029	 0.00007	 0.00010	 0.00004	 0.00008	 0.00443	 0.00001	 0.00001		219.134224	-933.767747
30030	 0.00009	 0.00008	 0.00006	 0.00019	 0.00490	 0.00001	 0.00002		212.972662	-920.192964
31031	 0.00008	 0.00007	 0.00004	 0.00013	 0.00666	 0.00001	 0.00001		216.809943	-867.505914
32032	 0.00010	 0.00007	 0.00002	 0.00001	 0.00539	 0.00001	 0.00001		237.525566	-915.889831
33033	 0.00014	 0.00005	 0.00003	 0.00006	 0.00523	 0.00001	 0.00001		222.864578	-895.196843
34034	 0.00026	 0.00011	 0.00006	 0.00013	 0.00486	 0.00001	 0.00002		204.180184	-908.029790
