Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	Data-ld-ln	Full-ld-ln
0	 0.00004	 0.00005	 0.00008	 0.00034	 0.01631	 0.00000	 0.00002		193.150610	-2576.760834
1001	 0.00011	 0.00011	 0.00010	 0.00042	 0.01598	 0.00000	 0.00003		188.766018	-2630.812926
2002	 0.00010	 0.00030	 0.00003	 0.00009	 0.01555	 0.00001	 0.00001		193.383516	-2695.042464
3003	 0.00003	 0.00008	 0.00001	 0.00011	 0.01631	 0.00000	 0.00000		206.524592	-2501.802186
4004	 0.00005	 0.00013	 0.00003	 0.00005	 0.01493	 0.00001	 0.00001		207.679629	-2584.880579
5005	 0.00003	 0.00009	 0.00002	 0.00011	 0.01742	 0.00000	 0.00001		205.253545	-2615.621027
6006	 0.00002	 0.00009	 0.00002	 0.00004	 0.01543	 0.00000	 0.00000		217.249897	-2616.049723
7007	 0.00002	 0.00004	 0.00001	 0.00003	 0.01781	 0.00000	 0.00000		217.631288	-2542.513871
8008	 0.00002	 0.00008	 0.00001	 0.00002	 0.01496	 0.00000	 0.00000		213.935414	-2655.186629
9009	 0.00003	 0.00004	 0.00001	 0.00002	 0.01719	 0.00000	 0.00000		214.337367	-2511.578588
10010	 0.00001	 0.00002	 0.00000	 0.00002	 0.01786	 0.00000	 0.00000		239.354318	-2574.401198
11011	 0.00002	 0.00002	 0.00001	 0.00002	 0.01735	 0.00000	 0.00000		224.754346	-2563.866333
12012	 0.00001	 0.00001	 0.00001	 0.00007	 0.01578	 0.00000	 0.00000		218.276656	-2663.467350
13013	 0.00001	 0.00001	 0.00001	 0.00005	 0.01634	 0.00000	 0.00000		233.492472	-2558.666915
14014	 0.00002	 0.00007	 0.00002	 0.00011	 0.01599	 0.00000	 0.00001		205.476554	-2580.233597
15015	 0.00006	 0.00017	 0.00003	 0.00009	 0.01514	 0.00000	 0.00001		207.322887	-2590.023259
