Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_ATL->AM	Data-ld-ln	Full-ld-ln
0	 0.00001	 0.00005	 0.00762	 0.01222	 0.00000	 0.00000	 0.01170	 0.00000		168.705098	-5098.741627
1001	 0.00002	 0.00002	 0.00690	 0.01251	 0.00000	 0.00000	 0.00971	 0.00000		178.900428	-5106.872634
2002	 0.00003	 0.00006	 0.00669	 0.01252	 0.00000	 0.00000	 0.00971	 0.00000		168.834050	-5180.290162
3003	 0.00004	 0.00008	 0.00569	 0.01257	 0.00000	 0.00000	 0.01186	 0.00000		165.362320	-5030.536048
4004	 0.00009	 0.00017	 0.00735	 0.01081	 0.00000	 0.00001	 0.01200	 0.00000		156.649195	-5062.836297
5005	 0.00006	 0.00008	 0.00797	 0.01220	 0.00000	 0.00000	 0.01104	 0.00000		162.427389	-5121.978432
6006	 0.00008	 0.00012	 0.00551	 0.01288	 0.00000	 0.00000	 0.01060	 0.00000		163.514452	-5060.746955
7007	 0.00004	 0.00007	 0.00690	 0.01245	 0.00000	 0.00000	 0.01165	 0.00000		171.265682	-5062.864762
8008	 0.00009	 0.00010	 0.00653	 0.01374	 0.00000	 0.00000	 0.01210	 0.00000		163.676612	-5017.074350
9009	 0.00005	 0.00005	 0.00621	 0.01342	 0.00000	 0.00000	 0.01091	 0.00000		168.848097	-5173.669139
10010	 0.00005	 0.00006	 0.00798	 0.01132	 0.00000	 0.00000	 0.01124	 0.00000		165.741080	-5108.069586
11011	 0.00001	 0.00008	 0.00656	 0.01211	 0.00000	 0.00000	 0.01187	 0.00000		166.779024	-5090.989279
12012	 0.00002	 0.00020	 0.00676	 0.01112	 0.00000	 0.00000	 0.01232	 0.00000		161.506917	-5179.640714
13013	 0.00001	 0.00003	 0.00592	 0.01379	 0.00000	 0.00000	 0.00971	 0.00000		177.535281	-5163.522449
14014	 0.00004	 0.00007	 0.00654	 0.01295	 0.00000	 0.00000	 0.01068	 0.00000		156.000966	-5138.269069
15015	 0.00004	 0.00005	 0.00708	 0.01204	 0.00000	 0.00000	 0.01033	 0.00000		166.346419	-5170.879273
16016	 0.00007	 0.00018	 0.00706	 0.01291	 0.00000	 0.00001	 0.01110	 0.00000		165.205087	-5087.852597
17017	 0.00008	 0.00037	 0.00723	 0.00997	 0.00000	 0.00001	 0.00903	 0.00000		165.719883	-5191.667648
18018	 0.00006	 0.00012	 0.00742	 0.01236	 0.00000	 0.00000	 0.01053	 0.00000		166.572951	-5107.489928
19019	 0.00005	 0.00029	 0.00692	 0.01168	 0.00000	 0.00000	 0.01081	 0.00000		160.420456	-5173.453961
20020	 0.00005	 0.00013	 0.00734	 0.01207	 0.00000	 0.00000	 0.01108	 0.00000		161.533317	-5112.270196
21021	 0.00009	 0.00006	 0.00618	 0.01282	 0.00000	 0.00000	 0.00971	 0.00000		165.763984	-5150.693481
22022	 0.00007	 0.00008	 0.00833	 0.01235	 0.00000	 0.00000	 0.00962	 0.00000		172.610625	-5198.763162
23023	 0.00013	 0.00029	 0.00712	 0.01213	 0.00000	 0.00001	 0.01016	 0.00000		162.268392	-5120.719656
24024	 0.00013	 0.00011	 0.00706	 0.01182	 0.00000	 0.00001	 0.01081	 0.00000		160.973402	-5105.873604
25025	 0.00003	 0.00005	 0.00680	 0.01250	 0.00000	 0.00000	 0.01070	 0.00000		170.005265	-5200.958764
26026	 0.00004	 0.00003	 0.00766	 0.01197	 0.00000	 0.00000	 0.01149	 0.00000		171.193579	-5142.758900
27027	 0.00003	 0.00008	 0.00752	 0.01148	 0.00000	 0.00000	 0.01207	 0.00000		164.692317	-5087.460468
28028	 0.00001	 0.00004	 0.00742	 0.01264	 0.00000	 0.00000	 0.01114	 0.00000		175.958445	-5127.706900
29029	 0.00001	 0.00005	 0.00646	 0.01159	 0.00000	 0.00000	 0.01097	 0.00000		171.324654	-5215.930757
30030	 0.00003	 0.00006	 0.00725	 0.01188	 0.00000	 0.00000	 0.01279	 0.00000		164.286377	-5070.863870
31031	 0.00002	 0.00006	 0.00783	 0.01308	 0.00000	 0.00000	 0.01087	 0.00000		166.976986	-5152.209120
32032	 0.00003	 0.00008	 0.00645	 0.01261	 0.00000	 0.00000	 0.01069	 0.00000		169.025099	-5221.979979
33033	 0.00006	 0.00007	 0.00628	 0.01221	 0.00000	 0.00000	 0.01059	 0.00000		166.869992	-5084.957233
34034	 0.00004	 0.00017	 0.00827	 0.01059	 0.00000	 0.00000	 0.01115	 0.00000		167.851288	-5105.188010
35035	 0.00002	 0.00003	 0.00768	 0.01242	 0.00000	 0.00000	 0.01103	 0.00000		178.696576	-5137.999107
36036	 0.00003	 0.00005	 0.00676	 0.01305	 0.00000	 0.00000	 0.01158	 0.00000		166.275627	-5080.818487
37037	 0.00003	 0.00008	 0.00777	 0.01215	 0.00000	 0.00000	 0.01128	 0.00000		161.965715	-5116.483932
38038	 0.00006	 0.00006	 0.00688	 0.01302	 0.00000	 0.00000	 0.01178	 0.00000		168.221329	-5083.768561
39039	 0.00007	 0.00012	 0.00594	 0.01408	 0.00000	 0.00000	 0.01154	 0.00000		162.368991	-5083.286737
40040	 0.00020	 0.00020	 0.00707	 0.01240	 0.00000	 0.00001	 0.01013	 0.00000		163.624436	-5099.343808
41041	 0.00012	 0.00008	 0.00753	 0.01053	 0.00000	 0.00001	 0.01115	 0.00000		168.387646	-5136.525062
42042	 0.00011	 0.00024	 0.00587	 0.01149	 0.00000	 0.00001	 0.01092	 0.00000		161.171996	-5163.722033
43043	 0.00033	 0.00023	 0.00687	 0.01189	 0.00000	 0.00001	 0.00979	 0.00000		161.611761	-5208.736357
44044	 0.00013	 0.00026	 0.00646	 0.01327	 0.00000	 0.00001	 0.01135	 0.00000		163.192990	-5090.712838
45045	 0.00012	 0.00013	 0.00555	 0.01153	 0.00000	 0.00001	 0.01033	 0.00000		162.354053	-5226.217900
46046	 0.00010	 0.00006	 0.00688	 0.01213	 0.00000	 0.00000	 0.01161	 0.00000		159.912899	-5281.982047
47047	 0.00017	 0.00015	 0.00696	 0.01292	 0.00000	 0.00001	 0.01066	 0.00000		159.251106	-5122.527104
48048	 0.00015	 0.00018	 0.00739	 0.01151	 0.00000	 0.00001	 0.01049	 0.00000		160.386422	-5100.377550
49049	 0.00004	 0.00012	 0.00771	 0.01257	 0.00000	 0.00000	 0.01175	 0.00000		171.087834	-5146.105561
50050	 0.00009	 0.00021	 0.00724	 0.01210	 0.00000	 0.00001	 0.01164	 0.00000		163.561611	-5109.301730
51051	 0.00006	 0.00011	 0.00586	 0.01170	 0.00000	 0.00000	 0.01019	 0.00000		165.387333	-5145.570241
52052	 0.00002	 0.00003	 0.00738	 0.01296	 0.00000	 0.00000	 0.01118	 0.00000		178.030622	-5022.205049
53053	 0.00001	 0.00003	 0.00600	 0.01146	 0.00000	 0.00000	 0.01048	 0.00000		174.736772	-5221.698520
54054	 0.00003	 0.00003	 0.00592	 0.01306	 0.00000	 0.00000	 0.01050	 0.00000		171.664671	-5071.422462
55055	 0.00001	 0.00012	 0.00653	 0.01171	 0.00000	 0.00000	 0.01026	 0.00000		177.061418	-5162.532760
56056	 0.00002	 0.00013	 0.00704	 0.01303	 0.00000	 0.00000	 0.01084	 0.00000		163.484373	-5116.607567
57057	 0.00002	 0.00008	 0.00645	 0.01313	 0.00000	 0.00000	 0.01086	 0.00000		167.962742	-5162.123384
58058	 0.00005	 0.00009	 0.00671	 0.01242	 0.00000	 0.00000	 0.01159	 0.00000		165.805857	-5117.897531
59059	 0.00010	 0.00014	 0.00743	 0.01259	 0.00000	 0.00001	 0.01048	 0.00000		159.332915	-5098.574076
60060	 0.00009	 0.00017	 0.00708	 0.01353	 0.00000	 0.00000	 0.01066	 0.00000		160.015596	-5194.163676
