Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	Data-ld-ln	Full-ld-ln
0	 0.00000	 0.00001	 0.00000	 0.00008	 0.01799	 0.00000	 0.00000		223.907753	-2832.015359
1001	 0.00000	 0.00004	 0.00000	 0.00009	 0.01897	 0.00000	 0.00000		212.883097	-2885.216404
2002	 0.00000	 0.00001	 0.00000	 0.00003	 0.02046	 0.00000	 0.00000		223.870049	-2839.115413
3003	 0.00000	 0.00001	 0.00000	 0.00002	 0.01806	 0.00000	 0.00000		228.963951	-2810.396129
4004	 0.00000	 0.00001	 0.00000	 0.00001	 0.01847	 0.00000	 0.00000		240.719459	-2835.213637
5005	 0.00000	 0.00002	 0.00000	 0.00002	 0.01741	 0.00000	 0.00000		232.992030	-2827.792326
6006	 0.00001	 0.00002	 0.00000	 0.00000	 0.01787	 0.00000	 0.00000		244.017680	-2831.421120
7007	 0.00001	 0.00002	 0.00000	 0.00001	 0.01756	 0.00000	 0.00000		218.005199	-2864.880419
8008	 0.00001	 0.00002	 0.00000	 0.00004	 0.01778	 0.00000	 0.00000		214.944999	-2856.104056
9009	 0.00001	 0.00002	 0.00000	 0.00002	 0.01802	 0.00000	 0.00000		214.142544	-2793.606003
10010	 0.00001	 0.00002	 0.00000	 0.00021	 0.01748	 0.00000	 0.00000		214.324912	-2858.163611
11011	 0.00000	 0.00001	 0.00000	 0.00001	 0.01725	 0.00000	 0.00000		230.419285	-2914.742356
12012	 0.00000	 0.00001	 0.00000	 0.00002	 0.01771	 0.00000	 0.00000		233.614104	-2795.738190
13013	 0.00000	 0.00001	 0.00000	 0.00002	 0.01876	 0.00000	 0.00000		234.382230	-2798.723337
14014	 0.00000	 0.00003	 0.00000	 0.00004	 0.01873	 0.00000	 0.00000		211.712993	-2855.625764
15015	 0.00001	 0.00002	 0.00000	 0.00005	 0.01582	 0.00000	 0.00000		221.331901	-2888.833551
16016	 0.00000	 0.00001	 0.00000	 0.00003	 0.01925	 0.00000	 0.00000		236.337776	-2804.460414
17017	 0.00001	 0.00007	 0.00000	 0.00020	 0.01686	 0.00000	 0.00000		203.757161	-2865.088246
18018	 0.00003	 0.00012	 0.00001	 0.00010	 0.01785	 0.00000	 0.00000		202.330022	-2809.350174
19019	 0.00001	 0.00002	 0.00001	 0.00017	 0.01675	 0.00000	 0.00000		208.591756	-2835.152953
20020	 0.00001	 0.00001	 0.00001	 0.00012	 0.01742	 0.00000	 0.00000		221.839299	-2840.086000
