Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	Data-ld-ln	Full-ld-ln
0	 0.00002	 0.00006	 0.00001	 0.00011	 0.06337	 0.00000	 0.00000		197.589347	-10291.029733
1001	 0.00001	 0.00002	 0.00001	 0.00005	 0.06458	 0.00000	 0.00000		216.129791	-10069.609193
2002	 0.00001	 0.00005	 0.00001	 0.00004	 0.06673	 0.00000	 0.00000		207.540752	-10145.272968
3003	 0.00001	 0.00004	 0.00000	 0.00003	 0.06487	 0.00000	 0.00000		221.918580	-10302.371205
4004	 0.00001	 0.00003	 0.00000	 0.00001	 0.06617	 0.00000	 0.00000		230.115710	-9953.553258
5005	 0.00000	 0.00000	 0.00000	 0.00001	 0.06502	 0.00000	 0.00000		245.935127	-10042.615797
6006	 0.00000	 0.00001	 0.00000	 0.00000	 0.06539	 0.00000	 0.00000		250.486796	-10089.179620
7007	 0.00000	 0.00000	 0.00000	 0.00001	 0.06463	 0.00000	 0.00000		255.151644	-10290.108320
8008	 0.00000	 0.00000	 0.00000	 0.00000	 0.06141	 0.00000	 0.00000		259.522828	-10305.596664
9009	 0.00000	 0.00000	 0.00000	 0.00000	 0.06488	 0.00000	 0.00000		255.225421	-10380.701709
10010	 0.00000	 0.00000	 0.00000	 0.00000	 0.06667	 0.00000	 0.00000		262.122235	-10150.437035
11011	 0.00000	 0.00000	 0.00000	 0.00001	 0.06252	 0.00000	 0.00000		251.732154	-10225.966725
12012	 0.00000	 0.00000	 0.00000	 0.00001	 0.06585	 0.00000	 0.00000		255.299244	-10023.977255
13013	 0.00000	 0.00000	 0.00000	 0.00001	 0.06452	 0.00000	 0.00000		242.434335	-10250.232322
14014	 0.00000	 0.00000	 0.00000	 0.00004	 0.06427	 0.00000	 0.00000		232.276440	-10087.854934
15015	 0.00000	 0.00001	 0.00000	 0.00003	 0.06299	 0.00000	 0.00000		226.464468	-10053.925495
16016	 0.00000	 0.00002	 0.00000	 0.00002	 0.06734	 0.00000	 0.00000		236.512016	-9897.020344
17017	 0.00000	 0.00001	 0.00000	 0.00003	 0.06460	 0.00000	 0.00000		228.917962	-10177.435465
18018	 0.00000	 0.00001	 0.00001	 0.00007	 0.06537	 0.00000	 0.00000		217.914417	-10445.233590
19019	 0.00000	 0.00001	 0.00001	 0.00006	 0.06215	 0.00000	 0.00000		225.048690	-9990.762183
20020	 0.00001	 0.00004	 0.00002	 0.00010	 0.06382	 0.00000	 0.00001		212.027362	-10192.751809
21021	 0.00001	 0.00003	 0.00002	 0.00018	 0.06917	 0.00000	 0.00001		200.523884	-10010.749779
22022	 0.00001	 0.00003	 0.00003	 0.00023	 0.06428	 0.00000	 0.00001		201.609786	-10256.913189
23023	 0.00001	 0.00001	 0.00002	 0.00011	 0.06893	 0.00000	 0.00001		217.292466	-10115.475376
24024	 0.00002	 0.00004	 0.00004	 0.00029	 0.06585	 0.00000	 0.00001		190.436218	-10358.964596
25025	 0.00001	 0.00004	 0.00003	 0.00026	 0.06509	 0.00000	 0.00001		198.218254	-10191.534846
26026	 0.00001	 0.00004	 0.00003	 0.00026	 0.06361	 0.00000	 0.00001		195.904904	-10031.369359
27027	 0.00001	 0.00003	 0.00002	 0.00016	 0.06493	 0.00000	 0.00001		208.048038	-10079.445811
28028	 0.00002	 0.00008	 0.00005	 0.00040	 0.06675	 0.00000	 0.00002		186.552237	-10220.797775
29029	 0.00001	 0.00007	 0.00003	 0.00024	 0.06557	 0.00000	 0.00001		196.748449	-10181.471083
30030	 0.00001	 0.00002	 0.00002	 0.00013	 0.06584	 0.00000	 0.00001		210.209985	-9845.934113
