Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	Data-ld-ln	Full-ld-ln
0	 0.00003	 0.00006	 0.00627	 0.01195	 0.00000	 0.00000	 0.01203		170.895916	-5102.150751
1001	 0.00002	 0.00002	 0.00675	 0.01308	 0.00000	 0.00000	 0.01325		172.766443	-5046.409618
2002	 0.00003	 0.00008	 0.00701	 0.01274	 0.00000	 0.00000	 0.01080		165.921803	-5135.031547
3003	 0.00007	 0.00025	 0.00556	 0.01204	 0.00000	 0.00001	 0.01096		162.008642	-5104.050561
4004	 0.00004	 0.00007	 0.00683	 0.01194	 0.00000	 0.00000	 0.01078		168.879229	-5104.652934
5005	 0.00009	 0.00008	 0.00691	 0.01201	 0.00000	 0.00000	 0.01145		161.333262	-5140.649659
6006	 0.00012	 0.00015	 0.00725	 0.01080	 0.00000	 0.00001	 0.00988		164.122124	-5169.883206
7007	 0.00008	 0.00020	 0.00639	 0.01331	 0.00000	 0.00000	 0.01102		148.908662	-5220.324594
8008	 0.00011	 0.00021	 0.00703	 0.01332	 0.00000	 0.00001	 0.01000		152.200751	-5152.748361
9009	 0.00021	 0.00014	 0.00716	 0.01246	 0.00000	 0.00001	 0.01034		149.342654	-5104.490608
10010	 0.00007	 0.00013	 0.00677	 0.01211	 0.00000	 0.00000	 0.01185		160.093310	-5071.309521
11011	 0.00005	 0.00010	 0.00694	 0.01229	 0.00000	 0.00000	 0.01055		161.735509	-5232.228963
12012	 0.00006	 0.00010	 0.00684	 0.01354	 0.00000	 0.00000	 0.01106		162.455264	-5076.769883
13013	 0.00005	 0.00006	 0.00663	 0.01192	 0.00000	 0.00000	 0.01016		164.572058	-5212.771021
14014	 0.00007	 0.00023	 0.00715	 0.01198	 0.00000	 0.00000	 0.01141		155.211891	-5083.756582
15015	 0.00004	 0.00007	 0.00720	 0.01262	 0.00000	 0.00000	 0.01095		165.920189	-5056.100787
16016	 0.00005	 0.00014	 0.00642	 0.01274	 0.00000	 0.00000	 0.01151		161.745162	-5047.163959
17017	 0.00006	 0.00009	 0.00642	 0.01183	 0.00000	 0.00000	 0.01026		162.811874	-5155.159765
18018	 0.00028	 0.00012	 0.00669	 0.01155	 0.00000	 0.00001	 0.01261		157.842777	-5072.363655
19019	 0.00005	 0.00019	 0.00717	 0.01051	 0.00000	 0.00000	 0.01070		166.248027	-5088.955324
20020	 0.00003	 0.00006	 0.00763	 0.01258	 0.00000	 0.00000	 0.01157		167.165909	-5052.319873
21021	 0.00005	 0.00005	 0.00762	 0.01120	 0.00000	 0.00000	 0.01162		162.683770	-5127.620006
22022	 0.00006	 0.00009	 0.00832	 0.01298	 0.00000	 0.00000	 0.01143		165.941851	-5029.280919
23023	 0.00005	 0.00017	 0.00593	 0.01276	 0.00000	 0.00000	 0.01134		168.821222	-5139.530341
24024	 0.00007	 0.00015	 0.00622	 0.01194	 0.00000	 0.00000	 0.01226		164.169721	-5133.026465
25025	 0.00002	 0.00004	 0.00549	 0.01217	 0.00000	 0.00000	 0.01160		179.948147	-5123.216738
26026	 0.00002	 0.00003	 0.00780	 0.01177	 0.00000	 0.00000	 0.01132		176.089999	-5190.953876
27027	 0.00001	 0.00002	 0.00656	 0.01283	 0.00000	 0.00000	 0.01081		182.862175	-5162.934676
28028	 0.00003	 0.00002	 0.00751	 0.01228	 0.00000	 0.00000	 0.01158		176.614899	-5064.846154
29029	 0.00001	 0.00004	 0.00700	 0.01246	 0.00000	 0.00000	 0.00972		180.537930	-5152.149148
30030	 0.00002	 0.00014	 0.00682	 0.01245	 0.00000	 0.00000	 0.01145		165.200966	-5185.045676
31031	 0.00003	 0.00006	 0.00618	 0.01291	 0.00000	 0.00000	 0.01040		171.866777	-5119.964403
32032	 0.00004	 0.00006	 0.00813	 0.01172	 0.00000	 0.00000	 0.01052		164.547587	-5132.091270
33033	 0.00003	 0.00009	 0.00658	 0.01108	 0.00000	 0.00000	 0.01008		163.955202	-5108.237043
34034	 0.00005	 0.00013	 0.00774	 0.01248	 0.00000	 0.00000	 0.00967		166.530119	-5139.608560
35035	 0.00007	 0.00016	 0.00732	 0.01223	 0.00000	 0.00001	 0.01048		166.270746	-5133.778754
36036	 0.00026	 0.00019	 0.00696	 0.01333	 0.00000	 0.00001	 0.01110		147.947566	-5117.977765
37037	 0.00015	 0.00018	 0.00653	 0.01335	 0.00000	 0.00001	 0.01155		157.816946	-5091.787532
38038	 0.00005	 0.00030	 0.00684	 0.01206	 0.00000	 0.00000	 0.01109		160.315057	-5159.044708
39039	 0.00017	 0.00025	 0.00749	 0.01096	 0.00000	 0.00001	 0.01124		150.645175	-5149.378148
40040	 0.00012	 0.00015	 0.00622	 0.01118	 0.00000	 0.00000	 0.01042		153.356988	-5113.039859
41041	 0.00005	 0.00007	 0.00724	 0.01337	 0.00000	 0.00000	 0.01026		161.757076	-5062.334466
42042	 0.00007	 0.00006	 0.00843	 0.01200	 0.00000	 0.00000	 0.01022		155.839008	-5102.796450
43043	 0.00007	 0.00005	 0.00659	 0.01274	 0.00000	 0.00000	 0.01063		167.048393	-5132.351281
44044	 0.00011	 0.00021	 0.00687	 0.01375	 0.00000	 0.00001	 0.01158		156.581698	-5129.509680
45045	 0.00009	 0.00011	 0.00651	 0.01215	 0.00000	 0.00000	 0.01058		165.055963	-5162.748868
46046	 0.00008	 0.00014	 0.00667	 0.01233	 0.00000	 0.00000	 0.01087		162.277557	-5153.852971
47047	 0.00004	 0.00005	 0.00611	 0.01154	 0.00000	 0.00000	 0.00947		171.908468	-5165.493307
48048	 0.00008	 0.00016	 0.00740	 0.01208	 0.00000	 0.00001	 0.01163		162.354652	-5175.611164
49049	 0.00014	 0.00012	 0.00608	 0.01241	 0.00000	 0.00001	 0.01098		162.329625	-5094.077696
50050	 0.00007	 0.00020	 0.00622	 0.01186	 0.00000	 0.00000	 0.00997		161.653592	-5109.145239
51051	 0.00017	 0.00020	 0.00716	 0.01230	 0.00000	 0.00001	 0.01069		156.659042	-5196.178771
52052	 0.00007	 0.00006	 0.00701	 0.01181	 0.00000	 0.00000	 0.01237		164.599014	-5154.125721
53053	 0.00006	 0.00009	 0.00590	 0.01190	 0.00000	 0.00000	 0.01124		162.641224	-5163.616198
54054	 0.00004	 0.00006	 0.00745	 0.01056	 0.00000	 0.00000	 0.01014		168.678782	-5154.330636
55055	 0.00005	 0.00006	 0.00691	 0.01364	 0.00000	 0.00000	 0.01093		165.857897	-5113.861409
56056	 0.00005	 0.00006	 0.00786	 0.01274	 0.00000	 0.00000	 0.01032		167.756076	-5133.420050
57057	 0.00007	 0.00009	 0.00630	 0.01208	 0.00000	 0.00000	 0.01177		165.044105	-5100.955902
58058	 0.00005	 0.00006	 0.00696	 0.01278	 0.00000	 0.00000	 0.01086		167.491108	-5088.575049
59059	 0.00009	 0.00011	 0.00539	 0.01340	 0.00000	 0.00000	 0.01138		161.413009	-5189.422201
60060	 0.00009	 0.00007	 0.00680	 0.01214	 0.00000	 0.00000	 0.00996		163.936024	-5064.413698
61061	 0.00015	 0.00015	 0.00644	 0.01304	 0.00000	 0.00001	 0.01108		157.424290	-5130.556291
62062	 0.00003	 0.00010	 0.00696	 0.01440	 0.00000	 0.00000	 0.01046		167.467190	-5222.040270
63063	 0.00002	 0.00013	 0.00729	 0.01183	 0.00000	 0.00000	 0.01182		161.136197	-5056.766442
64064	 0.00002	 0.00003	 0.00558	 0.01279	 0.00000	 0.00000	 0.01071		175.134038	-5226.154624
65065	 0.00002	 0.00004	 0.00823	 0.01134	 0.00000	 0.00000	 0.01070		160.065703	-5191.034051
66066	 0.00002	 0.00002	 0.00659	 0.01150	 0.00000	 0.00000	 0.01152		168.003220	-5130.797508
67067	 0.00004	 0.00002	 0.00621	 0.01278	 0.00000	 0.00000	 0.01191		166.468722	-5097.636499
68068	 0.00005	 0.00004	 0.00604	 0.01379	 0.00000	 0.00000	 0.01161		161.161495	-5085.675981
69069	 0.00003	 0.00009	 0.00636	 0.01134	 0.00000	 0.00000	 0.01140		159.290390	-5142.962844
70070	 0.00006	 0.00007	 0.00733	 0.01127	 0.00000	 0.00000	 0.01116		161.927165	-5226.717206
71071	 0.00005	 0.00005	 0.00625	 0.01150	 0.00000	 0.00000	 0.01075		165.607120	-5203.482696
72072	 0.00004	 0.00003	 0.00755	 0.01286	 0.00000	 0.00000	 0.01116		164.965135	-5067.622188
73073	 0.00002	 0.00003	 0.00749	 0.01238	 0.00000	 0.00000	 0.01134		174.325871	-5013.462781
74074	 0.00002	 0.00003	 0.00656	 0.01205	 0.00000	 0.00000	 0.01043		176.250270	-5130.028572
75075	 0.00003	 0.00003	 0.00727	 0.01241	 0.00000	 0.00000	 0.01067		167.282721	-5090.313895
76076	 0.00001	 0.00004	 0.00891	 0.01209	 0.00000	 0.00000	 0.01038		172.677816	-5155.357900
77077	 0.00002	 0.00003	 0.00620	 0.01218	 0.00000	 0.00000	 0.00997		176.288241	-5130.212262
78078	 0.00004	 0.00005	 0.00622	 0.01339	 0.00000	 0.00000	 0.01200		159.255308	-5102.022727
79079	 0.00003	 0.00006	 0.00733	 0.01174	 0.00000	 0.00000	 0.01003		170.413220	-5102.405120
80080	 0.00010	 0.00007	 0.00740	 0.01138	 0.00000	 0.00000	 0.01087		158.784853	-5158.930068
81081	 0.00003	 0.00002	 0.00706	 0.01284	 0.00000	 0.00000	 0.01025		171.666496	-5143.892627
82082	 0.00004	 0.00005	 0.00652	 0.01300	 0.00000	 0.00000	 0.01307		164.811915	-5085.378850
83083	 0.00002	 0.00017	 0.00761	 0.01168	 0.00000	 0.00000	 0.01080		165.559901	-5127.298354
84084	 0.00005	 0.00010	 0.00694	 0.01217	 0.00000	 0.00000	 0.01110		167.071107	-5129.593540
85085	 0.00014	 0.00018	 0.00779	 0.01167	 0.00000	 0.00001	 0.00989		158.690014	-5177.577784
86086	 0.00005	 0.00004	 0.00785	 0.01091	 0.00000	 0.00000	 0.00970		167.604882	-5253.143362
87087	 0.00004	 0.00005	 0.00727	 0.01265	 0.00000	 0.00000	 0.01145		168.354216	-5071.781150
88088	 0.00004	 0.00008	 0.00775	 0.01140	 0.00000	 0.00000	 0.01158		160.157152	-5092.044930
89089	 0.00005	 0.00005	 0.00628	 0.01066	 0.00000	 0.00000	 0.01015		171.540133	-5226.853284
90090	 0.00008	 0.00017	 0.00672	 0.01434	 0.00000	 0.00000	 0.01033		160.221729	-5080.980798
91091	 0.00005	 0.00006	 0.00693	 0.01169	 0.00000	 0.00000	 0.01126		164.850563	-5126.020161
92092	 0.00004	 0.00005	 0.00777	 0.01144	 0.00000	 0.00000	 0.01062		167.863947	-5146.842595
93093	 0.00003	 0.00004	 0.00626	 0.01394	 0.00000	 0.00000	 0.01134		168.300207	-5097.352981
94094	 0.00010	 0.00014	 0.00717	 0.01229	 0.00006	 0.00000	 0.00975		149.257064	-5130.852958
95095	 0.00017	 0.00011	 0.00655	 0.01198	 0.00002	 0.00001	 0.01203		153.943885	-5093.376063
96096	 0.00010	 0.00017	 0.00570	 0.01271	 0.00000	 0.00001	 0.01079		157.120062	-5222.240393
97097	 0.00011	 0.00012	 0.00722	 0.01177	 0.00001	 0.00001	 0.01242		153.960701	-5170.336457
98098	 0.00014	 0.00018	 0.00731	 0.01184	 0.00001	 0.00001	 0.01064		154.801889	-5101.698368
99099	 0.00019	 0.00015	 0.00709	 0.01200	 0.00000	 0.00001	 0.01110		152.026785	-5132.915203
100100	 0.00006	 0.00007	 0.00567	 0.01128	 0.00000	 0.00000	 0.01082		160.032979	-5166.757191
101101	 0.00005	 0.00008	 0.00725	 0.01091	 0.00000	 0.00000	 0.01058		163.010987	-5284.645022
102102	 0.00004	 0.00014	 0.00559	 0.01226	 0.00000	 0.00000	 0.01104		164.600001	-5121.364837
103103	 0.00010	 0.00021	 0.00764	 0.01079	 0.00000	 0.00001	 0.01167		159.832123	-5057.779945
104104	 0.00008	 0.00027	 0.00777	 0.01191	 0.00000	 0.00001	 0.01115		163.843290	-5118.310379
105105	 0.00008	 0.00014	 0.00675	 0.01299	 0.00000	 0.00000	 0.01101		159.755205	-5121.829357
106106	 0.00007	 0.00013	 0.00739	 0.01223	 0.00000	 0.00000	 0.01135		157.504318	-5112.920888
107107	 0.00007	 0.00026	 0.00645	 0.01268	 0.00000	 0.00001	 0.01159		157.905159	-5109.231542
108108	 0.00005	 0.00007	 0.00709	 0.01167	 0.00000	 0.00000	 0.01095		164.488465	-5126.687731
109109	 0.00004	 0.00014	 0.00689	 0.01205	 0.00000	 0.00000	 0.01040		162.045786	-5114.428769
110110	 0.00012	 0.00012	 0.00712	 0.01339	 0.00000	 0.00001	 0.01135		161.223432	-5194.618284
111111	 0.00005	 0.00010	 0.00742	 0.01279	 0.00000	 0.00000	 0.01093		161.006786	-5154.099834
112112	 0.00006	 0.00008	 0.00687	 0.01207	 0.00000	 0.00000	 0.01169		164.833231	-5123.130928
113113	 0.00005	 0.00020	 0.00567	 0.01217	 0.00000	 0.00000	 0.01038		167.503374	-5122.650369
114114	 0.00007	 0.00010	 0.00664	 0.01189	 0.00000	 0.00000	 0.01155		169.502443	-5148.261800
115115	 0.00003	 0.00009	 0.00826	 0.01112	 0.00000	 0.00000	 0.01122		168.720316	-5137.844554
116116	 0.00010	 0.00008	 0.00720	 0.01248	 0.00000	 0.00000	 0.01065		162.540708	-5060.167737
117117	 0.00011	 0.00019	 0.00671	 0.01185	 0.00000	 0.00001	 0.01129		163.494214	-5052.201621
118118	 0.00014	 0.00026	 0.00707	 0.01203	 0.00000	 0.00001	 0.01020		159.044334	-5213.507500
119119	 0.00026	 0.00017	 0.00608	 0.01158	 0.00000	 0.00001	 0.01085		159.823214	-5203.782633
120120	 0.00012	 0.00040	 0.00593	 0.01194	 0.00000	 0.00001	 0.01194		158.941544	-5260.774945
121121	 0.00004	 0.00005	 0.00798	 0.01105	 0.00000	 0.00000	 0.01005		178.785165	-5103.602676
