Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	Data-ld-ln	Full-ld-ln
0	 0.00004	 0.00004	 0.00001	 0.00009	 0.01097	 0.00000	 0.00000		213.487449	-1736.639620
1001	 0.00002	 0.00004	 0.00000	 0.00005	 0.01102	 0.00000	 0.00000		217.177605	-1727.435801
2002	 0.00008	 0.00009	 0.00000	 0.00002	 0.01063	 0.00000	 0.00000		220.165689	-1729.754824
3003	 0.00003	 0.00002	 0.00000	 0.00000	 0.01156	 0.00000	 0.00000		230.146783	-1794.008532
4004	 0.00001	 0.00002	 0.00000	 0.00012	 0.01069	 0.00000	 0.00000		225.895746	-1798.307550
5005	 0.00001	 0.00001	 0.00000	 0.00015	 0.01258	 0.00000	 0.00000		223.986225	-1788.870588
6006	 0.00001	 0.00002	 0.00000	 0.00009	 0.01095	 0.00000	 0.00000		222.696078	-1825.414197
7007	 0.00002	 0.00001	 0.00000	 0.00014	 0.01155	 0.00000	 0.00000		227.622733	-1746.187698
8008	 0.00003	 0.00007	 0.00000	 0.00010	 0.01040	 0.00000	 0.00000		209.654853	-1784.166721
9009	 0.00002	 0.00007	 0.00000	 0.00002	 0.01023	 0.00000	 0.00000		218.429939	-1754.686140
10010	 0.00001	 0.00001	 0.00000	 0.00003	 0.01262	 0.00000	 0.00000		233.810708	-1709.188705
11011	 0.00001	 0.00002	 0.00000	 0.00009	 0.01190	 0.00000	 0.00000		221.221063	-1785.341438
12012	 0.00001	 0.00001	 0.00000	 0.00008	 0.01012	 0.00000	 0.00000		235.185320	-1868.841130
13013	 0.00001	 0.00001	 0.00000	 0.00019	 0.01030	 0.00000	 0.00000		225.086330	-1785.418891
14014	 0.00001	 0.00001	 0.00000	 0.00009	 0.01096	 0.00000	 0.00000		231.518944	-1776.333268
15015	 0.00002	 0.00003	 0.00000	 0.00003	 0.01074	 0.00000	 0.00000		220.987795	-1810.600318
16016	 0.00002	 0.00001	 0.00000	 0.00004	 0.01005	 0.00000	 0.00000		230.050483	-1861.238915
17017	 0.00002	 0.00001	 0.00000	 0.00004	 0.01127	 0.00000	 0.00000		226.428254	-1753.160163
18018	 0.00000	 0.00001	 0.00000	 0.00013	 0.01045	 0.00000	 0.00000		237.416548	-1780.782914
19019	 0.00002	 0.00003	 0.00000	 0.00008	 0.01107	 0.00000	 0.00000		216.732472	-1818.268027
20020	 0.00001	 0.00001	 0.00000	 0.00014	 0.01143	 0.00000	 0.00000		230.833423	-1729.247462
21021	 0.00001	 0.00002	 0.00000	 0.00011	 0.01038	 0.00000	 0.00000		231.860390	-1779.342434
22022	 0.00002	 0.00006	 0.00000	 0.00008	 0.01035	 0.00000	 0.00000		214.563274	-1823.775811
23023	 0.00002	 0.00004	 0.00000	 0.00005	 0.01190	 0.00000	 0.00000		214.416532	-1720.236015
24024	 0.00003	 0.00004	 0.00001	 0.00007	 0.01070	 0.00000	 0.00000		222.425376	-1748.235813
25025	 0.00001	 0.00002	 0.00001	 0.00015	 0.00990	 0.00000	 0.00000		222.384370	-1829.809481
26026	 0.00005	 0.00003	 0.00001	 0.00015	 0.01056	 0.00000	 0.00001		215.078102	-1752.491129
27027	 0.00003	 0.00004	 0.00002	 0.00018	 0.01130	 0.00000	 0.00001		218.945897	-1693.534880
28028	 0.00006	 0.00010	 0.00002	 0.00039	 0.01015	 0.00000	 0.00001		206.171996	-1755.072634
29029	 0.00010	 0.00013	 0.00003	 0.00022	 0.01042	 0.00001	 0.00001		206.482210	-1766.154390
30030	 0.00006	 0.00005	 0.00001	 0.00020	 0.01010	 0.00000	 0.00001		218.141963	-1764.283786
31031	 0.00004	 0.00004	 0.00002	 0.00033	 0.01151	 0.00000	 0.00001		213.736181	-1693.852277
32032	 0.00001	 0.00002	 0.00001	 0.00017	 0.01132	 0.00000	 0.00001		230.203484	-1725.597297
33033	 0.00001	 0.00003	 0.00001	 0.00017	 0.01069	 0.00000	 0.00001		220.811925	-1771.142412
34034	 0.00003	 0.00005	 0.00001	 0.00021	 0.00965	 0.00000	 0.00000		216.582984	-1784.965934
35035	 0.00003	 0.00002	 0.00001	 0.00013	 0.01048	 0.00000	 0.00001		230.420099	-1730.643045
36036	 0.00004	 0.00006	 0.00002	 0.00018	 0.01096	 0.00000	 0.00001		210.830762	-1773.112229
37037	 0.00008	 0.00015	 0.00002	 0.00026	 0.01031	 0.00000	 0.00001		205.632736	-1745.959677
38038	 0.00010	 0.00010	 0.00003	 0.00025	 0.01090	 0.00001	 0.00001		207.830418	-1736.504014
39039	 0.00008	 0.00005	 0.00001	 0.00026	 0.00932	 0.00000	 0.00001		204.672184	-1840.357090
40040	 0.00003	 0.00004	 0.00001	 0.00014	 0.01058	 0.00000	 0.00000		216.391378	-1852.623938
41041	 0.00004	 0.00006	 0.00001	 0.00021	 0.01069	 0.00000	 0.00000		205.643096	-1732.229576
